Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	838280	838680
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	911156	911556
chr1	910451	910851
chr1	916545	916945
chr1	917080	917480
chr1	921026	921426
chr1	920614	921014
chr1	923618	924018
chr1	925504	925904
chr1	935810	936210
chr1	940172	940572
chr1	941619	942019
chr1	944311	944711
chr1	959123	959523
chr1	960370	960770
chr1	960841	961241
chr1	966792	967192
chr1	975991	976391
chr1	984122	984522
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1041123	1041523
chr1	1040018	1040418
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1064155	1064555
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1080903	1081303
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1173670	1174070
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1355396	1355796
chr1	1358538	1358938
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1426913	1427313
chr1	1427451	1427851
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1539583	1539983
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1600003	1600403
chr1	1599533	1599933
chr1	1599094	1599494
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1778261	1778661
chr1	1777825	1778225
chr1	1832842	1833242
chr1	1832156	1832556
chr1	1858656	1859056
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1919979	1920379
chr1	1943962	1944362
chr1	1959978	1960378
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2072922	2073322
chr1	2075028	2075428
chr1	2090085	2090485
chr1	2089639	2090039
chr1	2092206	2092606
chr1	2091601	2092001
chr1	2092654	2093054
chr1	2104532	2104932
chr1	2108584	2108984
chr1	2115300	2115700
chr1	2116052	2116452
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2174249	2174649
chr1	2179510	2179910
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2231879	2232279
chr1	2240200	2240600
chr1	2246659	2247059
chr1	2251753	2252153
chr1	2270255	2270655
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2289159	2289559
chr1	2290681	2291081
chr1	2299260	2299660
chr1	2318842	2319242
chr1	2319256	2319656
chr1	2327524	2327924
chr1	2336069	2336469
chr1	2335627	2336027
chr1	2336482	2336882
chr1	2342195	2342595
chr1	2342684	2343084
chr1	2345663	2346063
chr1	2381713	2382113
chr1	2381227	2381627
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2431095	2431495
chr1	2443837	2444237
chr1	2466811	2467211
chr1	2467212	2467612
chr1	2470498	2470898
chr1	2472860	2473260
chr1	2475033	2475433
chr1	2481915	2482315
chr1	2480991	2481391
chr1	2481497	2481897
chr1	2493537	2493937
chr1	2504656	2505056
chr1	2505114	2505514
chr1	2504172	2504572
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2543436	2543836
chr1	2546010	2546410
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2587152	2587552
chr1	2611150	2611550
chr1	2610291	2610691
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2643567	2643967
chr1	2821904	2822304
chr1	2866343	2866743
chr1	2865934	2866334
chr1	2867461	2867861
chr1	2874525	2874925
chr1	2875964	2876364
chr1	2876389	2876789
chr1	2882909	2883309
chr1	2883458	2883858
chr1	2892030	2892430
chr1	2899644	2900044
chr1	2905948	2906348
chr1	2911396	2911796
chr1	2928619	2929019
chr1	2968526	2968926
chr1	2967956	2968356
chr1	2987822	2988222
chr1	3012471	3012871
chr1	3011934	3012334
chr1	3036663	3037063
chr1	3066165	3066565
chr1	3101113	3101513
chr1	3109340	3109740
chr1	3111671	3112071
chr1	3116400	3116800
chr1	3122707	3123107
chr1	3139347	3139747
