Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	921026	921426
chr1	941619	942019
chr1	959123	959523
chr1	1000669	1001069
chr1	1006497	1006897
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1059459	1059859
chr1	1068571	1068971
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1157383	1157783
chr1	1162596	1162996
chr1	1163034	1163434
chr1	1173670	1174070
chr1	1206392	1206792
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1435445	1435845
chr1	1438010	1438410
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1678765	1679165
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1782473	1782873
chr1	1881855	1882255
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1942846	1943246
chr1	1943962	1944362
chr1	2003702	2004102
chr1	2023177	2023577
chr1	2050089	2050489
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2299816	2300216
chr1	2322683	2323083
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2526086	2526486
chr1	2530260	2530660
chr1	2546867	2547267
chr1	2564958	2565358
chr1	2564539	2564939
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2611150	2611550
chr1	2643039	2643439
chr1	2772312	2772712
chr1	2962854	2963254
chr1	3012471	3012871
chr1	3068962	3069362
chr1	3068528	3068928
chr1	3222183	3222583
chr1	3250095	3250495
chr1	3251755	3252155
chr1	3323137	3323537
chr1	3356823	3357223
chr1	3423382	3423782
chr1	3454249	3454649
chr1	3460043	3460443
chr1	3491213	3491613
chr1	3530347	3530747
chr1	3577320	3577720
chr1	3590325	3590725
chr1	3624670	3625070
chr1	3649926	3650326
chr1	3683980	3684380
chr1	3719256	3719656
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3775895	3776295
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3869695	3870095
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	4083880	4084280
chr1	4656256	4656656
chr1	5447210	5447610
chr1	5652205	5652605
chr1	5688475	5688875
chr1	5896646	5897046
chr1	5949306	5949706
chr1	5970599	5970999
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6026063	6026463
chr1	6034441	6034841
chr1	6199456	6199856
chr1	6198923	6199323
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6245934	6246334
chr1	6246686	6247086
chr1	6260903	6261303
chr1	6270027	6270427
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6489857	6490257
chr1	6490418	6490818
chr1	6497309	6497709
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6801883	6802283
chr1	6822473	6822873
chr1	6962595	6962995
chr1	6963235	6963635
chr1	6962190	6962590
chr1	6970615	6971015
chr1	7367272	7367672
chr1	7454040	7454440
chr1	7550971	7551371
chr1	7566603	7567003
chr1	7582014	7582414
chr1	7647226	7647626
chr1	7669468	7669868
chr1	7704452	7704852
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7783925	7784325
chr1	7954059	7954459
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7975252	7975652
chr1	8026172	8026572
chr1	8025769	8026169
chr1	8076189	8076589
chr1	8169724	8170124
chr1	8170248	8170648
chr1	8202123	8202523
chr1	8247801	8248201
chr1	8259029	8259429
chr1	8312183	8312583
chr1	8314318	8314718
chr1	8409156	8409556
chr1	8423531	8423931
chr1	8462522	8462922
chr1	8525898	8526298
chr1	8571551	8571951
chr1	8646190	8646590
chr1	8703137	8703537
chr1	8788395	8788795
chr1	8817516	8817916
chr1	8848788	8849188
chr1	8878566	8878966
chr1	9069551	9069951
chr1	9110747	9111147
chr1	9113058	9113458
chr1	9129024	9129424
chr1	9129424	9129824
chr1	9138557	9138957
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9267052	9267452
chr1	9292657	9293057
chr1	9338828	9339228
chr1	9371529	9371929
chr1	9428798	9429198
chr1	9467024	9467424
chr1	9491035	9491435
chr1	9505103	9505503
chr1	9539187	9539587
chr1	9588469	9588869
chr1	9626958	9627358
chr1	9689295	9689695
chr1	9717578	9717978
chr1	9770312	9770712
chr1	9804272	9804672
chr1	9823910	9824310
chr1	9824356	9824756
chr1	9823497	9823897
chr1	9892516	9892916
chr1	9900364	9900764
chr1	9910340	9910740
chr1	9943211	9943611
chr1	9950335	9950735
chr1	9997718	9998118
chr1	10032620	10033020
chr1	10210279	10210679
chr1	10253734	10254134
chr1	10398739	10399139
chr1	10399198	10399598
chr1	10472384	10472784
chr1	10471880	10472280
chr1	10482038	10482438
chr1	10507407	10507807
chr1	10550256	10550656
chr1	10624342	10624742
chr1	10677383	10677783
chr1	10694691	10695091
chr1	10796490	10796890
chr1	10796089	10796489
chr1	10888715	10889115
chr1	10979405	10979805
chr1	10980121	10980521
chr1	11012154	11012554
chr1	11012880	11013280
chr1	11052788	11053188
chr1	11059906	11060306
chr1	11099726	11100126
chr1	11099207	11099607
chr1	11262488	11262888
chr1	11272982	11273382
chr1	11273471	11273871
chr1	11581457	11581857
chr1	11655855	11656255
chr1	11663993	11664393
chr1	11680995	11681395
chr1	11735862	11736262
chr1	11785122	11785522
chr1	11805894	11806294
chr1	11805395	11805795
chr1	11848548	11848948
chr1	11882851	11883251
chr1	11896484	11896884
chr1	11907679	11908079
chr1	11908818	11909218
chr1	11926306	11926706
chr1	11980065	11980465
chr1	11980529	11980929
chr1	12019183	12019583
chr1	12166748	12167148
chr1	12229816	12230216
chr1	12333496	12333896
chr1	12549743	12550143
chr1	12601235	12601635
chr1	12756221	12756621
