Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	911156	911556
chr1	910451	910851
chr1	916545	916945
chr1	921026	921426
chr1	923618	924018
chr1	940172	940572
chr1	941619	942019
chr1	959123	959523
chr1	966792	967192
chr1	975991	976391
chr1	984122	984522
chr1	999961	1000361
chr1	1000669	1001069
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1024639	1025039
chr1	1025053	1025453
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1074084	1074484
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1128458	1128858
chr1	1130141	1130541
chr1	1132520	1132920
chr1	1136490	1136890
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1162596	1162996
chr1	1163034	1163434
chr1	1164808	1165208
chr1	1176278	1176678
chr1	1201390	1201790
chr1	1216222	1216622
chr1	1231902	1232302
chr1	1238097	1238497
chr1	1238521	1238921
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1291818	1292218
chr1	1293831	1294231
chr1	1298935	1299335
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1347568	1347968
chr1	1348027	1348427
chr1	1348840	1349240
chr1	1355396	1355796
chr1	1358538	1358938
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1421191	1421591
chr1	1420695	1421095
chr1	1433179	1433579
chr1	1435445	1435845
chr1	1438010	1438410
chr1	1440865	1441265
chr1	1462251	1462651
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1551359	1551759
chr1	1550850	1551250
chr1	1559138	1559538
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1658934	1659334
chr1	1683573	1683973
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1782473	1782873
chr1	1782004	1782404
chr1	1858656	1859056
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1918464	1918864
chr1	1943962	1944362
chr1	1959978	1960378
chr1	2001849	2002249
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2018922	2019322
chr1	2032190	2032590
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2049403	2049803
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2208257	2208657
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2240200	2240600
chr1	2255973	2256373
chr1	2276104	2276504
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2311480	2311880
chr1	2314291	2314691
chr1	2315069	2315469
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2336069	2336469
chr1	2347557	2347957
chr1	2381713	2382113
chr1	2382528	2382928
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2405090	2405490
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2416255	2416655
chr1	2463328	2463728
chr1	2526086	2526486
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2546465	2546865
chr1	2556322	2556722
chr1	2556931	2557331
chr1	2564958	2565358
chr1	2566090	2566490
chr1	2575736	2576136
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2772312	2772712
chr1	2821904	2822304
chr1	2936987	2937387
chr1	2936502	2936902
chr1	2966704	2967104
chr1	2968526	2968926
chr1	2975788	2976188
chr1	3012471	3012871
chr1	3011934	3012334
chr1	3038116	3038516
chr1	3068962	3069362
chr1	3068528	3068928
chr1	3074204	3074604
chr1	3105444	3105844
chr1	3105876	3106276
chr1	3115296	3115696
chr1	3114879	3115279
chr1	3115789	3116189
chr1	3135373	3135773
chr1	3140416	3140816
chr1	3145986	3146386
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3174845	3175245
chr1	3186553	3186953
chr1	3191020	3191420
chr1	3198276	3198676
chr1	3207207	3207607
chr1	3213747	3214147
chr1	3219178	3219578
chr1	3222183	3222583
chr1	3230520	3230920
chr1	3250095	3250495
chr1	3250587	3250987
chr1	3251755	3252155
chr1	3275064	3275464
chr1	3283964	3284364
chr1	3283534	3283934
chr1	3291993	3292393
chr1	3313103	3313503
chr1	3319910	3320310
chr1	3320512	3320912
chr1	3323137	3323537
chr1	3323654	3324054
chr1	3330703	3331103
