Chromosome	Start	End
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	923663	924063
chr1	933082	933482
chr1	959124	959524
chr1	966800	967200
chr1	966263	966663
chr1	967995	968395
chr1	976001	976401
chr1	999982	1000382
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1050732	1051132
chr1	1067733	1068133
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1130102	1130502
chr1	1132476	1132876
chr1	1132895	1133295
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1153821	1154221
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1162617	1163017
chr1	1201378	1201778
chr1	1225189	1225589
chr1	1231886	1232286
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1291801	1292201
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1332798	1333198
chr1	1349269	1349669
chr1	1364245	1364645
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1678267	1678667
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1758731	1759131
chr1	1778762	1779162
chr1	1782945	1783345
chr1	1873139	1873539
chr1	1881839	1882239
chr1	1890942	1891342
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2001850	2002250
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2082048	2082448
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2198586	2198986
chr1	2205070	2205470
chr1	2212433	2212833
chr1	2227624	2228024
chr1	2234385	2234785
chr1	2248422	2248822
chr1	2251735	2252135
chr1	2278051	2278451
chr1	2303367	2303767
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2416252	2416652
chr1	2438002	2438402
chr1	2465002	2465402
chr1	2474984	2475384
chr1	2480993	2481393
chr1	2526090	2526490
chr1	2530955	2531355
chr1	2548685	2549085
chr1	2548000	2548400
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2643065	2643465
chr1	3170497	3170897
chr1	3359640	3360040
chr1	3454276	3454676
chr1	3460059	3460459
chr1	3482238	3482638
chr1	3481787	3482187
chr1	3492835	3493235
chr1	3531263	3531663
chr1	3530818	3531218
chr1	3529964	3530364
chr1	3547398	3547798
chr1	3624685	3625085
chr1	3624248	3624648
chr1	3668776	3669176
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3771969	3772369
chr1	3780949	3781349
chr1	3783723	3784123
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3857569	3857969
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	3942850	3943250
chr1	4837211	4837611
chr1	5099546	5099946
chr1	5444443	5444843
chr1	5493963	5494363
chr1	5494469	5494869
chr1	5598032	5598432
chr1	5648360	5648760
chr1	5660241	5660641
chr1	5992337	5992737
chr1	5991761	5992161
chr1	6026026	6026426
chr1	6199485	6199885
chr1	6205881	6206281
chr1	6235817	6236217
chr1	6245023	6245423
chr1	6259948	6260348
chr1	6343387	6343787
chr1	6363088	6363488
chr1	6385743	6386143
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6472034	6472434
chr1	6490421	6490821
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6625578	6625978
chr1	6634632	6635032
chr1	6701692	6702092
chr1	6743780	6744180
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6922505	6922905
chr1	7574331	7574731
chr1	7669466	7669866
chr1	7680285	7680685
chr1	7704470	7704870
chr1	7705274	7705674
chr1	7745809	7746209
chr1	7771047	7771447
chr1	7783871	7784271
chr1	7784354	7784754
chr1	7885509	7885909
chr1	7954058	7954458
chr1	7961375	7961775
chr1	8004944	8005344
chr1	8004113	8004513
chr1	8026127	8026527
chr1	8026760	8027160
chr1	8025697	8026097
chr1	8040572	8040972
chr1	8058385	8058785
chr1	8061236	8061636
chr1	8070279	8070679
chr1	8077202	8077602
chr1	8154692	8155092
chr1	8169735	8170135
chr1	8174319	8174719
chr1	8189897	8190297
chr1	8217106	8217506
chr1	8259050	8259450
chr1	8259603	8260003
chr1	8312238	8312638
chr1	8312820	8313220
chr1	8314277	8314677
chr1	8373503	8373903
chr1	8412208	8412608
chr1	8423575	8423975
chr1	8424047	8424447
chr1	8423137	8423537
chr1	8462481	8462881
chr1	8483121	8483521
chr1	8490154	8490554
chr1	8525866	8526266
chr1	8643844	8644244
chr1	8703198	8703598
chr1	8726451	8726851
chr1	8726955	8727355
chr1	8733420	8733820
chr1	8789519	8789919
chr1	8817530	8817930
chr1	8822716	8823116
chr1	8829466	8829866
chr1	8848796	8849196
chr1	8873569	8873969
chr1	8878569	8878969
chr1	8879102	8879502
chr1	8877856	8878256
chr1	8889939	8890339
chr1	8890426	8890826
chr1	8903896	8904296
chr1	8947354	8947754
chr1	8986198	8986598
chr1	9129030	9129430
chr1	9128628	9129028
chr1	9129436	9129836
chr1	9142227	9142627
chr1	9162766	9163166
chr1	9161926	9162326
chr1	9164987	9165387
chr1	9182189	9182589
chr1	9182937	9183337
chr1	9203551	9203951
chr1	9234476	9234876
chr1	9235041	9235441
chr1	9242564	9242964
chr1	9244571	9244971
chr1	9292616	9293016
chr1	9312177	9312577
chr1	9324556	9324956
chr1	9428816	9429216
chr1	9437955	9438355
chr1	9467005	9467405
chr1	9473077	9473477
chr1	9491029	9491429
chr1	9532734	9533134
chr1	9539155	9539555
chr1	9555333	9555733
chr1	9561445	9561845
chr1	9588452	9588852
chr1	9606928	9607328
chr1	9626958	9627358
chr1	9671723	9672123
