Chromosome	Start	End
chr1	191294	191694
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	959124	959524
chr1	999982	1000382
chr1	1000660	1001060
chr1	1019283	1019683
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1069157	1069557
chr1	1116056	1116456
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1324581	1324981
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1540434	1540834
chr1	1554825	1555225
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1615208	1615608
chr1	1890942	1891342
chr1	1908991	1909391
chr1	1919230	1919630
chr1	2073475	2073875
chr1	2133112	2133512
chr1	2174273	2174673
chr1	2189500	2189900
chr1	2205070	2205470
chr1	2212433	2212833
chr1	2227624	2228024
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2643065	2643465
chr1	3410118	3410518
chr1	3531263	3531663
chr1	3624685	3625085
chr1	3625151	3625551
chr1	3649912	3650312
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	3940383	3940783
chr1	4527727	4528127
chr1	4652551	4652951
chr1	5973734	5974134
chr1	5975139	5975539
chr1	5992337	5992737
chr1	6034419	6034819
chr1	6033954	6034354
chr1	6083832	6084232
chr1	6161350	6161750
chr1	6180266	6180666
chr1	6199485	6199885
chr1	6235817	6236217
chr1	6330271	6330671
chr1	6367255	6367655
chr1	6384983	6385383
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6490421	6490821
chr1	6519955	6520355
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6701692	6702092
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6953795	6954195
chr1	7372321	7372721
chr1	7388860	7389260
chr1	7640897	7641297
chr1	7668474	7668874
chr1	7680285	7680685
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7771452	7771852
chr1	7783871	7784271
chr1	7784354	7784754
chr1	7942249	7942649
chr1	7954058	7954458
chr1	7961375	7961775
chr1	8026127	8026527
chr1	8317887	8318287
chr1	8370614	8371014
chr1	8415545	8415945
chr1	8525866	8526266
chr1	8817530	8817930
chr1	8848796	8849196
chr1	8878569	8878969
chr1	8879102	8879502
chr1	9242564	9242964
chr1	9428816	9429216
chr1	9539155	9539555
chr1	9588452	9588852
chr1	9823823	9824223
chr1	9824439	9824839
chr1	9852414	9852814
chr1	9910260	9910660
chr1	9910733	9911133
chr1	9943203	9943603
chr1	10032607	10033007
chr1	10210259	10210659
chr1	10209815	10210215
chr1	10286239	10286639
chr1	10398727	10399127
chr1	10430524	10430924
chr1	10472398	10472798
chr1	10474704	10475104
chr1	10507444	10507844
chr1	10663637	10664037
chr1	10694620	10695020
chr1	10867072	10867472
chr1	11059932	11060332
chr1	11099679	11100079
chr1	11212221	11212621
chr1	11241636	11242036
chr1	11262493	11262893
chr1	11272898	11273298
chr1	11273314	11273714
chr1	11478645	11479045
chr1	11479306	11479706
chr1	11654619	11655019
chr1	11680986	11681386
chr1	11681423	11681823
chr1	11790856	11791256
chr1	11805829	11806229
chr1	11926291	11926691
chr1	11934437	11934837
chr1	11980061	11980461
chr1	12019185	12019585
chr1	12019610	12020010
chr1	12229820	12230220
chr1	12426027	12426427
chr1	12549797	12550197
chr1	12619790	12620190
chr1	13543890	13544290
chr1	13700097	13700497
chr1	13749098	13749498
