Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	897218	897618
chr1	904556	904956
chr1	906692	907092
chr1	923618	924018
chr1	959123	959523
chr1	966792	967192
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1137242	1137642
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1182736	1183136
chr1	1199496	1199896
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1274441	1274841
chr1	1291818	1292218
chr1	1305561	1305961
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1607072	1607472
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1665053	1665453
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1899199	1899599
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1919979	1920379
chr1	1943962	1944362
chr1	1996192	1996592
chr1	2003702	2004102
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2112467	2112867
chr1	2126875	2127275
chr1	2127302	2127702
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2148670	2149070
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2234378	2234778
chr1	2246659	2247059
chr1	2255973	2256373
chr1	2279154	2279554
chr1	2278749	2279149
chr1	2290112	2290512
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2506019	2506419
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2577401	2577801
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2821904	2822304
chr1	2840362	2840762
chr1	2845890	2846290
chr1	2868744	2869144
chr1	2888494	2888894
chr1	2912677	2913077
chr1	2973577	2973977
chr1	3014717	3015117
chr1	3094282	3094682
chr1	3160949	3161349
chr1	3170498	3170898
chr1	3181904	3182304
chr1	3222183	3222583
chr1	3283964	3284364
chr1	3313103	3313503
chr1	3319910	3320310
chr1	3453096	3453496
chr1	3454249	3454649
chr1	3491213	3491613
chr1	3502057	3502457
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3611516	3611916
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3695606	3696006
chr1	3718004	3718404
chr1	3732619	3733019
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3796350	3796750
chr1	3796836	3797236
chr1	3842875	3843275
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3881077	3881477
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3899597	3899997
chr1	3901210	3901610
chr1	4656256	4656656
chr1	4736262	4736662
chr1	5745783	5746183
chr1	5770885	5771285
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6026063	6026463
chr1	6026488	6026888
chr1	6028066	6028466
chr1	6127691	6128091
chr1	6148649	6149049
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6343478	6343878
chr1	6347921	6348321
chr1	6359716	6360116
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6404647	6405047
chr1	6440254	6440654
chr1	6440654	6441054
chr1	6465984	6466384
chr1	6486438	6486838
chr1	6490418	6490818
chr1	6509299	6509699
chr1	6523580	6523980
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6580339	6580739
chr1	6591208	6591608
chr1	6602781	6603181
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6613905	6614305
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6962595	6962995
chr1	6962190	6962590
chr1	6996371	6996771
chr1	7070377	7070777
chr1	7207916	7208316
chr1	7236150	7236550
chr1	7649055	7649455
chr1	7667531	7667931
chr1	7669468	7669868
chr1	7669933	7670333
chr1	7680260	7680660
chr1	7679791	7680191
chr1	7704452	7704852
chr1	7726579	7726979
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7770622	7771022
chr1	7783925	7784325
chr1	7954059	7954459
chr1	7953583	7953983
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7970266	7970666
chr1	7982272	7982672
chr1	8026172	8026572
chr1	8026672	8027072
chr1	8025769	8026169
chr1	8317872	8318272
chr1	8348952	8349352
chr1	8409156	8409556
chr1	8424024	8424424
chr1	8423531	8423931
chr1	8427513	8427913
chr1	8431004	8431404
chr1	8510434	8510834
chr1	8525898	8526298
chr1	8629772	8630172
chr1	8660384	8660784
chr1	8701225	8701625
chr1	8703137	8703537
chr1	8712714	8713114
chr1	8817516	8817916
chr1	8848788	8849188
chr1	8848027	8848427
chr1	8858012	8858412
chr1	8878566	8878966
chr1	8879028	8879428
chr1	8918077	8918477
chr1	8971084	8971484
chr1	9005078	9005478
chr1	9069551	9069951
chr1	9094036	9094436
chr1	9101565	9101965
chr1	9110747	9111147
chr1	9129024	9129424
chr1	9129424	9129824
chr1	9128605	9129005
chr1	9142230	9142630
chr1	9181252	9181652
chr1	9234460	9234860
