Chromosome	Start	End
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	921026	921426
chr1	920614	921014
chr1	923618	924018
chr1	924752	925152
chr1	925504	925904
chr1	940172	940572
chr1	941619	942019
chr1	940755	941155
chr1	944311	944711
chr1	959123	959523
chr1	960370	960770
chr1	966792	967192
chr1	975991	976391
chr1	984122	984522
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1026985	1027385
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1135415	1135815
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1201390	1201790
chr1	1206392	1206792
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1246543	1246943
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1309097	1309497
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1351702	1352102
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1361979	1362379
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1430169	1430569
chr1	1434267	1434667
chr1	1433823	1434223
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1539583	1539983
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1600003	1600403
chr1	1599533	1599933
chr1	1599094	1599494
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1625031	1625431
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1631886	1632286
chr1	1631471	1631871
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1693913	1694313
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1777825	1778225
chr1	1782004	1782404
chr1	1788057	1788457
chr1	1846985	1847385
chr1	1847505	1847905
chr1	1858656	1859056
chr1	1890086	1890486
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1946506	1946906
chr1	1959978	1960378
chr1	1989027	1989427
chr1	1990237	1990637
chr1	1989822	1990222
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2018922	2019322
chr1	2025604	2026004
chr1	2044817	2045217
chr1	2044367	2044767
chr1	2045922	2046322
chr1	2045492	2045892
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2088447	2088847
chr1	2108584	2108984
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2151311	2151711
chr1	2174249	2174649
chr1	2174727	2175127
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2207632	2208032
chr1	2207108	2207508
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2214830	2215230
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2231879	2232279
chr1	2240200	2240600
chr1	2246659	2247059
chr1	2257285	2257685
chr1	2266601	2267001
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2290681	2291081
chr1	2294238	2294638
chr1	2300989	2301389
chr1	2311480	2311880
chr1	2314291	2314691
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2330341	2330741
chr1	2353139	2353539
chr1	2352698	2353098
chr1	2381713	2382113
chr1	2381227	2381627
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2468015	2468415
chr1	2481497	2481897
chr1	2504656	2505056
chr1	2505114	2505514
chr1	2506931	2507331
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2556322	2556722
chr1	2576577	2576977
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2607730	2608130
chr1	2611150	2611550
chr1	2633896	2634296
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2643567	2643967
chr1	2786611	2787011
chr1	2821904	2822304
chr1	2855740	2856140
chr1	2875964	2876364
chr1	2875112	2875512
chr1	2876389	2876789
chr1	2966704	2967104
chr1	2968526	2968926
chr1	2980145	2980545
chr1	2985264	2985664
chr1	2984817	2985217
chr1	3012471	3012871
chr1	3069993	3070393
chr1	3069575	3069975
chr1	3105444	3105844
chr1	3126890	3127290
chr1	3127352	3127752
chr1	3133690	3134090
chr1	3155343	3155743
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3174845	3175245
chr1	3186553	3186953
chr1	3185934	3186334
chr1	3219178	3219578
chr1	3221308	3221708
chr1	3240913	3241313
chr1	3258552	3258952
chr1	3283964	3284364
chr1	3312595	3312995
chr1	3313103	3313503
chr1	3313615	3314015
chr1	3352427	3352827
chr1	3352896	3353296
chr1	3351992	3352392
chr1	3366056	3366456
chr1	3369808	3370208
chr1	3369360	3369760
chr1	3393443	3393843
chr1	3392991	3393391
chr1	3410103	3410503
chr1	3423382	3423782
chr1	3424688	3425088
chr1	3424194	3424594
chr1	3453096	3453496
chr1	3471726	3472126
chr1	3471295	3471695
chr1	3491213	3491613
chr1	3502057	3502457
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3541882	3542282
chr1	3545728	3546128
chr1	3548184	3548584
chr1	3553388	3553788
chr1	3560541	3560941
chr1	3560135	3560535
chr1	3565228	3565628
chr1	3573515	3573915
chr1	3577320	3577720
chr1	3590325	3590725
chr1	3590771	3591171
chr1	3598561	3598961
chr1	3598110	3598510
chr1	3597441	3597841
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3651295	3651695
chr1	3652223	3652623
chr1	3683980	3684380
chr1	3695606	3696006
chr1	3718004	3718404
chr1	3724384	3724784
chr1	3732619	3733019
chr1	3733040	3733440
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3773253	3773653
chr1	3772849	3773249
chr1	3775443	3775843
chr1	3796350	3796750
chr1	3796836	3797236
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	3911312	3911712
chr1	4049187	4049587
chr1	4083129	4083529
chr1	4512592	4512992
chr1	4513068	4513468
chr1	4637962	4638362
chr1	4652551	4652951
chr1	4656256	4656656
chr1	4655765	4656165
chr1	4658242	4658642
chr1	4801508	4801908
chr1	4801977	4802377
chr1	4801059	4801459
chr1	5514546	5514946
chr1	5598111	5598511
chr1	5745783	5746183
chr1	5745095	5745495
chr1	5751173	5751573
chr1	5752996	5753396
chr1	5771363	5771763
chr1	5770885	5771285
chr1	5847291	5847691
chr1	5889821	5890221
chr1	5915966	5916366
chr1	5922861	5923261
chr1	5935333	5935733
chr1	5966581	5966981
chr1	5967246	5967646
chr1	5975153	5975553
chr1	5980444	5980844
chr1	5980878	5981278
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6034441	6034841
chr1	6052435	6052835
chr1	6052872	6053272
chr1	6058577	6058977
chr1	6065050	6065450
chr1	6082503	6082903
chr1	6098498	6098898
chr1	6127691	6128091
chr1	6161601	6162001
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6205878	6206278
chr1	6205137	6205537
chr1	6209177	6209577
chr1	6208669	6209069
chr1	6222590	6222990
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6246686	6247086
chr1	6248986	6249386
chr1	6259907	6260307
chr1	6260903	6261303
chr1	6261672	6262072
chr1	6263062	6263462
chr1	6270903	6271303
chr1	6270474	6270874
chr1	6276388	6276788
chr1	6276843	6277243
chr1	6287441	6287841
chr1	6292057	6292457
chr1	6291214	6291614
chr1	6291650	6292050
chr1	6330327	6330727
chr1	6329806	6330206
chr1	6329393	6329793
chr1	6343478	6343878
chr1	6359716	6360116
chr1	6358788	6359188
chr1	6359255	6359655
chr1	6363052	6363452
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6392744	6393144
chr1	6423442	6423842
chr1	6438019	6438419
chr1	6440654	6441054
chr1	6449034	6449434
chr1	6455141	6455541
chr1	6454414	6454814
chr1	6460361	6460761
chr1	6461311	6461711
chr1	6475484	6475884
chr1	6486438	6486838
chr1	6489857	6490257
chr1	6490418	6490818
chr1	6497309	6497709
chr1	6519988	6520388
chr1	6519397	6519797
chr1	6554368	6554768
chr1	6553784	6554184
chr1	6579729	6580129
chr1	6579262	6579662
chr1	6580339	6580739
chr1	6602781	6603181
chr1	6603184	6603584
chr1	6603830	6604230
chr1	6602178	6602578
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6613905	6614305
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6634624	6635024
chr1	6638196	6638596
chr1	6637758	6638158
chr1	6646479	6646879
chr1	6701697	6702097
chr1	6743806	6744206
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6785693	6786093
chr1	6811528	6811928
chr1	6868944	6869344
chr1	6889898	6890298
chr1	6922613	6923013
chr1	6924501	6924901
chr1	6923975	6924375
chr1	6925085	6925485
chr1	6935310	6935710
chr1	6935840	6936240
chr1	6960217	6960617
chr1	6960738	6961138
chr1	6962595	6962995
chr1	6984951	6985351
chr1	6984551	6984951
chr1	7070377	7070777
chr1	7069884	7070284
chr1	7075341	7075741
chr1	7149541	7149941
chr1	7299259	7299659
chr1	7298789	7299189
chr1	7341461	7341861
chr1	7388858	7389258
chr1	7389263	7389663
chr1	7470884	7471284
chr1	7478842	7479242
chr1	7491481	7491881
chr1	7495939	7496339
chr1	7552476	7552876
chr1	7557959	7558359
chr1	7557223	7557623
chr1	7616310	7616710
chr1	7668456	7668856
chr1	7667531	7667931
chr1	7669468	7669868
chr1	7667934	7668334
chr1	7670336	7670736
chr1	7680260	7680660
chr1	7680668	7681068
chr1	7679791	7680191
chr1	7704452	7704852
chr1	7703810	7704210
chr1	7726579	7726979
chr1	7752811	7753211
chr1	7752405	7752805
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7770622	7771022
chr1	7783925	7784325
chr1	7783355	7783755
chr1	7784530	7784930
chr1	7942247	7942647
chr1	7954059	7954459
chr1	7953583	7953983
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7975252	7975652
chr1	7982272	7982672
chr1	7989713	7990113
chr1	8004791	8005191
chr1	8005193	8005593
chr1	8014961	8015361
chr1	8026172	8026572
chr1	8026672	8027072
chr1	8025769	8026169
chr1	8048130	8048530
chr1	8047532	8047932
chr1	8061234	8061634
chr1	8077206	8077606
chr1	8084018	8084418
chr1	8082927	8083327
chr1	8083612	8084012
chr1	8094956	8095356
chr1	8113268	8113668
chr1	8116877	8117277
chr1	8117416	8117816
chr1	8122626	8123026
chr1	8133946	8134346
chr1	8133342	8133742
chr1	8137853	8138253
chr1	8137229	8137629
chr1	8154710	8155110
chr1	8169724	8170124
chr1	8170248	8170648
chr1	8202123	8202523
chr1	8201636	8202036
chr1	8202577	8202977
chr1	8217105	8217505
chr1	8239595	8239995
chr1	8238243	8238643
chr1	8293116	8293516
chr1	8314318	8314718
chr1	8317872	8318272
chr1	8343375	8343775
chr1	8342955	8343355
chr1	8343824	8344224
chr1	8348952	8349352
chr1	8373521	8373921
chr1	8378186	8378586
chr1	8396998	8397398
chr1	8396265	8396665
chr1	8409156	8409556
chr1	8412295	8412695
chr1	8424024	8424424
chr1	8423531	8423931
chr1	8422730	8423130
chr1	8438886	8439286
chr1	8439461	8439861
chr1	8438438	8438838
chr1	8448873	8449273
chr1	8449385	8449785
chr1	8456272	8456672
chr1	8455865	8456265
chr1	8463127	8463527
chr1	8463611	8464011
chr1	8510434	8510834
chr1	8510009	8510409
chr1	8518208	8518608
chr1	8517655	8518055
chr1	8525898	8526298
chr1	8525196	8525596
chr1	8561037	8561437
chr1	8571551	8571951
chr1	8571144	8571544
chr1	8590689	8591089
chr1	8597984	8598384
chr1	8598864	8599264
chr1	8660384	8660784
chr1	8661686	8662086
chr1	8671277	8671677
chr1	8687011	8687411
chr1	8701225	8701625
chr1	8703137	8703537
chr1	8703789	8704189
chr1	8706953	8707353
chr1	8712714	8713114
chr1	8712265	8712665
chr1	8726469	8726869
chr1	8726918	8727318
chr1	8727840	8728240
chr1	8817516	8817916
chr1	8817074	8817474
chr1	8822755	8823155
chr1	8825928	8826328
chr1	8831350	8831750
chr1	8844726	8845126
chr1	8848788	8849188
chr1	8859397	8859797
chr1	8878566	8878966
chr1	8879028	8879428
chr1	8877900	8878300
chr1	8879459	8879859
chr1	8889940	8890340
chr1	8890417	8890817
chr1	8889492	8889892
chr1	8889084	8889484
chr1	8905543	8905943
chr1	8918077	8918477
chr1	8941807	8942207
chr1	8943537	8943937
chr1	8963924	8964324
chr1	8988018	8988418
chr1	9005078	9005478
chr1	9004488	9004888
chr1	9018348	9018748
chr1	9037254	9037654
chr1	9039637	9040037
chr1	9067213	9067613
chr1	9068979	9069379
chr1	9101565	9101965
chr1	9110747	9111147
chr1	9111260	9111660
chr1	9129024	9129424
chr1	9129424	9129824
chr1	9128605	9129005
chr1	9127950	9128350
chr1	9142230	9142630
chr1	9149768	9150168
chr1	9151250	9151650
chr1	9150849	9151249
chr1	9150247	9150647
chr1	9181252	9181652
chr1	9182193	9182593
chr1	9196443	9196843
chr1	9198629	9199029
chr1	9201365	9201765
chr1	9201878	9202278
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9234024	9234424
chr1	9250662	9251062
chr1	9251459	9251859
chr1	9267052	9267452
chr1	9280352	9280752
chr1	9281950	9282350
chr1	9281489	9281889
chr1	9292657	9293057
chr1	9291912	9292312
chr1	9294863	9295263
chr1	9295282	9295682
chr1	9302699	9303099
chr1	9303140	9303540
chr1	9320725	9321125
chr1	9326567	9326967
chr1	9338828	9339228
chr1	9340858	9341258
chr1	9340216	9340616
chr1	9350356	9350756
chr1	9371529	9371929
chr1	9371945	9372345
chr1	9376700	9377100
chr1	9384787	9385187
chr1	9398241	9398641
chr1	9399861	9400261
chr1	9413497	9413897
chr1	9412977	9413377
chr1	9413965	9414365
chr1	9428798	9429198
chr1	9429265	9429665
chr1	9434166	9434566
chr1	9438004	9438404
chr1	9438478	9438878
chr1	9441503	9441903
chr1	9448466	9448866
chr1	9455775	9456175
chr1	9473079	9473479
chr1	9487037	9487437
chr1	9486437	9486837
chr1	9491035	9491435
chr1	9490625	9491025
chr1	9495233	9495633
chr1	9538685	9539085
chr1	9539187	9539587
chr1	9539699	9540099
chr1	9583377	9583777
chr1	9588469	9588869
chr1	9589254	9589654
chr1	9593402	9593802
chr1	9593813	9594213
chr1	9604014	9604414
chr1	9615568	9615968
chr1	9626958	9627358
chr1	9651974	9652374
chr1	9651548	9651948
chr1	9687416	9687816
chr1	9689295	9689695
chr1	9717578	9717978
chr1	9716986	9717386
chr1	9823910	9824310
chr1	9824356	9824756
chr1	9823497	9823897
chr1	9823075	9823475
chr1	9835784	9836184
chr1	9842815	9843215
chr1	9852449	9852849
chr1	9852003	9852403
chr1	9867459	9867859
chr1	9874857	9875257
chr1	9875470	9875870
chr1	9890088	9890488
chr1	9890516	9890916
chr1	9900364	9900764
chr1	9910340	9910740
chr1	9910782	9911182
chr1	9943211	9943611
chr1	9942363	9942763
chr1	9943670	9944070
chr1	9950335	9950735
chr1	10015667	10016067
chr1	10032620	10033020
chr1	10033176	10033576
chr1	10045937	10046337
chr1	10046365	10046765
chr1	10066986	10067386
chr1	10197030	10197430
chr1	10210279	10210679
chr1	10211309	10211709
chr1	10209743	10210143
chr1	10210868	10211268
chr1	10253734	10254134
chr1	10339797	10340197
chr1	10377418	10377818
chr1	10378434	10378834
chr1	10380866	10381266
chr1	10388095	10388495
chr1	10387517	10387917
chr1	10398739	10399139
chr1	10399198	10399598
chr1	10398195	10398595
chr1	10399624	10400024
chr1	10423997	10424397
chr1	10430528	10430928
chr1	10429766	10430166
chr1	10431019	10431419
chr1	10451286	10451686
chr1	10450335	10450735
chr1	10472384	10472784
chr1	10471880	10472280
chr1	10474719	10475119
chr1	10475140	10475540
chr1	10494629	10495029
chr1	10495089	10495489
chr1	10507407	10507807
chr1	10528302	10528702
chr1	10530271	10530671
chr1	10530768	10531168
chr1	10538503	10538903
chr1	10550256	10550656
chr1	10556335	10556735
chr1	10596846	10597246
chr1	10638561	10638961
chr1	10639104	10639504
chr1	10649451	10649851
chr1	10648875	10649275
chr1	10663622	10664022
chr1	10663163	10663563
chr1	10694691	10695091
chr1	10693955	10694355
chr1	10725201	10725601
chr1	10725793	10726193
chr1	10735205	10735605
chr1	10737179	10737579
chr1	10788615	10789015
chr1	10796490	10796890
chr1	10796089	10796489
chr1	10835874	10836274
chr1	10867075	10867475
chr1	10866626	10867026
chr1	10890340	10890740
chr1	10943999	10944399
chr1	10944408	10944808
chr1	10960964	10961364
chr1	10980121	10980521
chr1	11012154	11012554
chr1	11012880	11013280
chr1	11011642	11012042
chr1	11037601	11038001
chr1	11045491	11045891
chr1	11052788	11053188
chr1	11059906	11060306
chr1	11060493	11060893
chr1	11099726	11100126
chr1	11099207	11099607
chr1	11150370	11150770
chr1	11151903	11152303
chr1	11158668	11159068
chr1	11178321	11178721
chr1	11179466	11179866
chr1	11187905	11188305
chr1	11241714	11242114
chr1	11262488	11262888
chr1	11262018	11262418
chr1	11272982	11273382
chr1	11272557	11272957
chr1	11273471	11273871
chr1	11314948	11315348
chr1	11461596	11461996
chr1	11462571	11462971
chr1	11478652	11479052
chr1	11479073	11479473
chr1	11480081	11480481
chr1	11501467	11501867
chr1	11550661	11551061
chr1	11635804	11636204
chr1	11642413	11642813
chr1	11650379	11650779
chr1	11663993	11664393
chr1	11664560	11664960
chr1	11664982	11665382
chr1	11680995	11681395
chr1	11681451	11681851
chr1	11680518	11680918
chr1	11701548	11701948
chr1	11700677	11701077
chr1	11701100	11701500
chr1	11719740	11720140
chr1	11719266	11719666
chr1	11731758	11732158
chr1	11735862	11736262
chr1	11736334	11736734
chr1	11736751	11737151
chr1	11785122	11785522
chr1	11784594	11784994
chr1	11790851	11791251
chr1	11790410	11790810
chr1	11797764	11798164
chr1	11803469	11803869
chr1	11805894	11806294
chr1	11805395	11805795
chr1	11838637	11839037
chr1	11859246	11859646
chr1	11880825	11881225
chr1	11887075	11887475
chr1	11907679	11908079
chr1	11908818	11909218
chr1	11908348	11908748
chr1	11926306	11926706
chr1	11926719	11927119
chr1	11934447	11934847
chr1	11980065	11980465
chr1	11980529	11980929
chr1	11979469	11979869
chr1	12019183	12019583
chr1	12019746	12020146
chr1	12034415	12034815
chr1	12052018	12052418
chr1	12053279	12053679
chr1	12052521	12052921
chr1	12067847	12068247
chr1	12068500	12068900
chr1	12075712	12076112
chr1	12079556	12079956
chr1	12124781	12125181
chr1	12125618	12126018
chr1	12135655	12136055
chr1	12141314	12141714
chr1	12143600	12144000
chr1	12143168	12143568
chr1	12161828	12162228
chr1	12166748	12167148
chr1	12167210	12167610
chr1	12168493	12168893
chr1	12175455	12175855
chr1	12175005	12175405
chr1	12184259	12184659
chr1	12185020	12185420
chr1	12208838	12209238
chr1	12208369	12208769
chr1	12229816	12230216
chr1	12230372	12230772
chr1	12276245	12276645
chr1	12314297	12314697
chr1	12332898	12333298
chr1	12336298	12336698
chr1	12355949	12356349
chr1	12356385	12356785
chr1	12405969	12406369
chr1	12433373	12433773
chr1	12449431	12449831
chr1	12460885	12461285
chr1	12461285	12461685
chr1	12464628	12465028
chr1	12473796	12474196
chr1	12478212	12478612
chr1	12478634	12479034
chr1	12486319	12486719
chr1	12485473	12485873
chr1	12496660	12497060
chr1	12495686	12496086
chr1	12496103	12496503
chr1	12512079	12512479
chr1	12518896	12519296
chr1	12519470	12519870
chr1	12539932	12540332
chr1	12540356	12540756
chr1	12541519	12541919
chr1	12541073	12541473
chr1	12556465	12556865
chr1	12595872	12596272
chr1	12596435	12596835
chr1	12604317	12604717
chr1	12619814	12620214
chr1	12618173	12618573
chr1	12618915	12619315
chr1	12649976	12650376
chr1	12658955	12659355
chr1	12658544	12658944
chr1	12666294	12666694
chr1	13543910	13544310
chr1	13583557	13583957
chr1	13584023	13584423
chr1	13584455	13584855
chr1	13665654	13666054
chr1	13675243	13675643
chr1	13700085	13700485
chr1	13700635	13701035
chr1	13699560	13699960
chr1	13749127	13749527
chr1	13748680	13749080
chr1	13749707	13750107
chr1	13764940	13765340
chr1	13764471	13764871
chr1	13782218	13782618
chr1	13830640	13831040
chr1	13892899	13893299
chr1	13892490	13892890
chr1	13893320	13893720
chr1	13960363	13960763
chr1	13965794	13966194
chr1	14037597	14037997
chr1	14108645	14109045
chr1	14113851	14114251
chr1	14142378	14142778
chr1	14165589	14165989
chr1	14165185	14165585
chr1	14220286	14220686
chr1	14238499	14238899
chr1	14238929	14239329
chr1	14259165	14259565
chr1	14259639	14260039
chr1	14304620	14305020
chr1	14304217	14304617
chr1	14340203	14340603
chr1	14366306	14366706
chr1	14365881	14366281
chr1	14365294	14365694
chr1	14437040	14437440
chr1	14486820	14487220
chr1	14511771	14512171
chr1	14522284	14522684
chr1	14598510	14598910
chr1	14599268	14599668
chr1	14627297	14627697
chr1	14660775	14661175
chr1	14661182	14661582
chr1	14662067	14662467
chr1	14683346	14683746
chr1	14700633	14701033
chr1	14731903	14732303
chr1	14826198	14826598
chr1	14825774	14826174
chr1	14845832	14846232
chr1	14848660	14849060
chr1	14898390	14898790
chr1	14915348	14915748
chr1	14923889	14924289
chr1	14924428	14924828
chr1	14925052	14925452
chr1	14929480	14929880
chr1	14942828	14943228
chr1	14944663	14945063
chr1	14945237	14945637
chr1	14945768	14946168
chr1	14946848	14947248
chr1	14971775	14972175
chr1	14980781	14981181
chr1	14988219	14988619
chr1	15008736	15009136
chr1	15027515	15027915
chr1	15030676	15031076
chr1	15046510	15046910
chr1	15075816	15076216
chr1	15081124	15081524
chr1	15100358	15100758
chr1	15112274	15112674
chr1	15128495	15128895
chr1	15153482	15153882
chr1	15152320	15152720
chr1	15153992	15154392
chr1	15152987	15153387
chr1	15156344	15156744
chr1	15179154	15179554
chr1	15178739	15179139
chr1	15207392	15207792
chr1	15213311	15213711
chr1	15212759	15213159
chr1	15214514	15214914
chr1	15247018	15247418
chr1	15261447	15261847
chr1	15272470	15272870
chr1	15288228	15288628
chr1	15323511	15323911
chr1	15328763	15329163
chr1	15329448	15329848
chr1	15328236	15328636
chr1	15337666	15338066
chr1	15343804	15344204
chr1	15370728	15371128
chr1	15371136	15371536
chr1	15386437	15386837
chr1	15386025	15386425
chr1	15409642	15410042
chr1	15421512	15421912
chr1	15426774	15427174
chr1	15427237	15427637
chr1	15431125	15431525
chr1	15524814	15525214
chr1	15524173	15524573
chr1	15525238	15525638
chr1	15526481	15526881
chr1	15526978	15527378
chr1	15584873	15585273
chr1	15584433	15584833
chr1	15603462	15603862
chr1	15603003	15603403
chr1	15617135	15617535
chr1	15617815	15618215
chr1	15616706	15617106
chr1	15627506	15627906
chr1	15684816	15685216
chr1	15684103	15684503
chr1	15691431	15691831
chr1	15703593	15703993
chr1	15703087	15703487
chr1	15714399	15714799
chr1	15715832	15716232
chr1	15741370	15741770
chr1	15749524	15749924
chr1	15749980	15750380
chr1	15759346	15759746
chr1	15758939	15759339
chr1	15760833	15761233
chr1	15786590	15786990
chr1	15791997	15792397
chr1	15803347	15803747
chr1	15815501	15815901
chr1	15835770	15836170
chr1	15834764	15835164
chr1	15834220	15834620
chr1	15835287	15835687
chr1	15836192	15836592
chr1	15847453	15847853
chr1	15846911	15847311
chr1	15848337	15848737
chr1	15849288	15849688
chr1	15849980	15850380
chr1	15885641	15886041
chr1	15886291	15886691
chr1	15949576	15949976
chr1	15949134	15949534
chr1	15975918	15976318
chr1	15975467	15975867
chr1	15994522	15994922
chr1	16009035	16009435
chr1	16012812	16013212
chr1	16013275	16013675
chr1	16018003	16018403
chr1	16017471	16017871
chr1	16032817	16033217
chr1	16048441	16048841
chr1	16056051	16056451
chr1	16073444	16073844
chr1	16078881	16079281
chr1	16079364	16079764
chr1	16111673	16112073
chr1	16112309	16112709
chr1	16118841	16119241
chr1	16127655	16128055
chr1	16134027	16134427
chr1	16140981	16141381
chr1	16146282	16146682
chr1	16145581	16145981
chr1	16155921	16156321
chr1	16154609	16155009
chr1	16155396	16155796
chr1	16167770	16168170
chr1	16175875	16176275
chr1	16176313	16176713
chr1	16181849	16182249
chr1	16181431	16181831
