Chromosome	Start	End
chr1	630110	630510
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	923663	924063
chr1	940125	940525
chr1	941634	942034
chr1	959124	959524
chr1	966800	967200
chr1	984123	984523
chr1	998844	999244
chr1	999982	1000382
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1021077	1021477
chr1	1025068	1025468
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1201378	1201778
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1261136	1261536
chr1	1273712	1274112
chr1	1291801	1292201
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1358419	1358819
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1433189	1433589
chr1	1433819	1434219
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1540434	1540834
chr1	1540877	1541277
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1753319	1753719
chr1	1752544	1752944
chr1	1758731	1759131
chr1	1777499	1777899
chr1	1782433	1782833
chr1	1782945	1783345
chr1	1847036	1847436
chr1	1858650	1859050
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1894573	1894973
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1990247	1990647
chr1	2044784	2045184
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2174273	2174673
chr1	2189500	2189900
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2207623	2208023
chr1	2212433	2212833
chr1	2227624	2228024
chr1	2234385	2234785
chr1	2240191	2240591
chr1	2275779	2276179
chr1	2279161	2279561
chr1	2290669	2291069
chr1	2291121	2291521
chr1	2300915	2301315
chr1	2314312	2314712
chr1	2315043	2315443
chr1	2322503	2322903
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2474984	2475384
chr1	2481984	2482384
chr1	2526090	2526490
chr1	2530127	2530527
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2548685	2549085
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2633881	2634281
chr1	2643065	2643465
chr1	2642468	2642868
chr1	2767607	2768007
chr1	3069569	3069969
chr1	3121374	3121774
chr1	3161131	3161531
chr1	3170497	3170897
chr1	3174831	3175231
