Chromosome	Start	End
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	916545	916945
chr1	940172	940572
chr1	959123	959523
chr1	966792	967192
chr1	966233	966633
chr1	999961	1000361
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1024639	1025039
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1058664	1059064
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1074084	1074484
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1122094	1122494
chr1	1132520	1132920
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1162596	1162996
chr1	1201390	1201790
chr1	1231902	1232302
chr1	1238097	1238497
chr1	1273724	1274124
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1433179	1433579
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1658934	1659334
chr1	1678765	1679165
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1758752	1759152
chr1	1778261	1778661
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	2003702	2004102
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2189450	2189850
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2205103	2205503
chr1	2208257	2208657
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2250809	2251209
chr1	2314291	2314691
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2526086	2526486
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2566090	2566490
chr1	2575736	2576136
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2968526	2968926
chr1	3115296	3115696
chr1	3114879	3115279
chr1	3170498	3170898
chr1	3188259	3188659
chr1	3219178	3219578
chr1	3222183	3222583
chr1	3313103	3313503
chr1	3319910	3320310
chr1	3340489	3340889
chr1	3366056	3366456
chr1	3454249	3454649
chr1	3471295	3471695
chr1	3491213	3491613
chr1	3531251	3531651
chr1	3570570	3570970
chr1	3611516	3611916
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	4083880	4084280
chr1	4691324	4691724
chr1	5346381	5346781
chr1	5975153	5975553
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6127691	6128091
chr1	6199456	6199856
chr1	6198923	6199323
chr1	6205878	6206278
chr1	6205137	6205537
chr1	6235789	6236189
chr1	6273339	6273739
chr1	6359716	6360116
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6440254	6440654
chr1	6447730	6448130
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6646479	6646879
chr1	6701697	6702097
chr1	6735364	6735764
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6822473	6822873
chr1	6909876	6910276
chr1	6962190	6962590
chr1	7117520	7117920
chr1	7266047	7266447
chr1	7387441	7387841
chr1	7680260	7680660
chr1	7704452	7704852
chr1	7719699	7720099
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7783925	7784325
chr1	7942247	7942647
chr1	7954059	7954459
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7975252	7975652
chr1	8004791	8005191
chr1	8005193	8005593
chr1	8013398	8013798
chr1	8026172	8026572
chr1	8027302	8027702
chr1	8025769	8026169
chr1	8061234	8061634
chr1	8154710	8155110
chr1	8169724	8170124
chr1	8174780	8175180
chr1	8182080	8182480
chr1	8202123	8202523
chr1	8259029	8259429
chr1	8259608	8260008
chr1	8357160	8357560
chr1	8423531	8423931
chr1	8525898	8526298
chr1	8703137	8703537
chr1	8817516	8817916
chr1	8848788	8849188
chr1	8878566	8878966
chr1	8879028	8879428
chr1	9005078	9005478
chr1	9101565	9101965
chr1	9110747	9111147
chr1	9129024	9129424
chr1	9129424	9129824
chr1	9128605	9129005
chr1	9142230	9142630
chr1	9162777	9163177
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9249384	9249784
chr1	9270515	9270915
chr1	9292657	9293057
chr1	9300151	9300551
chr1	9371529	9371929
chr1	9428798	9429198
chr1	9441503	9441903
chr1	9539187	9539587
chr1	9588469	9588869
chr1	9615568	9615968
chr1	9626958	9627358
chr1	9687416	9687816
chr1	9689295	9689695
chr1	9770799	9771199
chr1	9784528	9784928
chr1	9823910	9824310
chr1	9825393	9825793
chr1	9867459	9867859
chr1	9874857	9875257
chr1	9900364	9900764
chr1	9910340	9910740
chr1	9910782	9911182
chr1	9943211	9943611
chr1	9950335	9950735
chr1	10032620	10033020
chr1	10210279	10210679
chr1	10209743	10210143
chr1	10387517	10387917
chr1	10398739	10399139
chr1	10399198	10399598
chr1	10430528	10430928
chr1	10459125	10459525
chr1	10472384	10472784
chr1	10474719	10475119
chr1	10494629	10495029
chr1	10495089	10495489
chr1	10530271	10530671
chr1	10599191	10599591
chr1	10663622	10664022
chr1	10694691	10695091
chr1	10723983	10724383
chr1	10726438	10726838
chr1	10759490	10759890
chr1	10793931	10794331
chr1	10796490	10796890
chr1	10835874	10836274
chr1	10944408	10944808
chr1	10962430	10962830
chr1	10980121	10980521
chr1	11012154	11012554
chr1	11012880	11013280
chr1	11037601	11038001
chr1	11059906	11060306
chr1	11099726	11100126
chr1	11262488	11262888
chr1	11272982	11273382
chr1	11273471	11273871
chr1	11478652	11479052
chr1	11479073	11479473
chr1	11550661	11551061
chr1	11663993	11664393
chr1	11680995	11681395
chr1	11735862	11736262
chr1	11803469	11803869
chr1	11805894	11806294
chr1	11805395	11805795
chr1	11858752	11859152
chr1	11882851	11883251
chr1	11907679	11908079
chr1	11908818	11909218
chr1	11908348	11908748
chr1	11926306	11926706
chr1	11934447	11934847
chr1	11967229	11967629
chr1	11980065	11980465
chr1	11980529	11980929
chr1	12019183	12019583
chr1	12166748	12167148
chr1	12229816	12230216
chr1	12230952	12231352
chr1	12478212	12478612
chr1	12528291	12528691
chr1	12595872	12596272
chr1	12615915	12616315
chr1	12618173	12618573
chr1	13749127	13749527
chr1	13748680	13749080
chr1	13799495	13799895
chr1	13828838	13829238
chr1	14786091	14786491
chr1	14787684	14788084
chr1	14804639	14805039
chr1	14923889	14924289
chr1	14945768	14946168
chr1	15027515	15027915
chr1	15046510	15046910
chr1	15128495	15128895
chr1	15139664	15140064
chr1	15140083	15140483
chr1	15153482	15153882
chr1	15152320	15152720
chr1	15180160	15180560
chr1	15200629	15201029
chr1	15200179	15200579
chr1	15201869	15202269
chr1	15247018	15247418
chr1	15247494	15247894
chr1	15323511	15323911
chr1	15340372	15340772
chr1	15409642	15410042
chr1	15524814	15525214
chr1	15524173	15524573
chr1	15526481	15526881
chr1	15526978	15527378
chr1	15559450	15559850
chr1	15603462	15603862
chr1	15603003	15603403
chr1	15617135	15617535
chr1	15617815	15618215
chr1	15703593	15703993
chr1	15736032	15736432
chr1	15741370	15741770
chr1	15780733	15781133
chr1	15800033	15800433
chr1	15835770	15836170
chr1	15834764	15835164
chr1	15834220	15834620
chr1	15836192	15836592
chr1	15847453	15847853
chr1	15886291	15886691
chr1	15939385	15939785
chr1	15975918	15976318
chr1	16013275	16013675
chr1	16032817	16033217
chr1	16048844	16049244
chr1	16056051	16056451
chr1	16067112	16067512
chr1	16073444	16073844
chr1	16143779	16144179
chr1	16146282	16146682
chr1	16145142	16145542
chr1	16155921	16156321
chr1	16167770	16168170
chr1	16181849	16182249
chr1	16206483	16206883
chr1	16206895	16207295
chr1	16216142	16216542
chr1	16217306	16217706
chr1	16217728	16218128
chr1	16226844	16227244
chr1	16237027	16237427
chr1	16352308	16352708
chr1	16366909	16367309
chr1	16367310	16367710
chr1	16440459	16440859
chr1	16499082	16499482
chr1	16513928	16514328
chr1	16514336	16514736
chr1	16613406	16613806
chr1	16644525	16644925
chr1	16701255	16701655
chr1	16700529	16700929
chr1	16707333	16707733
chr1	16707981	16708381
chr1	16755399	16755799
chr1	16764807	16765207
chr1	16889338	16889738
chr1	16895500	16895900
chr1	16896037	16896437
chr1	16904723	16905123
chr1	16913793	16914193
chr1	16914258	16914658
chr1	16921267	16921667
chr1	16951661	16952061
chr1	16960654	16961054
chr1	17011769	17012169
chr1	17053975	17054375
chr1	17054382	17054782
chr1	17233699	17234099
chr1	17502319	17502719
chr1	17516850	17517250
chr1	17551943	17552343
chr1	17559798	17560198
chr1	17588140	17588540
chr1	17711671	17712071
chr1	18319975	18320375
chr1	18464776	18465176
chr1	18480691	18481091
chr1	18480173	18480573
chr1	18902685	18903085
chr1	18941240	18941640
chr1	18956612	18957012
chr1	19011054	19011454
chr1	19067041	19067441
chr1	19080170	19080570
chr1	19210151	19210551
chr1	19210641	19211041
chr1	19251352	19251752
chr1	19251840	19252240
chr1	19288633	19289033
chr1	19312005	19312405
chr1	19385865	19386265
chr1	19440367	19440767
chr1	19468354	19468754
chr1	19485440	19485840
chr1	19525609	19526009
chr1	19596764	19597164
chr1	19597206	19597606
chr1	19596264	19596664
chr1	19644064	19644464
chr1	19715542	19715942
chr1	19786964	19787364
chr1	19799553	19799953
chr1	19815158	19815558
chr1	19815613	19816013
chr1	19882139	19882539
chr1	20232637	20233037
chr1	20250661	20251061
chr1	20290624	20291024
chr1	20291035	20291435
chr1	20358721	20359121
chr1	20365962	20366362
chr1	20480239	20480639
chr1	20486587	20486987
chr1	20486004	20486404
chr1	20493791	20494191
chr1	20507984	20508384
chr1	20507571	20507971
chr1	20633259	20633659
chr1	20633786	20634186
chr1	20661347	20661747
chr1	20660934	20661334
chr1	20696782	20697182
chr1	20696380	20696780
chr1	20717868	20718268
chr1	20733070	20733470
chr1	20786626	20787026
chr1	20787165	20787565
chr1	20786155	20786555
chr1	20896753	20897153
chr1	21022259	21022659
chr1	21176769	21177169
chr1	21251965	21252365
chr1	21289818	21290218
chr1	21290267	21290667
chr1	21338647	21339047
chr1	21345374	21345774
chr1	21379142	21379542
chr1	21384657	21385057
chr1	21439890	21440290
chr1	21509026	21509426
chr1	21607784	21608184
chr1	21622424	21622824
chr1	21623552	21623952
chr1	21632076	21632476
chr1	21638687	21639087
chr1	21651708	21652108
chr1	21659188	21659588
chr1	21669152	21669552
chr1	21782997	21783397
chr1	21783447	21783847
chr1	21904973	21905373
chr1	21937257	21937657
chr1	21963933	21964333
chr1	22025261	22025661
chr1	22025738	22026138
chr1	22052433	22052833
chr1	22053153	22053553
chr1	22121382	22121782
chr1	22420454	22420854
chr1	22451625	22452025
chr1	22452108	22452508
chr1	22704460	22704860
chr1	22826815	22827215
chr1	22964190	22964590
chr1	23019200	23019600
chr1	23019705	23020105
chr1	23168684	23169084
chr1	23344243	23344643
chr1	23344784	23345184
chr1	23368186	23368586
chr1	23368715	23369115
chr1	23403898	23404298
chr1	23423612	23424012
chr1	23451974	23452374
chr1	23478920	23479320
chr1	23484147	23484547
chr1	23514087	23514487
chr1	23531229	23531629
chr1	23539777	23540177
chr1	23544686	23545086
chr1	23554823	23555223
chr1	23559368	23559768
chr1	23619724	23620124
chr1	23634942	23635342
chr1	23691544	23691944
chr1	23727277	23727677
chr1	23743188	23743588
chr1	23743741	23744141
chr1	23778156	23778556
chr1	23790920	23791320
chr1	23800672	23801072
chr1	23799463	23799863
chr1	23800130	23800530
chr1	23825269	23825669
chr1	23838449	23838849
chr1	23837910	23838310
chr1	23868161	23868561
chr1	23867747	23868147
chr1	23902752	23903152
chr1	24118395	24118795
chr1	24120348	24120748
chr1	24150443	24150843
chr1	24151131	24151531
chr1	24187133	24187533
chr1	24186575	24186975
chr1	24201870	24202270
chr1	24390138	24390538
chr1	24413564	24413964
chr1	24415476	24415876
chr1	24502691	24503091
chr1	24502233	24502633
chr1	24540974	24541374
chr1	24555809	24556209
chr1	24567953	24568353
chr1	24576165	24576565
chr1	24642938	24643338
chr1	24642481	24642881
chr1	24688555	24688955
chr1	24705271	24705671
chr1	24705698	24706098
chr1	24724491	24724891
chr1	24745017	24745417
chr1	24786203	24786603
chr1	24847935	24848335
chr1	24848369	24848769
chr1	25106935	25107335
chr1	25168423	25168823
chr1	25232363	25232763
chr1	25233057	25233457
chr1	25239913	25240313
chr1	25247356	25247756
chr1	25247771	25248171
chr1	25267786	25268186
chr1	25338130	25338530
chr1	25430570	25430970
chr1	25430046	25430446
chr1	25522235	25522635
chr1	25543368	25543768
chr1	25616445	25616845
chr1	25695070	25695470
chr1	25799822	25800222
chr1	25800244	25800644
chr1	25819736	25820136
chr1	25859301	25859701
chr1	25867256	25867656
chr1	25867658	25868058
chr1	25875364	25875764
chr1	25890525	25890925
chr1	25895360	25895760
chr1	25905327	25905727
chr1	25906297	25906697
chr1	25998011	25998411
chr1	25997550	25997950
chr1	26035268	26035668
chr1	26035935	26036335
chr1	26064655	26065055
chr1	26111548	26111948
chr1	26112041	26112441
chr1	26110924	26111324
chr1	26164166	26164566
chr1	26169671	26170071
chr1	26177238	26177638
chr1	26225280	26225680
chr1	26233903	26234303
chr1	26234323	26234723
chr1	26279821	26280221
chr1	26306492	26306892
chr1	26336305	26336705
chr1	26336778	26337178
chr1	26354017	26354417
chr1	26432033	26432433
chr1	26432505	26432905
chr1	26472936	26473336
chr1	26472213	26472613
chr1	26500178	26500578
chr1	26500848	26501248
chr1	26529535	26529935
chr1	26542267	26542667
chr1	26620750	26621150
chr1	26620332	26620732
chr1	26621308	26621708
chr1	26677460	26677860
chr1	26693009	26693409
chr1	26692230	26692630
chr1	26695470	26695870
chr1	26698055	26698455
chr1	26723413	26723813
chr1	26749311	26749711
chr1	26787723	26788123
chr1	26826459	26826859
chr1	26864982	26865382
chr1	26865460	26865860
chr1	26890074	26890474
chr1	26889636	26890036
chr1	26900267	26900667
chr1	26914020	26914420
chr1	26913495	26913895
chr1	26921457	26921857
chr1	26951641	26952041
chr1	26960253	26960653
chr1	26959820	26960220
chr1	26990544	26990944
chr1	26993463	26993863
chr1	27012759	27013159
chr1	27031553	27031953
chr1	27137622	27138022
chr1	27154960	27155360
chr1	27161637	27162037
chr1	27234259	27234659
chr1	27233853	27234253
chr1	27234686	27235086
chr1	27300770	27301170
chr1	27321947	27322347
chr1	27349831	27350231
chr1	27365419	27365819
chr1	27366789	27367189
chr1	27366364	27366764
chr1	27383168	27383568
chr1	27392327	27392727
chr1	27418366	27418766
chr1	27455445	27455845
chr1	27490010	27490410
chr1	27490412	27490812
chr1	27504474	27504874
chr1	27528003	27528403
chr1	27542521	27542921
chr1	27557289	27557689
chr1	27556737	27557137
chr1	27568358	27568758
chr1	27603996	27604396
chr1	27659942	27660342
chr1	27672043	27672443
chr1	27725600	27726000
chr1	27772930	27773330
chr1	27773336	27773736
chr1	27785764	27786164
chr1	27830576	27830976
chr1	27914543	27914943
chr1	27914117	27914517
chr1	27959752	27960152
chr1	27959295	27959695
chr1	27960213	27960613
chr1	28088524	28088924
chr1	28105054	28105454
chr1	28235866	28236266
chr1	28247115	28247515
chr1	28259239	28259639
chr1	28296680	28297080
chr1	28322205	28322605
chr1	28328758	28329158
chr1	28353726	28354126
chr1	28369475	28369875
chr1	28369986	28370386
chr1	28437891	28438291
chr1	28505723	28506123
chr1	28518017	28518417
chr1	28518445	28518845
chr1	28552785	28553185
chr1	28581741	28582141
chr1	28642923	28643323
chr1	28648463	28648863
chr1	28647927	28648327
chr1	28668527	28668927
chr1	28736645	28737045
chr1	28736227	28736627
chr1	28775104	28775504
chr1	28860337	28860737
chr1	28882041	28882441
chr1	28884959	28885359
chr1	28886871	28887271
chr1	28914259	28914659
chr1	29124536	29124936
chr1	29145764	29146164
chr1	29181810	29182210
chr1	29181285	29181685
chr1	29182253	29182653
chr1	29202793	29203193
chr1	29230780	29231180
chr1	29236264	29236664
chr1	29271709	29272109
chr1	29283400	29283800
chr1	29503431	29503831
chr1	29985065	29985465
chr1	30643909	30644309
chr1	30649443	30649843
chr1	30685346	30685746
chr1	30708079	30708479
chr1	30718080	30718480
chr1	30718494	30718894
chr1	30782880	30783280
chr1	30816146	30816546
chr1	30816640	30817040
chr1	30824387	30824787
chr1	30823987	30824387
chr1	30847446	30847846
chr1	30854114	30854514
chr1	30856211	30856611
chr1	30888445	30888845
chr1	31065574	31065974
chr1	31065996	31066396
chr1	31099680	31100080
chr1	31155338	31155738
chr1	31154815	31155215
chr1	31162657	31163057
chr1	31170816	31171216
chr1	31182328	31182728
chr1	31296741	31297141
chr1	31296325	31296725
chr1	31372957	31373357
chr1	31373545	31373945
chr1	31390032	31390432
chr1	31422703	31423103
chr1	31444786	31445186
chr1	31471499	31471899
chr1	31483230	31483630
chr1	31511147	31511547
chr1	31548872	31549272
chr1	31576302	31576702
chr1	31575520	31575920
chr1	31584023	31584423
chr1	31591832	31592232
chr1	31644736	31645136
chr1	31644327	31644727
chr1	31645342	31645742
chr1	31666501	31666901
chr1	31669651	31670051
chr1	31715098	31715498
chr1	31715597	31715997
chr1	31760862	31761262
chr1	31789222	31789622
chr1	31788457	31788857
chr1	31938249	31938649
chr1	31944272	31944672
chr1	31955991	31956391
chr1	32013513	32013913
chr1	32062519	32062919
chr1	32073037	32073437
chr1	32072629	32073029
chr1	32107821	32108221
chr1	32108339	32108739
chr1	32179460	32179860
chr1	32205417	32205817
chr1	32222164	32222564
chr1	32240173	32240573
chr1	32248176	32248576
chr1	32291808	32292208
chr1	32321742	32322142
chr1	32336057	32336457
chr1	32338268	32338668
chr1	32351338	32351738
chr1	32362079	32362479
chr1	32361667	32362067
chr1	32394314	32394714
chr1	32394851	32395251
chr1	32400815	32401215
chr1	32447889	32448289
chr1	32464721	32465121
chr1	32500701	32501101
chr1	32500248	32500648
chr1	32612113	32612513
chr1	32650870	32651270
chr1	32650388	32650788
chr1	32651403	32651803
chr1	32716606	32717006
chr1	32725146	32725546
chr1	32753711	32754111
chr1	32754184	32754584
chr1	32760093	32760493
chr1	32759403	32759803
chr1	32817273	32817673
chr1	32870500	32870900
chr1	32870931	32871331
chr1	32901231	32901631
chr1	32912797	32913197
chr1	32925421	32925821
chr1	32964710	32965110
chr1	32972807	32973207
chr1	32981161	32981561
chr1	32992385	32992785
chr1	33036756	33037156
chr1	33036274	33036674
chr1	33080888	33081288
chr1	33094999	33095399
chr1	33127229	33127629
chr1	33126819	33127219
chr1	33180711	33181111
chr1	33181908	33182308
chr1	33255457	33255857
chr1	33255880	33256280
chr1	33342290	33342690
chr1	33349821	33350221
chr1	33349363	33349763
chr1	33364445	33364845
chr1	33367745	33368145
chr1	33430914	33431314
chr1	33472306	33472706
chr1	33472748	33473148
chr1	33633037	33633437
chr1	34163135	34163535
chr1	34690328	34690728
chr1	34742645	34743045
chr1	34825569	34825969
chr1	34825081	34825481
chr1	34852651	34853051
chr1	34859602	34860002
chr1	34866320	34866720
chr1	34885536	34885936
chr1	34983955	34984355
chr1	35031541	35031941
chr1	35193048	35193448
chr1	35191922	35192322
chr1	35202079	35202479
chr1	35268449	35268849
chr1	35545035	35545435
chr1	35557532	35557932
chr1	35556969	35557369
chr1	35641377	35641777
chr1	35718679	35719079
chr1	35718244	35718644
chr1	35726820	35727220
chr1	35769837	35770237
chr1	35769301	35769701
chr1	35882944	35883344
chr1	35930895	35931295
chr1	35930494	35930894
chr1	35931338	35931738
chr1	36088641	36089041
chr1	36134741	36135141
chr1	36135198	36135598
chr1	36149389	36149789
chr1	36150779	36151179
chr1	36155938	36156338
chr1	36178903	36179303
chr1	36188132	36188532
chr1	36224090	36224490
chr1	36224495	36224895
chr1	36299869	36300269
chr1	36306816	36307216
chr1	36306164	36306564
chr1	36323996	36324396
chr1	36350637	36351037
chr1	36351169	36351569
chr1	36373782	36374182
chr1	36374471	36374871
chr1	36384930	36385330
chr1	36385861	36386261
chr1	36386407	36386807
chr1	36385393	36385793
chr1	36397732	36398132
chr1	36397214	36397614
chr1	36450333	36450733
chr1	36464212	36464612
chr1	36464615	36465015
chr1	36486857	36487257
chr1	36623238	36623638
chr1	36703692	36704092
chr1	37434285	37434685
chr1	37454835	37455235
chr1	37474287	37474687
chr1	37479655	37480055
chr1	37514598	37514998
chr1	37515019	37515419
chr1	37534464	37534864
chr1	37554135	37554535
chr1	37556724	37557124
chr1	37595806	37596206
chr1	37690386	37690786
chr1	37692154	37692554
chr1	37692556	37692956
chr1	37808023	37808423
chr1	37859472	37859872
chr1	37858944	37859344
chr1	37931647	37932047
chr1	37946880	37947280
chr1	37989929	37990329
chr1	38012442	38012842
chr1	38047153	38047553
chr1	38138528	38138928
chr1	38859648	38860048
chr1	38860053	38860453
chr1	38873241	38873641
chr1	38872609	38873009
chr1	38991008	38991408
chr1	39026096	39026496
chr1	39092343	39092743
chr1	39105162	39105562
chr1	39105621	39106021
chr1	39158604	39159004
chr1	39159204	39159604
chr1	39158185	39158585
chr1	39183690	39184090
chr1	39268852	39269252
chr1	39378301	39378701
chr1	39392070	39392470
chr1	39398610	39399010
chr1	39408600	39409000
chr1	39435056	39435456
chr1	39491376	39491776
chr1	39576674	39577074
chr1	39575632	39576032
chr1	39639527	39639927
chr1	39691250	39691650
chr1	39701401	39701801
chr1	39738646	39739046
chr1	39816777	39817177
chr1	39845580	39845980
chr1	39883338	39883738
chr1	39892559	39892959
chr1	39901859	39902259
chr1	39934291	39934691
chr1	39954893	39955293
chr1	39973462	39973862
chr1	40040405	40040805
chr1	40039827	40040227
chr1	40084678	40085078
chr1	40097070	40097470
chr1	40143976	40144376
chr1	40161124	40161524
chr1	40161690	40162090
chr1	40257857	40258257
chr1	40258290	40258690
chr1	40257298	40257698
chr1	40267736	40268136
chr1	40315272	40315672
chr1	40316576	40316976
chr1	40338687	40339087
chr1	40373462	40373862
chr1	40374138	40374538
chr1	40374651	40375051
chr1	40384061	40384461
chr1	40404824	40405224
chr1	40449890	40450290
chr1	40450388	40450788
chr1	40477063	40477463
chr1	40508515	40508915
chr1	40531391	40531791
chr1	40531793	40532193
chr1	40633988	40634388
chr1	40665544	40665944
chr1	40668808	40669208
chr1	40691934	40692334
chr1	40691437	40691837
chr1	40709052	40709452
chr1	40708652	40709052
chr1	40729834	40730234
chr1	40782528	40782928
chr1	40802278	40802678
chr1	40818606	40819006
chr1	40862259	40862659
chr1	40919452	40919852
chr1	40939716	40940116
chr1	40979463	40979863
chr1	40980045	40980445
chr1	41003686	41004086
chr1	41102195	41102595
chr1	41242061	41242461
chr1	41342037	41342437
chr1	41360930	41361330
chr1	41381004	41381404
chr1	41387684	41388084
chr1	41418820	41419220
chr1	41432703	41433103
chr1	41496165	41496565
chr1	41498912	41499312
chr1	41500401	41500801
chr1	41516061	41516461
chr1	41662227	41662627
chr1	41661750	41662150
chr1	41977200	41977600
chr1	42035823	42036223
chr1	42146860	42147260
chr1	42165813	42166213
chr1	42165413	42165813
chr1	42335086	42335486
chr1	42335724	42336124
chr1	42380521	42380921
chr1	42380970	42381370
chr1	42456316	42456716
chr1	42455839	42456239
chr1	42462969	42463369
chr1	42463383	42463783
chr1	42658150	42658550
chr1	42682114	42682514
chr1	42681634	42682034
chr1	42682906	42683306
chr1	42740137	42740537
chr1	42766942	42767342
chr1	42766535	42766935
chr1	42817183	42817583
chr1	42846331	42846731
chr1	42924187	42924587
chr1	42958756	42959156
chr1	42958072	42958472
chr1	42967041	42967441
chr1	42980343	42980743
chr1	43007401	43007801
chr1	43007826	43008226
chr1	43058498	43058898
chr1	43067887	43068287
chr1	43147582	43147982
chr1	43172120	43172520
chr1	43206862	43207262
chr1	43270436	43270836
chr1	43276687	43277087
chr1	43285444	43285844
chr1	43348928	43349328
chr1	43349335	43349735
chr1	43358672	43359072
chr1	43367916	43368316
chr1	43389665	43390065
chr1	43454451	43454851
chr1	43453777	43454177
chr1	43472399	43472799
chr1	43530634	43531034
chr1	43531507	43531907
chr1	43531063	43531463
chr1	43545761	43546161
chr1	43550091	43550491
chr1	43565634	43566034
chr1	43582266	43582666
chr1	43649835	43650235
chr1	43650237	43650637
chr1	43707251	43707651
chr1	43707768	43708168
chr1	43763405	43763805
chr1	43836471	43836871
chr1	43933530	43933930
chr1	43946457	43946857
chr1	43947055	43947455
chr1	43969686	43970086
chr1	43974691	43975091
chr1	43979798	43980198
chr1	43991400	43991800
chr1	43991903	43992303
chr1	44030065	44030465
chr1	44029634	44030034
chr1	44035903	44036303
chr1	44213460	44213860
chr1	44265052	44265452
chr1	44283495	44283895
chr1	44327810	44328210
chr1	44355123	44355523
chr1	44354718	44355118
chr1	44355537	44355937
chr1	44437070	44437470
chr1	44631725	44632125
chr1	44632129	44632529
chr1	44652841	44653241
chr1	44674375	44674775
chr1	44673975	44674375
chr1	44721530	44721930
chr1	44731212	44731612
chr1	44730783	44731183
chr1	44739536	44739936
chr1	44775336	44775736
chr1	44774868	44775268
chr1	44786085	44786485
