Chromosome	Start	End
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	856585	856985
chr1	959124	959524
chr1	999982	1000382
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1116056	1116456
chr1	1231886	1232286
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1433189	1433589
chr1	1471485	1471885
chr1	1481789	1482189
chr1	1526535	1526935
chr1	1540434	1540834
chr1	1540877	1541277
chr1	1562062	1562462
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1645637	1646037
chr1	1724233	1724633
chr1	1778256	1778656
chr1	1858650	1859050
chr1	1890239	1890639
chr1	1908991	1909391
chr1	1908581	1908981
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2212433	2212833
chr1	2213051	2213451
chr1	2227624	2228024
chr1	2231885	2232285
chr1	2290669	2291069
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2623397	2623797
chr1	2643065	2643465
chr1	3304632	3305032
chr1	3320549	3320949
chr1	3323135	3323535
chr1	3393477	3393877
chr1	3415470	3415870
chr1	3423331	3423731
chr1	3531263	3531663
chr1	3590340	3590740
chr1	3597967	3598367
chr1	3596919	3597319
chr1	3611465	3611865
chr1	3624685	3625085
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3900667	3901067
chr1	3900178	3900578
chr1	4446612	4447012
chr1	5992337	5992737
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6497320	6497720
chr1	6579731	6580131
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6701692	6702092
chr1	6713063	6713463
chr1	6785114	6785514
chr1	7539665	7540065
chr1	7680285	7680685
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7771452	7771852
chr1	7783871	7784271
chr1	8004944	8005344
chr1	8005395	8005795
chr1	8026127	8026527
chr1	8217106	8217506
chr1	8317887	8318287
chr1	8353399	8353799
chr1	8525866	8526266
chr1	8544563	8544963
chr1	8664068	8664468
chr1	8703198	8703598
chr1	8817530	8817930
chr1	8827683	8828083
chr1	8878569	8878969
chr1	8911336	8911736
chr1	9234476	9234876
chr1	9292616	9293016
chr1	9322815	9323215
chr1	9453213	9453613
chr1	9539155	9539555
chr1	9588452	9588852
chr1	9717574	9717974
chr1	9823823	9824223
chr1	9825459	9825859
chr1	9865750	9866150
chr1	9900350	9900750
chr1	9910260	9910660
chr1	9910733	9911133
chr1	9929441	9929841
chr1	9943203	9943603
chr1	10032607	10033007
chr1	10108289	10108689
chr1	10193068	10193468
chr1	10210259	10210659
chr1	10387707	10388107
chr1	10398727	10399127
chr1	10399173	10399573
chr1	10472398	10472798
chr1	10540594	10540994
chr1	10675327	10675727
chr1	10709619	10710019
chr1	11012139	11012539
chr1	11059932	11060332
chr1	11262493	11262893
chr1	11272898	11273298
chr1	11785103	11785503
chr1	11784642	11785042
chr1	11790856	11791256
chr1	11805829	11806229
chr1	11805399	11805799
chr1	11880937	11881337
chr1	11926291	11926691
chr1	11934437	11934837
chr1	11980061	11980461
chr1	11980529	11980929
chr1	12019185	12019585
chr1	12166756	12167156
chr1	12168493	12168893
chr1	12184238	12184638
chr1	12229820	12230220
chr1	12294066	12294466
chr1	12434630	12435030
chr1	12453432	12453832
chr1	12618904	12619304
chr1	12619342	12619742
chr1	13749098	13749498
chr1	13749528	13749928
chr1	14923891	14924291
chr1	15007927	15008327
chr1	15139718	15140118
chr1	15178994	15179394
chr1	15246997	15247397
chr1	15524311	15524711
chr1	15617152	15617552
chr1	15834776	15835176
chr1	15847463	15847863
chr1	15886292	15886692
chr1	15939368	15939768
chr1	15966043	15966443
chr1	16003941	16004341
chr1	16032823	16033223
chr1	16145155	16145555
chr1	16145580	16145980
chr1	16181846	16182246
chr1	16181432	16181832
chr1	16206476	16206876
chr1	16217331	16217731
chr1	16352316	16352716
chr1	16366923	16367323
chr1	16367338	16367738
chr1	16440458	16440858
chr1	16444343	16444743
chr1	16499070	16499470
chr1	16513824	16514224
chr1	16613406	16613806
chr1	16612886	16613286
chr1	16644518	16644918
chr1	16888786	16889186
chr1	16896036	16896436
chr1	16904723	16905123
chr1	16913826	16914226
chr1	16914231	16914631
chr1	16951650	16952050
chr1	17053917	17054317
chr1	17437539	17437939
chr1	17679901	17680301
chr1	18902689	18903089
chr1	18956585	18956985
chr1	19210174	19210574
chr1	19251575	19251975
chr1	19288633	19289033
chr1	19311983	19312383
chr1	19390928	19391328
chr1	19398377	19398777
chr1	19485444	19485844
chr1	19736681	19737081
chr1	19882128	19882528
chr1	19882588	19882988
chr1	20108674	20109074
chr1	20661320	20661720
chr1	20696789	20697189
chr1	20786573	20786973
chr1	21098080	21098480
chr1	21163118	21163518
chr1	21345382	21345782
chr1	21439877	21440277
chr1	21509023	21509423
chr1	21538074	21538474
chr1	21574031	21574431
chr1	21909731	21910131
chr1	21946893	21947293
chr1	21985274	21985674
chr1	22052447	22052847
chr1	22143047	22143447
chr1	22412516	22412916
chr1	22451636	22452036
chr1	22452086	22452486
chr1	22976392	22976792
chr1	23019182	23019582
chr1	23050166	23050566
chr1	23168671	23169071
chr1	23169621	23170021
chr1	23177687	23178087
chr1	23225007	23225407
chr1	23344207	23344607
chr1	23368193	23368593
chr1	23367702	23368102
chr1	23484141	23484541
chr1	23484557	23484957
chr1	23544698	23545098
chr1	23554780	23555180
chr1	23559388	23559788
chr1	23691533	23691933
chr1	23790911	23791311
chr1	23800664	23801064
chr1	23868172	23868572
chr1	23867766	23868166
chr1	23959519	23959919
chr1	23958938	23959338
chr1	24018809	24019209
chr1	24415432	24415832
chr1	24642918	24643318
chr1	24643334	24643734
chr1	24664520	24664920
chr1	24705714	24706114
chr1	24724848	24725248
chr1	24725308	24725708
chr1	24730670	24731070
chr1	24744999	24745399
chr1	24745415	24745815
chr1	24813965	24814365
chr1	25239893	25240293
chr1	25247350	25247750
chr1	25338137	25338537
chr1	25424204	25424604
chr1	25430592	25430992
chr1	25499041	25499441
chr1	25543365	25543765
chr1	25562455	25562855
chr1	25616476	25616876
chr1	25616074	25616474
