Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	191294	191694
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	869724	870124
chr1	898674	899074
chr1	904538	904938
chr1	910522	910922
chr1	940125	940525
chr1	941634	942034
chr1	950265	950665
chr1	959124	959524
chr1	966263	966663
chr1	976001	976401
chr1	999982	1000382
chr1	1000660	1001060
chr1	1005238	1005638
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1032422	1032822
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1128398	1128798
chr1	1133357	1133757
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1157374	1157774
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1173638	1174038
chr1	1201378	1201778
chr1	1207998	1208398
chr1	1208407	1208807
chr1	1225189	1225589
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1291801	1292201
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1325575	1325975
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1355377	1355777
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1421162	1421562
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1438009	1438409
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1540434	1540834
chr1	1543727	1544127
chr1	1543321	1543721
chr1	1550881	1551281
chr1	1551362	1551762
chr1	1551981	1552381
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
