Chromosome	Start	End
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	865632	866032
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	921026	921426
chr1	923618	924018
chr1	941619	942019
chr1	959123	959523
chr1	960370	960770
chr1	960841	961241
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1136490	1136890
chr1	1137242	1137642
chr1	1135855	1136255
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1171773	1172173
chr1	1179243	1179643
chr1	1206392	1206792
chr1	1205737	1206137
chr1	1206881	1207281
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1291818	1292218
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1352814	1353214
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1426434	1426834
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1607072	1607472
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1629741	1630141
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1677829	1678229
chr1	1678252	1678652
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1694471	1694871
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1779881	1780281
chr1	1780366	1780766
chr1	1833989	1834389
chr1	1833475	1833875
chr1	1834498	1834898
chr1	1842807	1843207
chr1	1847974	1848374
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1895889	1896289
chr1	1899666	1900066
chr1	1901906	1902306
chr1	1907411	1907811
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1918464	1918864
chr1	1919979	1920379
chr1	2044817	2045217
chr1	2044367	2044767
chr1	2050089	2050489
chr1	2091601	2092001
chr1	2100499	2100899
chr1	2112467	2112867
chr1	2126875	2127275
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2234378	2234778
chr1	2246659	2247059
chr1	2279154	2279554
chr1	2290112	2290512
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
