Chromosome	Start	End
chr1	191294	191694
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	869724	870124
chr1	923663	924063
chr1	940125	940525
chr1	959124	959524
chr1	999982	1000382
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1025068	1025468
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1099596	1099996
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1185249	1185649
chr1	1207998	1208398
chr1	1208407	1208807
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1273288	1273688
chr1	1298859	1299259
chr1	1304654	1305054
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1307400	1307800
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1348736	1349136
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1425648	1426048
chr1	1426389	1426789
chr1	1426881	1427281
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1630940	1631340
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1764229	1764629
chr1	1778256	1778656
chr1	1806943	1807343
chr1	1840540	1840940
chr1	1858650	1859050
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2073475	2073875
chr1	2087768	2088168
chr1	2099187	2099587
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2213051	2213451
chr1	2227624	2228024
chr1	2229102	2229502
chr1	2237682	2238082
chr1	2243272	2243672
chr1	2257293	2257693
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2390940	2391340
chr1	2412466	2412866
chr1	2425891	2426291
chr1	2443844	2444244
chr1	2446363	2446763
chr1	2449584	2449984
chr1	2452593	2452993
chr1	2459787	2460187
chr1	2493596	2493996
chr1	2526090	2526490
chr1	2526844	2527244
chr1	2543720	2544120
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2643065	2643465
chr1	2914710	2915110
chr1	2949289	2949689
chr1	2949957	2950357
chr1	2966826	2967226
chr1	2968414	2968814
chr1	2982944	2983344
chr1	2985242	2985642
chr1	2988262	2988662
chr1	3003875	3004275
chr1	3012469	3012869
chr1	3011946	3012346
chr1	3031037	3031437
chr1	3170497	3170897
chr1	3219226	3219626
chr1	3350427	3350827
chr1	3350828	3351228
chr1	3366152	3366552
chr1	3410118	3410518
chr1	3424678	3425078
chr1	3431262	3431662
chr1	3441411	3441811
chr1	3453121	3453521
chr1	3458172	3458572
chr1	3471752	3472152
chr1	3491216	3491616
chr1	3624685	3625085
chr1	3624248	3624648
chr1	3649912	3650312
chr1	3695610	3696010
chr1	3713135	3713535
chr1	3714382	3714782
chr1	3714783	3715183
chr1	3727301	3727701
chr1	3747236	3747636
chr1	3746757	3747157
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3827711	3828111
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3857569	3857969
chr1	3858201	3858601
chr1	3863217	3863617
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	4265748	4266148
chr1	4656255	4656655
chr1	4655595	4655995
