Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	877493	877893
chr1	898658	899058
chr1	904556	904956
chr1	911156	911556
chr1	921026	921426
chr1	940172	940572
chr1	941619	942019
chr1	959123	959523
chr1	960370	960770
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	999961	1000361
chr1	1001805	1002205
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1122094	1122494
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1162596	1162996
chr1	1163034	1163434
chr1	1168514	1168914
chr1	1173670	1174070
chr1	1205737	1206137
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1286011	1286411
chr1	1291818	1292218
chr1	1298935	1299335
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1331024	1331424
chr1	1330623	1331023
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1419991	1420391
chr1	1421191	1421591
chr1	1435445	1435845
chr1	1438010	1438410
chr1	1462251	1462651
chr1	1462651	1463051
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1550850	1551250
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1599094	1599494
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1782473	1782873
chr1	1782933	1783333
chr1	1782004	1782404
chr1	1802958	1803358
chr1	1881855	1882255
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2050089	2050489
chr1	2104941	2105341
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2179510	2179910
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2237254	2237654
chr1	2299260	2299660
chr1	2322683	2323083
chr1	2391508	2391908
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2426459	2426859
chr1	2431095	2431495
chr1	2434325	2434725
chr1	2463328	2463728
chr1	2526086	2526486
chr1	2546010	2546410
chr1	2555593	2555993
chr1	2564958	2565358
chr1	2564539	2564939
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2772312	2772712
chr1	2821904	2822304
chr1	2862384	2862784
chr1	2866343	2866743
chr1	2865934	2866334
chr1	2882909	2883309
chr1	2883458	2883858
chr1	2928619	2929019
chr1	2968526	2968926
chr1	3140416	3140816
chr1	3170498	3170898
chr1	3169750	3170150
chr1	3186553	3186953
chr1	3188259	3188659
chr1	3207207	3207607
chr1	3222183	3222583
chr1	3251755	3252155
chr1	3274530	3274930
chr1	3323137	3323537
chr1	3323654	3324054
chr1	3352427	3352827
chr1	3365497	3365897
chr1	3392991	3393391
chr1	3410103	3410503
chr1	3423382	3423782
chr1	3453096	3453496
chr1	3454249	3454649
chr1	3494270	3494670
chr1	3521603	3522003
chr1	3538253	3538653
chr1	3577320	3577720
chr1	3590325	3590725
chr1	3624670	3625070
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3683980	3684380
chr1	3697828	3698228
chr1	3733040	3733440
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3772849	3773249
chr1	3775895	3776295
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3899597	3899997
chr1	3901210	3901610
chr1	3924937	3925337
chr1	3942838	3943238
chr1	4071646	4072046
chr1	4072097	4072497
chr1	4109288	4109688
chr1	4267488	4267888
chr1	4273199	4273599
chr1	4527718	4528118
chr1	4711081	4711481
chr1	4853913	4854313
chr1	5514546	5514946
chr1	5551862	5552262
chr1	5880257	5880657
chr1	5895670	5896070
chr1	5904527	5904927
chr1	5914944	5915344
chr1	5970599	5970999
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6002249	6002649
chr1	6003795	6004195
chr1	6026063	6026463
chr1	6026488	6026888
chr1	6034441	6034841
chr1	6144185	6144585
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6209177	6209577
chr1	6235789	6236189
chr1	6235199	6235599
chr1	6245011	6245411
chr1	6245519	6245919
chr1	6260903	6261303
chr1	6270027	6270427
chr1	6270474	6270874
chr1	6335856	6336256
chr1	6359716	6360116
chr1	6359255	6359655
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6423442	6423842
chr1	6447730	6448130
chr1	6448152	6448552
chr1	6471449	6471849
chr1	6486438	6486838
chr1	6490418	6490818
chr1	6519988	6520388
chr1	6554368	6554768
chr1	6553784	6554184
chr1	6579729	6580129
chr1	6595041	6595441
chr1	6602781	6603181
