Chromosome	Start	End
chr1	181273	181673
chr1	191294	191694
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	818585	818985
chr1	827359	827759
chr1	826875	827275
chr1	904538	904938
chr1	959124	959524
chr1	999982	1000382
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1040691	1041091
chr1	1079406	1079806
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1133357	1133757
chr1	1157374	1157774
chr1	1207998	1208398
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1352117	1352517
chr1	1358419	1358819
chr1	1360504	1360904
chr1	1359717	1360117
chr1	1359277	1359677
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1550881	1551281
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1778256	1778656
chr1	1777499	1777899
chr1	1858650	1859050
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2175985	2176385
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2212433	2212833
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2234385	2234785
chr1	2240191	2240591
chr1	2290669	2291069
chr1	2291121	2291521
chr1	2299235	2299635
chr1	2312827	2313227
chr1	2322503	2322903
chr1	2330846	2331246
chr1	2358956	2359356
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2548685	2549085
chr1	2556300	2556700
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2643065	2643465
chr1	2968414	2968814
chr1	2985242	2985642
chr1	3313094	3313494
chr1	3353016	3353416
chr1	3366152	3366552
chr1	3366677	3367077
chr1	3369782	3370182
chr1	3597967	3598367
chr1	3611465	3611865
chr1	3624685	3625085
chr1	3625151	3625551
chr1	3649912	3650312
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	4801493	4801893
chr1	4802088	4802488
chr1	5297250	5297650
chr1	5477828	5478228
chr1	5493963	5494363
chr1	5494469	5494869
chr1	5598032	5598432
chr1	5745777	5746177
chr1	5980431	5980831
chr1	5992337	5992737
chr1	6016241	6016641
chr1	6098487	6098887
chr1	6127731	6128131
chr1	6199485	6199885
chr1	6205158	6205558
chr1	6235817	6236217
chr1	6259948	6260348
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6701692	6702092
chr1	6743780	6744180
chr1	6785114	6785514
chr1	6784483	6784883
chr1	7229761	7230161
chr1	7291521	7291921
chr1	7455399	7455799
chr1	7470867	7471267
chr1	7478904	7479304
chr1	7501151	7501551
chr1	7581971	7582371
chr1	7648940	7649340
chr1	7667525	7667925
chr1	7670344	7670744
chr1	7680285	7680685
chr1	7704470	7704870
chr1	7752806	7753206
chr1	7771047	7771447
chr1	7783871	7784271
chr1	7783376	7783776
chr1	7784354	7784754
chr1	7954058	7954458
chr1	7961375	7961775
chr1	7975252	7975652
chr1	7982277	7982677
chr1	8004944	8005344
chr1	8004113	8004513
chr1	8005395	8005795
chr1	8014950	8015350
chr1	8026127	8026527
chr1	8025697	8026097
chr1	8040572	8040972
chr1	8063694	8064094
chr1	8073467	8073867
chr1	8116918	8117318
chr1	8116449	8116849
chr1	8121306	8121706
chr1	8133638	8134038
chr1	8134138	8134538
chr1	8137840	8138240
chr1	8154692	8155092
chr1	8169735	8170135
chr1	8202526	8202926
chr1	8217106	8217506
chr1	8224966	8225366
chr1	8238967	8239367
chr1	8259603	8260003
chr1	8314277	8314677
chr1	8317887	8318287
chr1	8342320	8342720
chr1	8343414	8343814
chr1	8343014	8343414
chr1	8348959	8349359
chr1	8349986	8350386
chr1	8373503	8373903
chr1	8378185	8378585
chr1	8396869	8397269
chr1	8412208	8412608
chr1	8411748	8412148
chr1	8423575	8423975
chr1	8424047	8424447
chr1	8423137	8423537
chr1	8438888	8439288
chr1	8448826	8449226
chr1	8455706	8456106
chr1	8456303	8456703
chr1	8497401	8497801
chr1	8517880	8518280
chr1	8525866	8526266
chr1	8536491	8536891
chr1	8598039	8598439
