Chromosome	Start	End
chr1	191294	191694
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	869724	870124
chr1	999982	1000382
chr1	1040691	1041091
chr1	1069157	1069557
chr1	1116056	1116456
chr1	1231886	1232286
chr1	1273712	1274112
chr1	1291083	1291483
chr1	1308304	1308704
chr1	1358419	1358819
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1419974	1420374
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1516896	1517296
chr1	1540434	1540834
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1658953	1659353
chr1	1724233	1724633
chr1	1764229	1764629
chr1	1788169	1788569
chr1	1858650	1859050
chr1	1890942	1891342
chr1	1908991	1909391
chr1	1919230	1919630
chr1	2092205	2092605
chr1	2098297	2098697
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2189500	2189900
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2212433	2212833
chr1	2213051	2213451
chr1	2227624	2228024
chr1	2237086	2237486
chr1	2291121	2291521
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2548685	2549085
chr1	2555558	2555958
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2652174	2652574
chr1	2653232	2653632
chr1	3313094	3313494
chr1	3597967	3598367
chr1	3624685	3625085
chr1	3652158	3652558
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	4019138	4019538
chr1	4108778	4109178
chr1	4718621	4719021
chr1	4729985	4730385
chr1	4794753	4795153
chr1	5297250	5297650
chr1	5494469	5494869
chr1	5598032	5598432
chr1	5771603	5772003
chr1	5895680	5896080
chr1	5915714	5916114
chr1	5980431	5980831
chr1	5992337	5992737
chr1	6065046	6065446
chr1	6075093	6075493
chr1	6082519	6082919
chr1	6111712	6112112
chr1	6161350	6161750
chr1	6180266	6180666
chr1	6199485	6199885
chr1	6235817	6236217
chr1	6245583	6245983
chr1	6276408	6276808
chr1	6294070	6294470
chr1	6343387	6343787
chr1	6385743	6386143
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6519955	6520355
chr1	6579731	6580131
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6701692	6702092
chr1	6785114	6785514
chr1	6922505	6922905
chr1	7172827	7173227
chr1	7465236	7465636
chr1	7501151	7501551
chr1	7557183	7557583
chr1	7574331	7574731
chr1	7668474	7668874
chr1	7680691	7681091
chr1	7694885	7695285
chr1	7704470	7704870
chr1	7728031	7728431
chr1	7771047	7771447
chr1	7771452	7771852
chr1	7783871	7784271
chr1	7783376	7783776
chr1	7954058	7954458
chr1	7961375	7961775
chr1	7975252	7975652
chr1	8004944	8005344
chr1	8026127	8026527
chr1	8061236	8061636
chr1	8116918	8117318
chr1	8197690	8198090
chr1	8317887	8318287
chr1	8379029	8379429
chr1	8438888	8439288
chr1	8525866	8526266
chr1	8660399	8660799
chr1	8687052	8687452
chr1	8703198	8703598
chr1	8817530	8817930
chr1	8848796	8849196
chr1	8878569	8878969
chr1	8889939	8890339
chr1	9005074	9005474
chr1	9129030	9129430
chr1	9129436	9129836
chr1	9149744	9150144
chr1	9163527	9163927
chr1	9196266	9196666
chr1	9234476	9234876
chr1	9251104	9251504
chr1	9401773	9402173
chr1	9413020	9413420
chr1	9413439	9413839
chr1	9428816	9429216
chr1	9438506	9438906
chr1	9449347	9449747
chr1	9539155	9539555
chr1	9570863	9571263
chr1	9588452	9588852
chr1	9604058	9604458
chr1	9626958	9627358
