Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	923663	924063
chr1	959124	959524
chr1	999982	1000382
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1116056	1116456
chr1	1157374	1157774
chr1	1231886	1232286
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1355377	1355777
chr1	1358419	1358819
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1471485	1471885
chr1	1471896	1472296
chr1	1511867	1512267
chr1	1540434	1540834
chr1	1539610	1540010
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1630222	1630622
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1778256	1778656
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2212433	2212833
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2279161	2279561
chr1	2330846	2331246
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2548685	2549085
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2643065	2643465
chr1	2653719	2654119
chr1	3069569	3069969
chr1	3170497	3170897
chr1	3313094	3313494
chr1	3352429	3352829
chr1	3369782	3370182
chr1	3624685	3625085
chr1	3624248	3624648
chr1	3649912	3650312
