Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	831252	831652
chr1	832103	832503
chr1	835494	835894
chr1	858657	859057
chr1	865632	866032
chr1	866062	866462
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	916545	916945
chr1	921026	921426
chr1	920614	921014
chr1	923618	924018
chr1	924752	925152
chr1	924256	924656
chr1	925504	925904
chr1	935810	936210
chr1	938073	938473
chr1	940172	940572
chr1	941619	942019
chr1	940755	941155
chr1	944311	944711
chr1	958627	959027
chr1	959123	959523
chr1	959583	959983
chr1	960370	960770
chr1	960841	961241
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	981976	982376
chr1	984122	984522
chr1	998982	999382
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1014273	1014673
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1021064	1021464
chr1	1024639	1025039
chr1	1025053	1025453
chr1	1026985	1027385
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1034165	1034565
chr1	1033715	1034115
chr1	1040638	1041038
chr1	1040018	1040418
chr1	1050708	1051108
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1064155	1064555
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1070244	1070644
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1201390	1201790
chr1	1206392	1206792
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1246543	1246943
chr1	1250215	1250615
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1281628	1282028
chr1	1290156	1290556
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1309097	1309497
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1325425	1325825
chr1	1334887	1335287
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1347568	1347968
chr1	1348027	1348427
chr1	1348840	1349240
chr1	1348437	1348837
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1359639	1360039
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1430169	1430569
chr1	1433179	1433579
chr1	1434267	1434667
chr1	1433823	1434223
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1508760	1509160
chr1	1510924	1511324
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1533496	1533896
chr1	1539583	1539983
chr1	1539183	1539583
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1543323	1543723
chr1	1551359	1551759
chr1	1550850	1551250
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1625031	1625431
chr1	1625704	1626104
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1631886	1632286
chr1	1631471	1631871
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1693913	1694313
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1782473	1782873
chr1	1782933	1783333
chr1	1782004	1782404
chr1	1788057	1788457
chr1	1846985	1847385
chr1	1847505	1847905
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1873159	1873559
chr1	1890086	1890486
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1919979	1920379
chr1	1943962	1944362
chr1	1946506	1946906
chr1	1959978	1960378
chr1	1960464	1960864
chr1	1959578	1959978
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2025604	2026004
chr1	2044817	2045217
chr1	2044367	2044767
chr1	2046446	2046846
chr1	2050089	2050489
chr1	2049403	2049803
chr1	2050616	2051016
chr1	2073439	2073839
chr1	2091601	2092001
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2108584	2108984
chr1	2116052	2116452
chr1	2127302	2127702
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2139725	2140125
chr1	2155796	2156196
chr1	2160112	2160512
chr1	2174249	2174649
chr1	2174727	2175127
chr1	2179510	2179910
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2214830	2215230
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2229127	2229527
chr1	2231879	2232279
chr1	2240200	2240600
chr1	2239669	2240069
chr1	2241961	2242361
chr1	2243181	2243581
chr1	2246659	2247059
chr1	2246049	2246449
chr1	2248158	2248558
chr1	2251753	2252153
chr1	2251303	2251703
chr1	2252178	2252578
chr1	2267012	2267412
chr1	2267436	2267836
chr1	2269153	2269553
chr1	2270255	2270655
