Chromosome	Start	End
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	959124	959524
chr1	960365	960765
chr1	999982	1000382
chr1	1019283	1019683
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1072088	1072488
chr1	1116056	1116456
chr1	1157374	1157774
chr1	1217872	1218272
chr1	1231886	1232286
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1540434	1540834
chr1	1550881	1551281
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1630222	1630622
chr1	1692622	1693022
chr1	1890942	1891342
chr1	1908991	1909391
chr1	1919230	1919630
chr1	1960557	1960957
chr1	1983098	1983498
chr1	2003630	2004030
chr1	2021572	2021972
chr1	2032681	2033081
chr1	2042826	2043226
chr1	2044784	2045184
chr1	2073475	2073875
chr1	2107003	2107403
chr1	2133112	2133512
chr1	2139674	2140074
chr1	2174273	2174673
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2212433	2212833
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2259572	2259972
chr1	2304846	2305246
chr1	2385037	2385437
chr1	2384369	2384769
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2556300	2556700
chr1	2585387	2585787
chr1	2586361	2586761
chr1	2928671	2929071
chr1	3410118	3410518
chr1	3531263	3531663
chr1	3624685	3625085
chr1	3625151	3625551
chr1	3730157	3730557
chr1	3778857	3779257
chr1	3779547	3779947
chr1	3796353	3796753
chr1	3838735	3839135
chr1	3857140	3857540
chr1	3857569	3857969
chr1	3858201	3858601
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	4019138	4019538
chr1	4101405	4101805
chr1	4170935	4171335
chr1	4468805	4469205
chr1	4485305	4485705
chr1	4510733	4511133
chr1	4603464	4603864
chr1	4602839	4603239
chr1	4656255	4656655
chr1	4674600	4675000
chr1	4699718	4700118
chr1	4700753	4701153
chr1	4712620	4713020
chr1	4726915	4727315
chr1	4734728	4735128
chr1	4773385	4773785
chr1	4904670	4905070
chr1	5680644	5681044
chr1	5747372	5747772
chr1	5811690	5812090
chr1	5943988	5944388
chr1	5980431	5980831
chr1	5992337	5992737
chr1	5992874	5993274
chr1	6007353	6007753
chr1	6033954	6034354
chr1	6048116	6048516
chr1	6074181	6074581
chr1	6080562	6080962
chr1	6083832	6084232
chr1	6098487	6098887
chr1	6099718	6100118
chr1	6138372	6138772
chr1	6142832	6143232
chr1	6148618	6149018
chr1	6157696	6158096
chr1	6167687	6168087
chr1	6180266	6180666
chr1	6199485	6199885
chr1	6209161	6209561
chr1	6234475	6234875
chr1	6235817	6236217
chr1	6235213	6235613
chr1	6246684	6247084
chr1	6253947	6254347
chr1	6268045	6268445
chr1	6331965	6332365
chr1	6358025	6358425
chr1	6358638	6359038
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6430110	6430510
chr1	6470252	6470652
chr1	6490421	6490821
chr1	6495170	6495570
chr1	6499315	6499715
chr1	6502348	6502748
chr1	6508135	6508535
chr1	6519955	6520355
chr1	6579731	6580131
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6625578	6625978
chr1	6701692	6702092
chr1	6701259	6701659
chr1	6785114	6785514
chr1	6784483	6784883
chr1	7010719	7011119
chr1	7388860	7389260
chr1	7667525	7667925
chr1	7667969	7668369
chr1	7668474	7668874
chr1	7680285	7680685
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7783871	7784271
chr1	7784354	7784754
chr1	7954058	7954458
chr1	7961375	7961775
chr1	7982277	7982677
chr1	8026127	8026527
chr1	8025697	8026097
chr1	8202120	8202520
chr1	8314277	8314677
chr1	8317887	8318287
chr1	8334065	8334465
chr1	8373911	8374311
chr1	8409149	8409549
chr1	8510134	8510534
chr1	8510537	8510937
chr1	8517880	8518280
chr1	8525866	8526266
chr1	8598039	8598439
chr1	8597480	8597880
chr1	8660399	8660799
chr1	8703198	8703598
chr1	8817530	8817930
chr1	8857098	8857498
chr1	8873569	8873969
chr1	8878569	8878969
chr1	8986198	8986598
chr1	9234476	9234876
chr1	9292616	9293016
chr1	9428816	9429216
chr1	9539155	9539555
chr1	9588452	9588852
chr1	9689285	9689685
chr1	9728395	9728795
chr1	9737659	9738059
chr1	9766766	9767166
chr1	9823823	9824223
chr1	9822972	9823372
chr1	9844080	9844480
chr1	9850837	9851237
chr1	9852414	9852814
chr1	9851972	9852372
chr1	9861437	9861837
chr1	9902087	9902487
chr1	9910260	9910660
chr1	9910733	9911133
chr1	9943203	9943603
chr1	10032607	10033007
chr1	10033168	10033568
chr1	10210259	10210659
chr1	10209815	10210215
chr1	10398727	10399127
chr1	10399173	10399573
chr1	10430524	10430924
chr1	10472398	10472798
chr1	10474704	10475104
chr1	10475178	10475578
chr1	10507444	10507844
chr1	10694620	10695020
chr1	10867072	10867472
chr1	11012139	11012539
chr1	11012883	11013283
chr1	11037596	11037996
chr1	11059932	11060332
chr1	11099679	11100079
chr1	11187938	11188338
chr1	11241636	11242036
chr1	11262493	11262893
chr1	11272898	11273298
chr1	11273314	11273714
chr1	11355528	11355928
chr1	11357280	11357680
chr1	11383794	11384194
chr1	11478645	11479045
chr1	11482941	11483341
chr1	11507292	11507692
chr1	11642406	11642806
chr1	11654619	11655019
chr1	11654219	11654619
chr1	11662494	11662894
chr1	11664452	11664852
chr1	11680986	11681386
chr1	11701536	11701936
chr1	11715317	11715717
chr1	11735866	11736266
chr1	11790856	11791256
chr1	11803436	11803836
chr1	11805829	11806229
chr1	11908789	11909189
chr1	11908359	11908759
chr1	11918739	11919139
chr1	11926291	11926691
chr1	11934437	11934837
chr1	11980061	11980461
chr1	12019185	12019585
chr1	12229820	12230220
chr1	12305477	12305877
chr1	12344566	12344966
chr1	12344994	12345394
chr1	12376618	12377018
chr1	12434225	12434625
chr1	12483018	12483418
chr1	12518874	12519274
chr1	12565177	12565577
