Chromosome	Start	End
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	868861	869261
chr1	869724	870124
chr1	1006532	1006932
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1041454	1041854
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1109703	1110103
chr1	1116056	1116456
chr1	1128863	1129263
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1150110	1150510
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1159445	1159845
chr1	1162617	1163017
chr1	1202885	1203285
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1332798	1333198
chr1	1331036	1331436
chr1	1337719	1338119
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1431868	1432268
chr1	1438009	1438409
chr1	1440865	1441265
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1574716	1575116
chr1	1599079	1599479
chr1	1615627	1616027
chr1	1648201	1648601
chr1	1658953	1659353
chr1	1671768	1672168
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1715466	1715866
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1758731	1759131
chr1	1778762	1779162
chr1	1782433	1782833
chr1	1782945	1783345
chr1	1833991	1834391
chr1	1847036	1847436
chr1	1858650	1859050
chr1	1881839	1882239
chr1	1890942	1891342
chr1	1908991	1909391
chr1	1919230	1919630
chr1	2050093	2050493
chr1	2092205	2092605
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2214549	2214949
chr1	2227624	2228024
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2505615	2506015
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2575763	2576163
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2611203	2611603
chr1	2623953	2624353
chr1	2777879	2778279
chr1	2786872	2787272
chr1	3197806	3198206
chr1	3207127	3207527
chr1	3222018	3222418
chr1	3400629	3401029
chr1	3407896	3408296
chr1	3416864	3417264
chr1	3423331	3423731
chr1	3454276	3454676
chr1	3460059	3460459
chr1	3624685	3625085
chr1	3668776	3669176
chr1	3772394	3772794
chr1	3775956	3776356
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	4111226	4111626
chr1	4377373	4377773
chr1	5658648	5659048
chr1	5949335	5949735
chr1	5992337	5992737
chr1	6026026	6026426
chr1	6043717	6044117
chr1	6127731	6128131
chr1	6183589	6183989
chr1	6199485	6199885
chr1	6205881	6206281
chr1	6235817	6236217
chr1	6260922	6261322
chr1	6273337	6273737
chr1	6298654	6299054
chr1	6348589	6348989
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6440327	6440727
chr1	6451021	6451421
chr1	6460343	6460743
chr1	6471461	6471861
chr1	6472034	6472434
chr1	6483046	6483446
chr1	6511503	6511903
chr1	6523563	6523963
chr1	6535211	6535611
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6582342	6582742
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6624939	6625339
chr1	6638225	6638625
chr1	6701692	6702092
chr1	6785114	6785514
chr1	6827174	6827574
chr1	7266046	7266446
chr1	7300889	7301289
chr1	7334392	7334792
chr1	7367259	7367659
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7771452	7771852
chr1	7783871	7784271
chr1	7818027	7818427
chr1	7919584	7919984
chr1	7954058	7954458
chr1	7961375	7961775
chr1	8004113	8004513
chr1	8026127	8026527
chr1	8048148	8048548
chr1	8154692	8155092
chr1	8214472	8214872
chr1	8241537	8241937
chr1	8259050	8259450
chr1	8299130	8299530
chr1	8314277	8314677
chr1	8388064	8388464
chr1	8423575	8423975
chr1	8438888	8439288
chr1	8451210	8451610
chr1	8525866	8526266
chr1	8543475	8543875
chr1	8582461	8582861
chr1	8664068	8664468
chr1	8703198	8703598
chr1	8740147	8740547
chr1	8817530	8817930
chr1	8829466	8829866
chr1	8848796	8849196
chr1	8878569	8878969
chr1	8879102	8879502
chr1	9005074	9005474
chr1	9009918	9010318
chr1	9129030	9129430
chr1	9234476	9234876
chr1	9291804	9292204
chr1	9319750	9320150
chr1	9331042	9331442
chr1	9386164	9386564
chr1	9428816	9429216
chr1	9436288	9436688
chr1	9455764	9456164
chr1	9491029	9491429
chr1	9539155	9539555
chr1	9588452	9588852
chr1	9689285	9689685
chr1	9792392	9792792
chr1	9835700	9836100
chr1	9892530	9892930
chr1	9900350	9900750
chr1	9901672	9902072
chr1	9910260	9910660
chr1	9910733	9911133
chr1	9929441	9929841
chr1	9943203	9943603
chr1	10032607	10033007
chr1	10162918	10163318
chr1	10172499	10172899
chr1	10173706	10174106
chr1	10210259	10210659
chr1	10338584	10338984
chr1	10365354	10365754
chr1	10391204	10391604
chr1	10398727	10399127
chr1	10430524	10430924
chr1	10455008	10455408
chr1	10474704	10475104
chr1	10651822	10652222
chr1	10675327	10675727
chr1	10694620	10695020
chr1	10737181	10737581
chr1	10759461	10759861
chr1	10775684	10776084
chr1	10788631	10789031
chr1	10796493	10796893
chr1	10796909	10797309
chr1	10818665	10819065
chr1	10835889	10836289
chr1	10839340	10839740
chr1	10916373	10916773
chr1	10975694	10976094
chr1	10979408	10979808
chr1	11012139	11012539
chr1	11059932	11060332
chr1	11262493	11262893
chr1	11272898	11273298
chr1	11394856	11395256
chr1	11654619	11655019
chr1	11663988	11664388
chr1	11680986	11681386
chr1	11772404	11772804
chr1	11805829	11806229
chr1	11806230	11806630
chr1	11908789	11909189
chr1	11907664	11908064
chr1	11926291	11926691
chr1	11934437	11934837
chr1	11980061	11980461
chr1	12019185	12019585
chr1	12019610	12020010
chr1	12135644	12136044
chr1	12229820	12230220
chr1	12289598	12289998
chr1	12478011	12478411
chr1	12529411	12529811
chr1	12561231	12561631
chr1	12595824	12596224
chr1	12619790	12620190
chr1	12629401	12629801
chr1	13438849	13439249
chr1	13581152	13581552
chr1	13668261	13668661
chr1	13730911	13731311
