Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	936869	937269
chr1	959124	959524
chr1	960365	960765
chr1	966263	966663
chr1	976001	976401
chr1	999982	1000382
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1021077	1021477
chr1	1024631	1025031
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1132476	1132876
chr1	1136512	1136912
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1164808	1165208
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1282160	1282560
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1310493	1310893
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1325575	1325975
chr1	1332798	1333198
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1348736	1349136
chr1	1355377	1355777
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1417870	1418270
chr1	1419974	1420374
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1539610	1540010
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1630222	1630622
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1678267	1678667
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1757924	1758324
chr1	1758731	1759131
chr1	1764229	1764629
chr1	1778762	1779162
chr1	1782945	1783345
chr1	1788169	1788569
chr1	1847036	1847436
