Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	184281	184681
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	779618	780018
chr1	819832	820232
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	905248	905648
chr1	906768	907168
chr1	911152	911552
chr1	921040	921440
chr1	923663	924063
chr1	924560	924960
chr1	933082	933482
chr1	938058	938458
chr1	940125	940525
chr1	941634	942034
chr1	942370	942770
chr1	941110	941510
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	966263	966663
chr1	967995	968395
chr1	971271	971671
chr1	976001	976401
chr1	976780	977180
chr1	980026	980426
chr1	984123	984523
chr1	998844	999244
chr1	999982	1000382
chr1	1000660	1001060
chr1	1001786	1002186
chr1	1006532	1006932
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1021077	1021477
chr1	1024631	1025031
chr1	1025068	1025468
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1058989	1059389
chr1	1064144	1064544
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1069856	1070256
chr1	1074053	1074453
chr1	1074544	1074944
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1109703	1110103
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1132476	1132876
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1145050	1145450
chr1	1143676	1144076
chr1	1150110	1150510
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1164808	1165208
chr1	1191710	1192110
chr1	1201378	1201778
chr1	1202885	1203285
chr1	1206456	1206856
chr1	1207998	1208398
chr1	1208407	1208807
chr1	1217872	1218272
chr1	1222199	1222599
chr1	1225189	1225589
chr1	1230681	1231081
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1238076	1238476
chr1	1240814	1241214
chr1	1246564	1246964
chr1	1250854	1251254
chr1	1258623	1259023
chr1	1272492	1272892
