Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	906692	907092
chr1	911156	911556
chr1	912813	913213
chr1	921026	921426
chr1	923618	924018
chr1	938073	938473
chr1	940172	940572
chr1	941619	942019
chr1	959123	959523
chr1	959583	959983
chr1	960370	960770
chr1	963235	963635
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1006497	1006897
chr1	1005787	1006187
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1021064	1021464
chr1	1024639	1025039
chr1	1025053	1025453
chr1	1032988	1033388
chr1	1031844	1032244
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1040018	1040418
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1064155	1064555
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1074084	1074484
chr1	1073640	1074040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1124695	1125095
chr1	1125225	1125625
chr1	1128458	1128858
chr1	1130141	1130541
chr1	1130709	1131109
chr1	1136490	1136890
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1145089	1145489
chr1	1150125	1150525
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1162596	1162996
chr1	1163034	1163434
chr1	1164808	1165208
chr1	1217881	1218281
chr1	1230695	1231095
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1238097	1238497
chr1	1238521	1238921
chr1	1237396	1237796
chr1	1244228	1244628
chr1	1243828	1244228
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1272562	1272962
chr1	1280915	1281315
chr1	1281628	1282028
chr1	1282084	1282484
chr1	1290156	1290556
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1300003	1300403
chr1	1304655	1305055
chr1	1305561	1305961
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1325425	1325825
chr1	1337749	1338149
chr1	1344765	1345165
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1347568	1347968
chr1	1348027	1348427
chr1	1348840	1349240
chr1	1348437	1348837
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1400827	1401227
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1430169	1430569
chr1	1430928	1431328
chr1	1431848	1432248
chr1	1433179	1433579
chr1	1435445	1435845
chr1	1438010	1438410
chr1	1440865	1441265
chr1	1441519	1441919
chr1	1448406	1448806
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1543323	1543723
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1577463	1577863
chr1	1614207	1614607
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1627247	1627647
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1678765	1679165
chr1	1678252	1678652
chr1	1683573	1683973
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1715061	1715461
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1758752	1759152
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1782473	1782873
chr1	1782933	1783333
chr1	1782004	1782404
chr1	1846985	1847385
chr1	1847505	1847905
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1881855	1882255
chr1	1880991	1881391
chr1	1890939	1891339
chr1	1894375	1894775
chr1	1893870	1894270
chr1	1897127	1897527
chr1	1897533	1897933
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1914469	1914869
chr1	1919226	1919626
chr1	1918464	1918864
chr1	1923009	1923409
chr1	1942846	1943246
chr1	1943962	1944362
chr1	1959978	1960378
chr1	1959578	1959978
chr1	2043010	2043410
chr1	2044817	2045217
chr1	2047199	2047599
chr1	2046446	2046846
chr1	2050089	2050489
chr1	2049403	2049803
chr1	2056251	2056651
chr1	2069813	2070213
chr1	2072061	2072461
chr1	2092206	2092606
chr1	2091601	2092001
chr1	2098312	2098712
chr1	2097888	2098288
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2134632	2135032
chr1	2135495	2135895
chr1	2135995	2136395
chr1	2137455	2137855
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2193531	2193931
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2208257	2208657
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2231879	2232279
chr1	2234378	2234778
chr1	2234787	2235187
chr1	2240200	2240600
chr1	2248158	2248558
chr1	2248697	2249097
chr1	2250809	2251209
chr1	2258118	2258518
chr1	2270255	2270655
chr1	2271944	2272344
chr1	2270856	2271256
chr1	2276104	2276504
chr1	2278042	2278442
chr1	2300337	2300737
chr1	2299260	2299660
chr1	2302570	2302970
chr1	2310322	2310722
chr1	2311480	2311880
chr1	2314291	2314691
chr1	2322157	2322557
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2414379	2414779
chr1	2430559	2430959
chr1	2431095	2431495
chr1	2475033	2475433
chr1	2477807	2478207
chr1	2481915	2482315
chr1	2486036	2486436
chr1	2494251	2494651
chr1	2504656	2505056
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2546465	2546865
chr1	2547371	2547771
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2556931	2557331
chr1	2557342	2557742
chr1	2563439	2563839
chr1	2564958	2565358
chr1	2564539	2564939
chr1	2575736	2576136
chr1	2576577	2576977
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2611150	2611550
chr1	2631524	2631924
chr1	2632448	2632848
chr1	2632965	2633365
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2772312	2772712
chr1	2821904	2822304
