Chromosome	Start	End
chr1	629073	629473
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	904556	904956
chr1	905227	905627
chr1	921026	921426
chr1	923618	924018
chr1	925504	925904
chr1	940172	940572
chr1	941619	942019
chr1	944311	944711
chr1	959123	959523
chr1	966792	967192
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1261115	1261515
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1419991	1420391
chr1	1435445	1435845
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1574715	1575115
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1752615	1753015
chr1	1778261	1778661
chr1	1847505	1847905
chr1	1858656	1859056
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1989027	1989427
chr1	1990237	1990637
chr1	1989822	1990222
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2018922	2019322
chr1	2025604	2026004
chr1	2044817	2045217
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2088447	2088847
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2148670	2149070
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2207632	2208032
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2231879	2232279
chr1	2255973	2256373
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2300989	2301389
chr1	2314291	2314691
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2459821	2460221
chr1	2506931	2507331
chr1	2526086	2526486
chr1	2548683	2549083
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2607730	2608130
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2801550	2801950
chr1	2821904	2822304
