Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	904538	904938
chr1	921040	921440
chr1	923663	924063
chr1	927483	927883
chr1	940125	940525
chr1	941634	942034
chr1	944266	944666
chr1	944691	945091
chr1	959124	959524
chr1	976001	976401
chr1	998844	999244
chr1	999982	1000382
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1064144	1064544
chr1	1069157	1069557
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1157374	1157774
chr1	1201378	1201778
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1274351	1274751
chr1	1273288	1273688
chr1	1291801	1292201
chr1	1304654	1305054
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1315647	1316047
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1348736	1349136
chr1	1358419	1358819
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1427412	1427812
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1434278	1434678
chr1	1435450	1435850
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1540877	1541277
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1630940	1631340
chr1	1631937	1632337
chr1	1658953	1659353
chr1	1686300	1686700
chr1	1692622	1693022
chr1	1693938	1694338
chr1	1724233	1724633
chr1	1741010	1741410
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1778256	1778656
chr1	1890942	1891342
chr1	1891536	1891936
