Chromosome	Start	End
chr1	630118	630518
chr1	633822	634222
chr1	634230	634630
chr1	727040	727440
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	842807	843207
chr1	869700	870100
chr1	904556	904956
chr1	921026	921426
chr1	923618	924018
chr1	924752	925152
chr1	924256	924656
chr1	925504	925904
chr1	938073	938473
chr1	940172	940572
chr1	941619	942019
chr1	940755	941155
chr1	958627	959027
chr1	959123	959523
chr1	959583	959983
chr1	960370	960770
chr1	960841	961241
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	998982	999382
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1006497	1006897
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1024162	1024562
chr1	1024639	1025039
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1037946	1038346
chr1	1040638	1041038
chr1	1040018	1040418
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1058212	1058612
chr1	1064155	1064555
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1124695	1125095
chr1	1125225	1125625
chr1	1128458	1128858
chr1	1128890	1129290
chr1	1130141	1130541
chr1	1131835	1132235
chr1	1133348	1133748
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1164808	1165208
chr1	1167983	1168383
chr1	1168514	1168914
chr1	1201390	1201790
chr1	1206392	1206792
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1238097	1238497
chr1	1238521	1238921
chr1	1237396	1237796
chr1	1239716	1240116
chr1	1244228	1244628
chr1	1243828	1244228
chr1	1246543	1246943
chr1	1250215	1250615
chr1	1261115	1261515
chr1	1262077	1262477
chr1	1265384	1265784
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1280915	1281315
chr1	1281628	1282028
chr1	1282084	1282484
chr1	1290156	1290556
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1292523	1292923
chr1	1293831	1294231
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1305561	1305961
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1309097	1309497
chr1	1315358	1315758
