Chromosome	Start	End
chr1	180580	180980
chr1	630110	630510
chr1	633354	633754
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	817141	817541
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	905248	905648
chr1	921040	921440
chr1	923663	924063
chr1	940125	940525
chr1	941634	942034
chr1	940684	941084
chr1	944266	944666
chr1	944691	945091
chr1	959124	959524
chr1	959610	960010
chr1	960365	960765
chr1	966800	967200
chr1	976001	976401
chr1	980587	980987
chr1	998844	999244
chr1	999982	1000382
chr1	1000660	1001060
chr1	1001786	1002186
chr1	1006532	1006932
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1014244	1014644
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1021077	1021477
chr1	1032998	1033398
chr1	1034030	1034430
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1058989	1059389
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1133357	1133757
chr1	1132476	1132876
chr1	1132895	1133295
chr1	1135328	1135728
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1201378	1201778
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1274351	1274751
chr1	1304654	1305054
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1352117	1352517
chr1	1351616	1352016
chr1	1355377	1355777
chr1	1358419	1358819
chr1	1361937	1362337
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1407660	1408060
chr1	1406662	1407062
chr1	1419974	1420374
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1431868	1432268
chr1	1432431	1432831
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1540877	1541277
chr1	1548670	1549070
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1630940	1631340
chr1	1658953	1659353
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1778256	1778656
chr1	1777499	1777899
chr1	1782433	1782833
chr1	1782945	1783345
chr1	1833991	1834391
chr1	1847036	1847436
chr1	1858650	1859050
chr1	1861294	1861694
chr1	1861727	1862127
chr1	1873139	1873539
chr1	1873882	1874282
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	1959984	1960384
chr1	1989005	1989405
chr1	1989776	1990176
chr1	1990247	1990647
chr1	2003630	2004030
chr1	2019114	2019514
chr1	2025677	2026077
chr1	2044784	2045184
chr1	2044378	2044778
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2174273	2174673
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2207623	2208023
chr1	2212433	2212833
chr1	2213051	2213451
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2231885	2232285
chr1	2234385	2234785
chr1	2279161	2279561
chr1	2290669	2291069
chr1	2300336	2300736
chr1	2300915	2301315
chr1	2317704	2318104
chr1	2322503	2322903
chr1	2381715	2382115
chr1	2385037	2385437
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2459787	2460187
chr1	2526090	2526490
chr1	2528001	2528401
chr1	2540839	2541239
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2548685	2549085
chr1	2548000	2548400
chr1	2555558	2555958
chr1	2556300	2556700
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2607715	2608115
chr1	2643065	2643465
chr1	2642468	2642868
chr1	2906169	2906569
chr1	3069569	3069969
chr1	3133746	3134146
chr1	3170497	3170897
chr1	3171006	3171406
chr1	3174831	3175231
chr1	3186508	3186908
chr1	3195043	3195443
chr1	3313094	3313494
chr1	3313607	3314007
chr1	3424678	3425078
chr1	3454276	3454676
chr1	3453121	3453521
chr1	3454871	3455271
chr1	3453532	3453932
chr1	3460562	3460962
chr1	3471752	3472152
chr1	3471319	3471719
chr1	3491216	3491616
chr1	3545763	3546163
chr1	3548143	3548543
chr1	3597967	3598367
chr1	3611465	3611865
chr1	3618962	3619362
chr1	3624685	3625085
chr1	3625151	3625551
chr1	3624248	3624648
chr1	3649912	3650312
chr1	3649487	3649887
chr1	3652158	3652558
chr1	3736411	3736811
chr1	3735683	3736083
chr1	3740024	3740424
chr1	3747236	3747636
chr1	3746757	3747157
chr1	3772394	3772794
chr1	3771969	3772369
chr1	3790507	3790907
