Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	903705	904105
chr1	905227	905627
chr1	911156	911556
chr1	910005	910405
chr1	910451	910851
chr1	921026	921426
chr1	923618	924018
chr1	935810	936210
chr1	941619	942019
chr1	940755	941155
chr1	959123	959523
chr1	960370	960770
chr1	960841	961241
chr1	966792	967192
chr1	975991	976391
chr1	984122	984522
chr1	998982	999382
chr1	999961	1000361
chr1	1000669	1001069
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1026985	1027385
chr1	1027911	1028311
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1034165	1034565
chr1	1033715	1034115
chr1	1040638	1041038
chr1	1040018	1040418
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1201390	1201790
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1286011	1286411
chr1	1291818	1292218
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1355396	1355796
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1419404	1419804
chr1	1435445	1435845
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1539583	1539983
chr1	1539183	1539583
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1600003	1600403
chr1	1599533	1599933
chr1	1599094	1599494
chr1	1600446	1600846
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1778261	1778661
chr1	1777825	1778225
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1919979	1920379
chr1	1943962	1944362
chr1	1955566	1955966
chr1	1959978	1960378
chr1	1966366	1966766
chr1	1965940	1966340
chr1	1983109	1983509
chr1	2003702	2004102
chr1	2009067	2009467
chr1	2019518	2019918
chr1	2032190	2032590
chr1	2044817	2045217
chr1	2060833	2061233
chr1	2067258	2067658
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2072922	2073322
chr1	2088447	2088847
chr1	2087990	2088390
chr1	2103159	2103559
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2115300	2115700
chr1	2116052	2116452
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2139725	2140125
chr1	2160112	2160512
chr1	2174249	2174649
chr1	2179510	2179910
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2243181	2243581
chr1	2246659	2247059
chr1	2270856	2271256
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2300989	2301389
chr1	2299260	2299660
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2336069	2336469
chr1	2335627	2336027
chr1	2381713	2382113
chr1	2381227	2381627
chr1	2382528	2382928
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2426459	2426859
chr1	2431095	2431495
chr1	2431505	2431905
chr1	2443837	2444237
chr1	2461007	2461407
chr1	2470498	2470898
chr1	2470917	2471317
chr1	2480991	2481391
chr1	2493537	2493937
chr1	2504172	2504572
chr1	2526086	2526486
chr1	2527308	2527708
chr1	2526740	2527140
chr1	2530260	2530660
chr1	2535221	2535621
chr1	2543436	2543836
chr1	2546010	2546410
chr1	2556322	2556722
chr1	2569004	2569404
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2611150	2611550
chr1	2629248	2629648
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2643567	2643967
chr1	2772312	2772712
chr1	2786611	2787011
chr1	2789046	2789446
chr1	2789669	2790069
chr1	2821904	2822304
chr1	2833485	2833885
chr1	2855740	2856140
chr1	2875964	2876364
chr1	2882909	2883309
chr1	2883458	2883858
chr1	2892030	2892430
chr1	2905948	2906348
chr1	2911396	2911796
chr1	2918960	2919360
chr1	2968526	2968926
chr1	2969057	2969457
chr1	2985264	2985664
chr1	2984817	2985217
chr1	3003843	3004243
chr1	3003406	3003806
chr1	3012471	3012871
chr1	3011934	3012334
chr1	3036663	3037063
chr1	3037183	3037583
chr1	3061897	3062297
chr1	3101113	3101513
chr1	3105444	3105844
chr1	3124990	3125390
chr1	3153870	3154270
chr1	3154343	3154743
chr1	3156951	3157351
chr1	3162474	3162874
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3186553	3186953
chr1	3198864	3199264
chr1	3198276	3198676
chr1	3217104	3217504
chr1	3219178	3219578
chr1	3276557	3276957
chr1	3275488	3275888
chr1	3313103	3313503
chr1	3313615	3314015
chr1	3323137	3323537
chr1	3323654	3324054
chr1	3340979	3341379
chr1	3340085	3340485
chr1	3366056	3366456
chr1	3365497	3365897
chr1	3382412	3382812
chr1	3394021	3394421
chr1	3410103	3410503
chr1	3415396	3415796
chr1	3415797	3416197
chr1	3424688	3425088
chr1	3431675	3432075
chr1	3441350	3441750
chr1	3453096	3453496
chr1	3471726	3472126
chr1	3491213	3491613
chr1	3491733	3492133
chr1	3530347	3530747
chr1	3577320	3577720
chr1	3590325	3590725
chr1	3598561	3598961
chr1	3611108	3611508
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3695606	3696006
chr1	3702983	3703383
chr1	3703393	3703793
chr1	3711608	3712008
chr1	3719256	3719656
chr1	3732619	3733019
chr1	3733040	3733440
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3774794	3775194
chr1	3774325	3774725
chr1	3775443	3775843
chr1	3775895	3776295
