Chromosome	Start	End
chr1	180580	180980
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	818585	818985
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	906768	907168
chr1	923663	924063
chr1	933082	933482
chr1	959124	959524
chr1	966800	967200
chr1	966263	966663
chr1	976001	976401
chr1	999982	1000382
chr1	1006532	1006932
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1024631	1025031
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1064144	1064544
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1109703	1110103
chr1	1116056	1116456
chr1	1125222	1125622
chr1	1124719	1125119
chr1	1130102	1130502
chr1	1133357	1133757
chr1	1132476	1132876
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1150110	1150510
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1162617	1163017
chr1	1222199	1222599
chr1	1225189	1225589
chr1	1231886	1232286
chr1	1258623	1259023
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1282160	1282560
chr1	1293569	1293969
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1308961	1309361
chr1	1324581	1324981
chr1	1337719	1338119
chr1	1344052	1344452
chr1	1344774	1345174
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1356724	1357124
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1431868	1432268
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1510999	1511399
chr1	1554825	1555225
chr1	1563688	1564088
chr1	1574716	1575116
chr1	1599549	1599949
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1627264	1627664
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1680906	1681306
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1715466	1715866
chr1	1721266	1721666
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1758731	1759131
chr1	1778762	1779162
chr1	1780340	1780740
chr1	1782433	1782833
chr1	1782945	1783345
chr1	1832840	1833240
chr1	1847036	1847436
chr1	1857356	1857756
chr1	1881839	1882239
chr1	1890942	1891342
chr1	1894573	1894973
chr1	1894173	1894573
chr1	1897136	1897536
chr1	1908991	1909391
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2050093	2050493
chr1	2092205	2092605
chr1	2097896	2098296
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2208271	2208671
chr1	2212433	2212833
chr1	2227624	2228024
