Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	817141	817541
chr1	827359	827759
chr1	826875	827275
chr1	858638	859038
chr1	869724	870124
chr1	904538	904938
chr1	923663	924063
chr1	933082	933482
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	966263	966663
chr1	976001	976401
chr1	984123	984523
chr1	999982	1000382
chr1	1000660	1001060
chr1	1005238	1005638
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1024631	1025031
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1058989	1059389
chr1	1067733	1068133
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1125222	1125622
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1192505	1192905
chr1	1201378	1201778
chr1	1212856	1213256
chr1	1225189	1225589
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1332798	1333198
chr1	1344774	1345174
chr1	1349269	1349669
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1421162	1421562
chr1	1430197	1430597
chr1	1431868	1432268
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1442034	1442434
chr1	1441577	1441977
chr1	1462261	1462661
chr1	1464175	1464575
chr1	1471485	1471885
chr1	1500724	1501124
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1543727	1544127
chr1	1562062	1562462
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1615208	1615608
chr1	1615627	1616027
