Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	804733	805133
chr1	827359	827759
chr1	826875	827275
chr1	858638	859038
chr1	869724	870124
chr1	904538	904938
chr1	910522	910922
chr1	923663	924063
chr1	933082	933482
chr1	941634	942034
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	966263	966663
chr1	967995	968395
chr1	976001	976401
chr1	976780	977180
chr1	999982	1000382
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1024631	1025031
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1125222	1125622
chr1	1124719	1125119
chr1	1133357	1133757
chr1	1132476	1132876
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1145050	1145450
chr1	1150110	1150510
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1159445	1159845
chr1	1162617	1163017
chr1	1166164	1166564
chr1	1167300	1167700
chr1	1201378	1201778
chr1	1206456	1206856
chr1	1225189	1225589
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1238076	1238476
chr1	1258623	1259023
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1291801	1292201
chr1	1300474	1300874
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1332798	1333198
chr1	1331036	1331436
chr1	1344052	1344452
chr1	1344774	1345174
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1356724	1357124
chr1	1360504	1360904
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1461649	1462049
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1504846	1505246
