Chromosome	Start	End
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	905227	905627
chr1	959123	959523
chr1	960370	960770
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1051462	1051862
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1179243	1179643
chr1	1208878	1209278
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1425880	1426280
chr1	1435445	1435845
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1677829	1678229
chr1	1678252	1678652
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1833989	1834389
chr1	1842807	1843207
chr1	1860945	1861345
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	1959978	1960378
chr1	2028178	2028578
chr1	2133092	2133492
chr1	2189450	2189850
chr1	2205103	2205503
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2246659	2247059
chr1	2279154	2279554
chr1	2278749	2279149
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2496163	2496563
chr1	2526086	2526486
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2548004	2548404
chr1	2556322	2556722
chr1	2576577	2576977
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2772928	2773328
chr1	2949979	2950379
chr1	3012471	3012871
chr1	3028167	3028567
chr1	3222183	3222583
chr1	3364458	3364858
chr1	3424688	3425088
chr1	3454847	3455247
chr1	3465848	3466248
chr1	3491213	3491613
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3581350	3581750
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3677537	3677937
chr1	3677010	3677410
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	4027464	4027864
chr1	5717208	5717608
chr1	5745783	5746183
chr1	5887655	5888055
chr1	5888067	5888467
chr1	5992321	5992721
chr1	6026063	6026463
chr1	6026488	6026888
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6246686	6247086
chr1	6259907	6260307
chr1	6359716	6360116
chr1	6393276	6393676
chr1	6519988	6520388
chr1	6554368	6554768
