Chromosome	Start	End
chr1	633824	634224
chr1	778525	778925
chr1	821262	821662
chr1	827359	827759
chr1	869724	870124
chr1	938058	938458
chr1	959124	959524
chr1	966263	966663
chr1	1006532	1006932
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1059458	1059858
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1125222	1125622
chr1	1124719	1125119
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1159445	1159845
chr1	1162617	1163017
chr1	1167300	1167700
chr1	1197468	1197868
chr1	1208407	1208807
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1238076	1238476
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1291801	1292201
chr1	1298859	1299259
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1331036	1331436
chr1	1347569	1347969
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1438009	1438409
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1630222	1630622
chr1	1638487	1638887
chr1	1648201	1648601
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1715466	1715866
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1758731	1759131
chr1	1778762	1779162
chr1	1782433	1782833
chr1	1847036	1847436
chr1	1858650	1859050
chr1	1873139	1873539
chr1	1881839	1882239
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1969087	1969487
chr1	1977229	1977629
chr1	2050093	2050493
chr1	2133112	2133512
chr1	2137427	2137827
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2227624	2228024
chr1	2237086	2237486
chr1	2248422	2248822
chr1	2251735	2252135
chr1	2250839	2251239
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2467223	2467623
chr1	2526090	2526490
chr1	2546823	2547223
chr1	2548685	2549085
chr1	2557337	2557737
chr1	2556837	2557237
chr1	2562765	2563165
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2592672	2593072
chr1	2611203	2611603
chr1	2643065	2643465
chr1	3070029	3070429
chr1	3132686	3133086
chr1	3171006	3171406
chr1	3202652	3203052
chr1	3219226	3219626
chr1	3219662	3220062
chr1	3251783	3252183
chr1	3293211	3293611
chr1	3320549	3320949
chr1	3323135	3323535
chr1	3384487	3384887
chr1	3423331	3423731
chr1	3454276	3454676
chr1	3453121	3453521
chr1	3460059	3460459
chr1	3494309	3494709
chr1	3531263	3531663
chr1	3530818	3531218
chr1	3530370	3530770
chr1	3615144	3615544
chr1	3624685	3625085
chr1	3649912	3650312
chr1	3668776	3669176
chr1	3697841	3698241
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3775956	3776356
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3857569	3857969
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	4022422	4022822
chr1	4149270	4149670
chr1	5513843	5514243
chr1	5658648	5659048
chr1	5688478	5688878
chr1	5927966	5928366
chr1	5949335	5949735
chr1	5955669	5956069
chr1	5975139	5975539
chr1	5992337	5992737
chr1	6026026	6026426
chr1	6127731	6128131
chr1	6148618	6149018
chr1	6157696	6158096
chr1	6199485	6199885
chr1	6205881	6206281
chr1	6206383	6206783
chr1	6235817	6236217
chr1	6242243	6242643
chr1	6259948	6260348
chr1	6260922	6261322
chr1	6265150	6265550
chr1	6270020	6270420
chr1	6271506	6271906
chr1	6343387	6343787
chr1	6345005	6345405
chr1	6359688	6360088
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6440327	6440727
chr1	6471461	6471861
chr1	6474121	6474521
chr1	6483046	6483446
chr1	6490421	6490821
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6701692	6702092
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6822469	6822869
chr1	6909885	6910285
chr1	6956448	6956848
chr1	6962791	6963191
chr1	6963212	6963612
chr1	7266046	7266446
chr1	7265644	7266044
chr1	7278041	7278441
chr1	7334392	7334792
chr1	7341202	7341602
chr1	7491764	7492164
chr1	7502817	7503217
chr1	7572752	7573152
chr1	7645496	7645896
chr1	7680285	7680685
chr1	7704470	7704870
chr1	7771047	7771447
chr1	7771452	7771852
chr1	7783871	7784271
chr1	7885509	7885909
chr1	7913186	7913586
chr1	7954058	7954458
chr1	7961375	7961775
chr1	8026127	8026527
chr1	8025697	8026097
chr1	8169735	8170135
chr1	8197690	8198090
chr1	8259050	8259450
chr1	8258577	8258977
chr1	8314277	8314677
chr1	8317887	8318287
chr1	8525866	8526266
chr1	8571562	8571962
chr1	8598039	8598439
chr1	8619891	8620291
chr1	8664068	8664468
chr1	8703198	8703598
chr1	8817530	8817930
chr1	8829466	8829866
chr1	8847932	8848332
chr1	8848796	8849196
chr1	8878569	8878969
chr1	8879102	8879502
chr1	9069570	9069970
chr1	9129030	9129430
chr1	9129436	9129836
chr1	9182189	9182589
chr1	9234476	9234876
chr1	9235041	9235441
chr1	9280318	9280718
chr1	9280730	9281130
chr1	9292616	9293016
chr1	9300122	9300522
chr1	9331042	9331442
chr1	9356122	9356522
chr1	9401773	9402173
chr1	9428816	9429216
chr1	9435102	9435502
chr1	9539155	9539555
chr1	9588452	9588852
chr1	9626958	9627358
chr1	9681171	9681571
chr1	9689285	9689685
chr1	9770327	9770727
chr1	9796586	9796986
chr1	9804289	9804689
chr1	9823823	9824223
chr1	9825459	9825859
chr1	9825048	9825448
chr1	9835700	9836100
chr1	9843501	9843901
chr1	9878070	9878470
chr1	9892530	9892930
chr1	9900350	9900750
