Chromosome	Start	End
chr1	180580	180980
chr1	633824	634224
chr1	778525	778925
chr1	817141	817541
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	905248	905648
chr1	910005	910405
chr1	923663	924063
chr1	925472	925872
chr1	931776	932176
chr1	940125	940525
chr1	941634	942034
chr1	943167	943567
chr1	944266	944666
chr1	944691	945091
chr1	959124	959524
chr1	966800	967200
chr1	980587	980987
chr1	999982	1000382
chr1	1000660	1001060
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1133357	1133757
chr1	1157374	1157774
chr1	1231886	1232286
chr1	1273712	1274112
chr1	1304654	1305054
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1352117	1352517
chr1	1358419	1358819
chr1	1360504	1360904
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1431868	1432268
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1540434	1540834
chr1	1539610	1540010
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1630222	1630622
chr1	1630940	1631340
chr1	1658953	1659353
chr1	1686300	1686700
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1778256	1778656
chr1	1793874	1794274
chr1	1847036	1847436
chr1	1858650	1859050
chr1	1890942	1891342
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	1946530	1946930
chr1	1959984	1960384
chr1	1990247	1990647
chr1	2003630	2004030
chr1	2025677	2026077
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2088365	2088765
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2207623	2208023
chr1	2212433	2212833
chr1	2213051	2213451
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2234385	2234785
chr1	2240191	2240591
chr1	2246061	2246461
chr1	2255945	2256345
chr1	2279161	2279561
chr1	2290669	2291069
chr1	2300915	2301315
chr1	2314312	2314712
chr1	2322503	2322903
chr1	2330846	2331246
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2546823	2547223
chr1	2548685	2549085
chr1	2555558	2555958
