Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	831252	831652
chr1	832103	832503
chr1	835494	835894
chr1	858657	859057
chr1	858198	858598
chr1	865632	866032
chr1	866062	866462
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	910005	910405
chr1	910451	910851
chr1	921026	921426
chr1	923618	924018
chr1	924752	925152
chr1	924256	924656
chr1	935810	936210
chr1	940172	940572
chr1	941619	942019
chr1	959123	959523
chr1	960841	961241
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1021064	1021464
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1050708	1051108
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1201390	1201790
chr1	1206392	1206792
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1260126	1260526
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1291818	1292218
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1309097	1309497
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1334887	1335287
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1348437	1348837
chr1	1355396	1355796
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1430169	1430569
chr1	1434267	1434667
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1533496	1533896
chr1	1539583	1539983
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1543323	1543723
chr1	1550850	1551250
chr1	1564441	1564841
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1599094	1599494
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1625031	1625431
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1631886	1632286
chr1	1631471	1631871
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1788057	1788457
chr1	1846985	1847385
chr1	1847505	1847905
chr1	1858656	1859056
chr1	1873159	1873559
chr1	1873761	1874161
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	1959578	1959978
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2025604	2026004
chr1	2044817	2045217
chr1	2044367	2044767
chr1	2050089	2050489
chr1	2049403	2049803
chr1	2050616	2051016
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2108584	2108984
chr1	2127302	2127702
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2214830	2215230
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2240200	2240600
chr1	2246659	2247059
chr1	2246049	2246449
chr1	2248697	2249097
chr1	2251753	2252153
chr1	2267012	2267412
chr1	2267436	2267836
chr1	2269153	2269553
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2286606	2287006
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2299260	2299660
chr1	2299816	2300216
chr1	2304910	2305310
chr1	2305357	2305757
chr1	2306479	2306879
chr1	2311480	2311880
chr1	2314291	2314691
chr1	2320829	2321229
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2330341	2330741
chr1	2329735	2330135
chr1	2354962	2355362
chr1	2381713	2382113
chr1	2382976	2383376
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2459821	2460221
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2544852	2545252
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2556322	2556722
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2611150	2611550
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2643567	2643967
chr1	2778159	2778559
chr1	2875964	2876364
chr1	2925934	2926334
chr1	2951764	2952164
chr1	2952443	2952843
chr1	2951113	2951513
chr1	2980145	2980545
chr1	2980577	2980977
chr1	3069993	3070393
chr1	3069575	3069975
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3186553	3186953
chr1	3219178	3219578
