Chromosome	Start	End
chr1	585985	586385
chr1	605377	605777
chr1	633822	634222
chr1	737287	737687
chr1	778528	778928
chr1	778928	779328
chr1	779669	780069
chr1	827335	827735
chr1	826881	827281
chr1	845631	846031
chr1	851861	852261
chr1	869700	870100
chr1	876789	877189
chr1	904556	904956
chr1	905227	905627
chr1	912813	913213
chr1	921026	921426
chr1	923618	924018
chr1	938073	938473
chr1	940755	941155
chr1	959123	959523
chr1	959583	959983
chr1	960370	960770
chr1	966792	967192
chr1	966233	966633
chr1	971307	971707
chr1	975514	975914
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1024639	1025039
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1063718	1064118
chr1	1067749	1068149
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1074084	1074484
chr1	1073640	1074040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1122962	1123362
chr1	1128458	1128858
chr1	1130141	1130541
chr1	1130709	1131109
chr1	1132520	1132920
chr1	1132937	1133337
chr1	1157383	1157783
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1239716	1240116
chr1	1244228	1244628
chr1	1243828	1244228
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1272562	1272962
chr1	1282084	1282484
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1293831	1294231
chr1	1300408	1300808
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1309097	1309497
chr1	1318218	1318618
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1331024	1331424
chr1	1333344	1333744
chr1	1332753	1333153
chr1	1337749	1338149
chr1	1344765	1345165
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1347568	1347968
chr1	1348027	1348427
chr1	1348437	1348837
chr1	1359639	1360039
chr1	1361979	1362379
chr1	1364267	1364667
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1417416	1417816
chr1	1417924	1418324
chr1	1421191	1421591
chr1	1422814	1423214
chr1	1430169	1430569
chr1	1431848	1432248
chr1	1433179	1433579
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1441519	1441919
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1510924	1511324
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1535377	1535777
chr1	1540455	1540855
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1580730	1581130
chr1	1586177	1586577
chr1	1587090	1587490
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
