Chromosome	Start	End
chr1	629073	629473
chr1	632504	632904
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	817115	817515
chr1	817922	818322
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	912813	913213
chr1	921026	921426
chr1	923618	924018
chr1	940172	940572
chr1	941619	942019
chr1	940755	941155
chr1	958627	959027
chr1	959123	959523
chr1	960370	960770
chr1	975991	976391
chr1	984122	984522
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1014273	1014673
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1026985	1027385
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1063718	1064118
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1129521	1129921
chr1	1133348	1133748
chr1	1132937	1133337
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1182736	1183136
chr1	1183151	1183551
chr1	1201390	1201790
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1246543	1246943
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1291818	1292218
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1351702	1352102
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1361979	1362379
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1430169	1430569
chr1	1433823	1434223
chr1	1435445	1435845
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1539583	1539983
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1545226	1545626
chr1	1551359	1551759
chr1	1550850	1551250
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1631471	1631871
chr1	1636504	1636904
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1777825	1778225
chr1	1847505	1847905
chr1	1847974	1848374
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1890939	1891339
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1946506	1946906
chr1	1959978	1960378
chr1	2019518	2019918
chr1	2018922	2019322
chr1	2025604	2026004
chr1	2026052	2026452
chr1	2044817	2045217
chr1	2044367	2044767
chr1	2045922	2046322
chr1	2045492	2045892
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2108584	2108984
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2157759	2158159
chr1	2174249	2174649
chr1	2174727	2175127
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2207632	2208032
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2240200	2240600
chr1	2246659	2247059
chr1	2255973	2256373
chr1	2256429	2256829
chr1	2266601	2267001
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2314291	2314691
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2330341	2330741
chr1	2353139	2353539
chr1	2381713	2382113
chr1	2381227	2381627
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2475033	2475433
chr1	2474108	2474508
chr1	2473686	2474086
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2556322	2556722
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2607730	2608130
chr1	2611150	2611550
chr1	2633896	2634296
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2821904	2822304
chr1	2875964	2876364
chr1	2927994	2928394
chr1	2985264	2985664
chr1	3003843	3004243
chr1	3011934	3012334
chr1	3069993	3070393
chr1	3069575	3069975
chr1	3105444	3105844
chr1	3126890	3127290
chr1	3155343	3155743
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3174845	3175245
chr1	3186553	3186953
chr1	3217104	3217504
chr1	3221308	3221708
chr1	3283964	3284364
chr1	3312595	3312995
chr1	3313103	3313503
chr1	3313615	3314015
chr1	3352896	3353296
chr1	3366056	3366456
chr1	3424688	3425088
chr1	3453096	3453496
chr1	3471726	3472126
chr1	3491213	3491613
chr1	3502057	3502457
chr1	3522839	3523239
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3545728	3546128
chr1	3560541	3560941
chr1	3560135	3560535
chr1	3598561	3598961
chr1	3598110	3598510
chr1	3597441	3597841
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3695606	3696006
chr1	3703393	3703793
chr1	3718004	3718404
chr1	3732619	3733019
chr1	3731938	3732338
chr1	3733040	3733440
chr1	3731513	3731913
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3772849	3773249
chr1	3796350	3796750
chr1	3796836	3797236
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	3924511	3924911
chr1	3924937	3925337
chr1	4109288	4109688
chr1	4138099	4138499
chr1	4512592	4512992
chr1	4513068	4513468
chr1	4652551	4652951
chr1	4656256	4656656
chr1	4658242	4658642
chr1	4711081	4711481
chr1	4801508	4801908
chr1	4801977	4802377
chr1	4801059	4801459
chr1	4826033	4826433
chr1	5150192	5150592
chr1	5150608	5151008
chr1	5151474	5151874
chr1	5297262	5297662
chr1	5484652	5485052
chr1	5514546	5514946
chr1	5682853	5683253
chr1	5682357	5682757
chr1	5745783	5746183
chr1	5889821	5890221
chr1	5915966	5916366
chr1	5922861	5923261
chr1	5934193	5934593
chr1	5934887	5935287
chr1	5935333	5935733
chr1	5966581	5966981
chr1	5967246	5967646
chr1	5967744	5968144
chr1	5975153	5975553
chr1	5980444	5980844
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6052435	6052835
chr1	6052872	6053272
chr1	6065471	6065871
chr1	6065050	6065450
chr1	6098498	6098898
chr1	6127691	6128091
chr1	6145074	6145474
chr1	6161601	6162001
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6205878	6206278
chr1	6205137	6205537
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6246686	6247086
chr1	6260903	6261303
chr1	6262523	6262923
chr1	6263062	6263462
chr1	6270474	6270874
chr1	6276388	6276788
chr1	6292057	6292457
chr1	6291214	6291614
chr1	6291650	6292050
chr1	6330327	6330727
chr1	6329806	6330206
chr1	6343478	6343878
chr1	6363052	6363452
chr1	6393276	6393676
chr1	6393892	6394292
