Chromosome	Start	End
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	958627	959027
chr1	959123	959523
chr1	999961	1000361
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1109723	1110123
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1182736	1183136
chr1	1199496	1199896
chr1	1212811	1213211
chr1	1213528	1213928
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1250215	1250615
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1291818	1292218
chr1	1293831	1294231
chr1	1298935	1299335
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1361979	1362379
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1429646	1430046
chr1	1430169	1430569
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1543323	1543723
chr1	1550850	1551250
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1614207	1614607
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1628969	1629369
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1665674	1666074
chr1	1677829	1678229
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1796454	1796854
chr1	1858656	1859056
chr1	1880991	1881391
chr1	1890086	1890486
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	1975578	1975978
chr1	2044817	2045217
chr1	2091601	2092001
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2139725	2140125
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2234378	2234778
chr1	2243181	2243581
chr1	2246659	2247059
chr1	2246049	2246449
chr1	2255973	2256373
chr1	2255311	2255711
chr1	2256429	2256829
chr1	2258118	2258518
chr1	2269153	2269553
chr1	2279154	2279554
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2314291	2314691
chr1	2315645	2316045
