Chromosome	Start	End
chr1	180580	180980
chr1	631178	631578
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	804733	805133
chr1	827359	827759
chr1	826875	827275
chr1	832113	832513
chr1	851927	852327
chr1	858638	859038
chr1	869724	870124
chr1	898674	899074
chr1	904538	904938
chr1	910005	910405
chr1	911152	911552
chr1	921040	921440
chr1	923663	924063
chr1	924560	924960
chr1	924140	924540
chr1	925472	925872
chr1	938058	938458
chr1	940125	940525
chr1	941634	942034
chr1	942370	942770
chr1	943167	943567
chr1	944266	944666
chr1	944691	945091
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	966263	966663
chr1	976001	976401
chr1	999982	1000382
chr1	1000660	1001060
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1032422	1032822
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1064144	1064544
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1144352	1144752
chr1	1157374	1157774
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1164808	1165208
chr1	1173638	1174038
chr1	1176205	1176605
chr1	1201378	1201778
chr1	1206456	1206856
chr1	1207998	1208398
chr1	1208407	1208807
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1282160	1282560
chr1	1290141	1290541
chr1	1291801	1292201
chr1	1305547	1305947
chr1	1304654	1305054
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1307400	1307800
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1331036	1331436
chr1	1344774	1345174
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1348736	1349136
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1421162	1421562
chr1	1420675	1421075
chr1	1427412	1427812
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1437050	1437450
chr1	1438009	1438409
chr1	1440865	1441265
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1471896	1472296
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1539610	1540010
chr1	1554825	1555225
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1599963	1600363
chr1	1599549	1599949
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1758731	1759131
chr1	1778256	1778656
chr1	1778762	1779162
chr1	1782433	1782833
chr1	1782945	1783345
chr1	1803102	1803502
chr1	1826719	1827119
chr1	1832840	1833240
chr1	1833470	1833870
chr1	1833991	1834391
chr1	1841393	1841793
chr1	1853592	1853992
chr1	1880785	1881185
chr1	1881839	1882239
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2003630	2004030
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2050582	2050982
chr1	2097896	2098296
chr1	2104687	2105087
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2212433	2212833
chr1	2227624	2228024
chr1	2229102	2229502
chr1	2237086	2237486
chr1	2243272	2243672
chr1	2248422	2248822
chr1	2248833	2249233
chr1	2284939	2285339
chr1	2290669	2291069
chr1	2299235	2299635
chr1	2304846	2305246
chr1	2311447	2311847
chr1	2312827	2313227
chr1	2315043	2315443
chr1	2322503	2322903
chr1	2381715	2382115
chr1	2382580	2382980
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2443844	2444244
chr1	2445614	2446014
chr1	2459787	2460187
chr1	2460954	2461354
chr1	2463372	2463772
chr1	2467223	2467623
chr1	2471487	2471887
chr1	2474984	2475384
chr1	2480993	2481393
chr1	2481984	2482384
chr1	2492086	2492486
chr1	2493596	2493996
chr1	2497313	2497713
chr1	2509649	2510049
chr1	2526090	2526490
chr1	2530127	2530527
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2548685	2549085
