Chromosome	Start	End
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	933082	933482
chr1	959124	959524
chr1	966800	967200
chr1	976001	976401
chr1	999982	1000382
chr1	1005238	1005638
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1021077	1021477
chr1	1024631	1025031
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1132476	1132876
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1143676	1144076
chr1	1150110	1150510
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1173638	1174038
chr1	1231886	1232286
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1332798	1333198
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1421162	1421562
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1500724	1501124
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1540434	1540834
chr1	1574716	1575116
chr1	1599963	1600363
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1758731	1759131
chr1	1778256	1778656
chr1	1782945	1783345
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1919230	1919630
chr1	1918783	1919183
chr1	1946530	1946930
chr1	1969087	1969487
chr1	2001850	2002250
chr1	2050093	2050493
chr1	2061386	2061786
chr1	2085093	2085493
chr1	2104687	2105087
chr1	2105097	2105497
chr1	2119831	2120231
chr1	2128165	2128565
chr1	2127333	2127733
chr1	2133112	2133512
chr1	2135435	2135835
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2208271	2208671
chr1	2227624	2228024
chr1	2240191	2240591
chr1	2290669	2291069
chr1	2322503	2322903
chr1	2336075	2336475
chr1	2344115	2344515
chr1	2352696	2353096
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2416252	2416652
chr1	2428428	2428828
chr1	2526090	2526490
chr1	2534791	2535191
chr1	2537436	2537836
chr1	2546038	2546438
chr1	2566145	2566545
chr1	2575763	2576163
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2611203	2611603
chr1	2643065	2643465
chr1	3074857	3075257
chr1	3105464	3105864
chr1	3113247	3113647
chr1	3122411	3122811
chr1	3170497	3170897
chr1	3171006	3171406
chr1	3174831	3175231
chr1	3188256	3188656
chr1	3187776	3188176
chr1	3222018	3222418
chr1	3238419	3238819
chr1	3238019	3238419
chr1	3313094	3313494
chr1	3319845	3320245
chr1	3323135	3323535
chr1	3337220	3337620
chr1	3380484	3380884
chr1	3423331	3423731
chr1	3454276	3454676
chr1	3453121	3453521
chr1	3491216	3491616
chr1	3531263	3531663
chr1	3531687	3532087
chr1	3570580	3570980
chr1	3597967	3598367
chr1	3611465	3611865
chr1	3613327	3613727
chr1	3618962	3619362
chr1	3624685	3625085
chr1	3624248	3624648
chr1	3649912	3650312
chr1	3668776	3669176
chr1	3695610	3696010
chr1	3747236	3747636
chr1	3746757	3747157
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3857569	3857969
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	3910775	3911175
chr1	3922224	3922624
chr1	4786099	4786499
chr1	5099546	5099946
chr1	5108743	5109143
chr1	5536754	5537154
chr1	5551541	5551941
chr1	5570915	5571315
chr1	5598032	5598432
chr1	5598543	5598943
chr1	5658648	5659048
chr1	5660241	5660641
chr1	5690899	5691299
chr1	5992337	5992737
chr1	5991761	5992161
chr1	6026026	6026426
chr1	6148618	6149018
chr1	6199485	6199885
chr1	6205881	6206281
chr1	6206383	6206783
chr1	6220203	6220603
chr1	6235817	6236217
chr1	6245023	6245423
chr1	6246684	6247084
chr1	6259948	6260348
chr1	6287426	6287826
chr1	6343387	6343787
chr1	6350410	6350810
chr1	6359688	6360088
chr1	6385743	6386143
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6423418	6423818
chr1	6438002	6438402
chr1	6440327	6440727
chr1	6472034	6472434
chr1	6483046	6483446
chr1	6490421	6490821
chr1	6497320	6497720
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6588045	6588445
chr1	6602774	6603174
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6701692	6702092
chr1	6743780	6744180
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6822469	6822869
chr1	6859312	6859712
chr1	6899629	6900029
chr1	6962791	6963191
chr1	7070395	7070795
chr1	7222388	7222788
chr1	7265644	7266044
chr1	7470867	7471267
chr1	7491079	7491479
chr1	7549258	7549658
chr1	7648940	7649340
chr1	7667525	7667925
chr1	7680285	7680685
chr1	7704470	7704870
chr1	7745809	7746209
chr1	7771047	7771447
chr1	7771452	7771852
chr1	7783871	7784271
chr1	7784354	7784754
chr1	7885509	7885909
chr1	7954058	7954458
chr1	7961375	7961775
chr1	7975252	7975652
chr1	8004944	8005344
chr1	8006298	8006698
chr1	8020030	8020430
chr1	8026127	8026527
chr1	8025697	8026097
chr1	8040572	8040972
chr1	8058385	8058785
chr1	8061236	8061636
chr1	8070279	8070679
chr1	8077202	8077602
chr1	8094446	8094846
chr1	8097385	8097785
chr1	8121306	8121706
chr1	8120890	8121290
chr1	8155514	8155914
chr1	8169735	8170135
chr1	8174766	8175166
chr1	8182071	8182471
chr1	8197690	8198090
chr1	8211918	8212318
chr1	8217106	8217506
chr1	8238967	8239367
chr1	8252263	8252663
chr1	8252678	8253078
chr1	8259050	8259450
chr1	8259603	8260003
chr1	8294394	8294794
chr1	8314277	8314677
chr1	8343414	8343814
