Chromosome	Start	End
chr1	180580	180980
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	913583	913983
chr1	916502	916902
chr1	921040	921440
chr1	923663	924063
chr1	924560	924960
chr1	924140	924540
chr1	933082	933482
chr1	938058	938458
chr1	940125	940525
chr1	941634	942034
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	966263	966663
chr1	976001	976401
chr1	980587	980987
chr1	999982	1000382
chr1	1001786	1002186
chr1	1005238	1005638
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1024631	1025031
chr1	1025068	1025468
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1050732	1051132
chr1	1059458	1059858
chr1	1058989	1059389
chr1	1067733	1068133
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1109703	1110103
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1128398	1128798
chr1	1128863	1129263
chr1	1130102	1130502
chr1	1133357	1133757
chr1	1132476	1132876
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1145050	1145450
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1164808	1165208
chr1	1225189	1225589
chr1	1225873	1226273
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1281724	1282124
chr1	1290141	1290541
chr1	1291801	1292201
chr1	1291083	1291483
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1332798	1333198
chr1	1337719	1338119
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1355377	1355777
chr1	1356724	1357124
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1407660	1408060
chr1	1419974	1420374
chr1	1430197	1430597
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1438009	1438409
chr1	1440865	1441265
chr1	1471485	1471885
chr1	1471896	1472296
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1543727	1544127
chr1	1543321	1543721
chr1	1564148	1564548
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1597330	1597730
chr1	1597805	1598205
chr1	1599963	1600363
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1678267	1678667
chr1	1680906	1681306
chr1	1683568	1683968
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
