Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	904556	904956
chr1	921026	921426
chr1	959123	959523
chr1	999961	1000361
chr1	1000669	1001069
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1157383	1157783
chr1	1174236	1174636
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1291818	1292218
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1349240	1349640
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1658934	1659334
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1778261	1778661
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1983109	1983509
chr1	1994532	1994932
chr1	2073439	2073839
chr1	2137938	2138338
chr1	2138373	2138773
chr1	2189450	2189850
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2322157	2322557
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2526086	2526486
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2784191	2784591
chr1	2875964	2876364
chr1	2914701	2915101
chr1	2951764	2952164
chr1	3011934	3012334
chr1	3041608	3042008
chr1	3128057	3128457
chr1	3186553	3186953
chr1	3315845	3316245
chr1	3352427	3352827
chr1	3351992	3352392
chr1	3368881	3369281
chr1	3424688	3425088
chr1	3453096	3453496
chr1	3491213	3491613
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3630983	3631383
chr1	3649926	3650326
chr1	3724384	3724784
chr1	3747229	3747629
chr1	3796350	3796750
chr1	3804524	3804924
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3906595	3906995
chr1	3971590	3971990
chr1	3972051	3972451
chr1	4101563	4101963
chr1	4152154	4152554
chr1	4221072	4221472
chr1	4510230	4510630
chr1	4529832	4530232
chr1	4651035	4651435
chr1	4733822	4734222
chr1	4733407	4733807
chr1	4826033	4826433
chr1	4896770	4897170
chr1	5346381	5346781
chr1	5447210	5447610
chr1	5471869	5472269
chr1	5551862	5552262
chr1	5620981	5621381
chr1	5688032	5688432
chr1	5745095	5745495
chr1	5771363	5771763
chr1	5770885	5771285
chr1	5773814	5774214
chr1	5897260	5897660
chr1	5915966	5916366
chr1	5975153	5975553
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6033989	6034389
chr1	6034441	6034841
chr1	6099437	6099837
chr1	6180155	6180555
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6235789	6236189
chr1	6245934	6246334
chr1	6246686	6247086
chr1	6259907	6260307
chr1	6260903	6261303
chr1	6276388	6276788
chr1	6338677	6339077
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6475484	6475884
chr1	6497309	6497709
chr1	6519988	6520388
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6650887	6651287
chr1	6651465	6651865
chr1	6657162	6657562
chr1	6701697	6702097
chr1	6722484	6722884
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6928033	6928433
chr1	6962595	6962995
chr1	6996371	6996771
chr1	7075993	7076393
chr1	7119553	7119953
chr1	7177819	7178219
chr1	7348435	7348835
chr1	7509179	7509579
chr1	7531712	7532112
chr1	7668456	7668856
chr1	7667531	7667931
chr1	7668951	7669351
chr1	7680260	7680660
chr1	7680668	7681068
chr1	7704452	7704852
chr1	7771061	7771461
chr1	7770622	7771022
chr1	7783925	7784325
chr1	7829638	7830038
chr1	7942247	7942647
chr1	7954059	7954459
chr1	7961376	7961776
chr1	7982272	7982672
chr1	8026172	8026572
chr1	8025769	8026169
chr1	8121303	8121703
chr1	8120886	8121286
chr1	8143106	8143506
chr1	8169724	8170124
chr1	8202123	8202523
chr1	8317872	8318272
chr1	8373521	8373921
chr1	8373941	8374341
chr1	8408313	8408713
chr1	8424024	8424424
chr1	8463127	8463527
chr1	8463611	8464011
chr1	8525898	8526298
chr1	8552104	8552504
chr1	8590689	8591089
chr1	8629772	8630172
chr1	8701225	8701625
chr1	8703137	8703537
chr1	8726469	8726869
chr1	8726918	8727318
chr1	8817516	8817916
chr1	8857328	8857728
chr1	8856916	8857316
chr1	8878566	8878966
chr1	8879028	8879428
chr1	8944614	8945014
chr1	9047106	9047506
chr1	9166647	9167047
chr1	9196443	9196843
chr1	9231562	9231962
chr1	9234460	9234860
chr1	9428798	9429198
chr1	9429265	9429665
chr1	9539187	9539587
chr1	9588469	9588869
chr1	9615568	9615968
chr1	9689295	9689695
chr1	9751929	9752329
chr1	9823910	9824310
chr1	9824356	9824756
chr1	9823497	9823897
chr1	9847993	9848393
chr1	9874857	9875257
chr1	9888720	9889120
chr1	9893996	9894396
chr1	9910340	9910740
chr1	9910782	9911182
chr1	9922300	9922700
chr1	9943211	9943611
chr1	9950335	9950735
chr1	9969710	9970110
chr1	10022028	10022428
chr1	10032620	10033020
chr1	10033176	10033576
chr1	10108905	10109305
