Chromosome	Start	End
chr1	181273	181673
chr1	191294	191694
chr1	630110	630510
chr1	633354	633754
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	794897	795297
chr1	817141	817541
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	921040	921440
chr1	923663	924063
chr1	940125	940525
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	984123	984523
chr1	999982	1000382
chr1	1000660	1001060
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1014244	1014644
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1021077	1021477
chr1	1025068	1025468
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1064144	1064544
chr1	1079406	1079806
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1182745	1183145
chr1	1183186	1183586
chr1	1201378	1201778
chr1	1212856	1213256
chr1	1216924	1217324
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1244211	1244611
chr1	1261136	1261536
chr1	1273712	1274112
chr1	1273288	1273688
chr1	1290141	1290541
chr1	1291801	1292201
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1307400	1307800
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1398761	1399161
chr1	1407118	1407518
chr1	1407660	1408060
chr1	1419974	1420374
chr1	1430197	1430597
chr1	1430666	1431066
chr1	1431868	1432268
chr1	1433189	1433589
chr1	1433819	1434219
chr1	1434278	1434678
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1528900	1529300
chr1	1540434	1540834
chr1	1540877	1541277
chr1	1554825	1555225
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1658953	1659353
chr1	1669756	1670156
chr1	1678722	1679122
chr1	1677849	1678249
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1758731	1759131
chr1	1778256	1778656
chr1	1777499	1777899
chr1	1782433	1782833
chr1	1782945	1783345
chr1	1788169	1788569
chr1	1832840	1833240
chr1	1847036	1847436
chr1	1847480	1847880
chr1	1858650	1859050
chr1	1859135	1859535
chr1	1873139	1873539
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1889769	1890169
chr1	1906198	1906598
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	1928679	1929079
chr1	2015006	2015406
chr1	2025677	2026077
chr1	2044784	2045184
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2148666	2149066
chr1	2158248	2158648
chr1	2174273	2174673
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2212433	2212833
chr1	2213051	2213451
chr1	2214058	2214458
chr1	2214549	2214949
chr1	2227624	2228024
chr1	2227075	2227475
chr1	2234385	2234785
chr1	2240191	2240591
chr1	2255945	2256345
chr1	2279161	2279561
chr1	2290669	2291069
chr1	2291121	2291521
chr1	2300915	2301315
chr1	2314312	2314712
chr1	2315043	2315443
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2506784	2507184
chr1	2526090	2526490
chr1	2530127	2530527
chr1	2541561	2541961
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2548685	2549085
chr1	2551495	2551895
chr1	2555558	2555958
chr1	2556300	2556700
chr1	2556837	2557237
chr1	2576632	2577032
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2593957	2594357
chr1	2643065	2643465
chr1	2642468	2642868
chr1	3170497	3170897
chr1	3174831	3175231
chr1	3186508	3186908
chr1	3196577	3196977
chr1	3313094	3313494
chr1	3353016	3353416
chr1	3393477	3393877
chr1	3394053	3394453
chr1	3402265	3402665
chr1	3410118	3410518
chr1	3415470	3415870
chr1	3422825	3423225
chr1	3423331	3423731
chr1	3423845	3424245
chr1	3424678	3425078
chr1	3454276	3454676
chr1	3453121	3453521
chr1	3454871	3455271
chr1	3471752	3472152
chr1	3471319	3471719
chr1	3491216	3491616
chr1	3504108	3504508
chr1	3531263	3531663
chr1	3530818	3531218
chr1	3540083	3540483
chr1	3541920	3542320
chr1	3597967	3598367
chr1	3618962	3619362
chr1	3624685	3625085
chr1	3625151	3625551
chr1	3624248	3624648
chr1	3630245	3630645
chr1	3649912	3650312
chr1	3649487	3649887
chr1	3668776	3669176
chr1	3669497	3669897
chr1	3688391	3688791
chr1	3695610	3696010
chr1	3720026	3720426
chr1	3724388	3724788
chr1	3747236	3747636
chr1	3746757	3747157
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3857569	3857969
chr1	3900667	3901067
