Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	184281	184681
chr1	267803	268203
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	779618	780018
chr1	804733	805133
chr1	827359	827759
chr1	826875	827275
chr1	858638	859038
chr1	869724	870124
chr1	898674	899074
chr1	904538	904938
chr1	906768	907168
chr1	923663	924063
chr1	933082	933482
chr1	938058	938458
chr1	940125	940525
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	966263	966663
chr1	976001	976401
chr1	984123	984523
chr1	999982	1000382
chr1	1000660	1001060
chr1	1001786	1002186
chr1	1005238	1005638
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1024631	1025031
chr1	1025068	1025468
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1058989	1059389
chr1	1067733	1068133
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1074544	1074944
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1125222	1125622
chr1	1124719	1125119
chr1	1132476	1132876
chr1	1137253	1137653
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1143676	1144076
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1164808	1165208
chr1	1206456	1206856
chr1	1225189	1225589
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1272492	1272892
chr1	1273712	1274112
chr1	1273288	1273688
chr1	1281724	1282124
chr1	1282160	1282560
chr1	1291801	1292201
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1332798	1333198
chr1	1337719	1338119
chr1	1344774	1345174
chr1	1347569	1347969
chr1	1349269	1349669
chr1	1356724	1357124
chr1	1371978	1372378
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
