Chromosome	Start	End
chr1	180580	180980
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	940125	940525
chr1	959124	959524
chr1	966800	967200
chr1	999982	1000382
chr1	1000660	1001060
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1040691	1041091
chr1	1079406	1079806
chr1	1116056	1116456
chr1	1201378	1201778
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1348736	1349136
chr1	1358419	1358819
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1430197	1430597
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1540434	1540834
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1631937	1632337
chr1	1658953	1659353
chr1	1686300	1686700
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1741010	1741410
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1778256	1778656
chr1	1817933	1818333
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2044784	2045184
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2174273	2174673
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2279161	2279561
chr1	2322503	2322903
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2480114	2480514
chr1	2494249	2494649
chr1	2526090	2526490
chr1	2555558	2555958
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2802030	2802430
chr1	3084144	3084544
chr1	3170497	3170897
chr1	3186508	3186908
chr1	3313094	3313494
chr1	3313607	3314007
chr1	3352429	3352829
chr1	3353016	3353416
chr1	3530818	3531218
chr1	3543295	3543695
chr1	3624685	3625085
chr1	3625151	3625551
chr1	3624248	3624648
chr1	3649912	3650312
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3771969	3772369
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	4055316	4055716
chr1	4467332	4467732
chr1	4512591	4512991
chr1	4654298	4654698
chr1	4656255	4656655
chr1	4675305	4675705
chr1	4702866	4703266
chr1	4729985	4730385
chr1	4879329	4879729
chr1	4970668	4971068
chr1	5992337	5992737
