Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	921026	921426
chr1	923618	924018
chr1	940172	940572
chr1	940755	941155
chr1	959123	959523
chr1	959583	959983
chr1	960370	960770
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1006497	1006897
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1024639	1025039
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1064155	1064555
chr1	1069171	1069571
chr1	1070244	1070644
chr1	1074084	1074484
chr1	1073640	1074040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1122094	1122494
chr1	1122962	1123362
chr1	1125225	1125625
chr1	1132520	1132920
chr1	1157383	1157783
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1238097	1238497
chr1	1248288	1248688
chr1	1264768	1265168
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1282084	1282484
chr1	1291818	1292218
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1318218	1318618
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1333344	1333744
chr1	1332753	1333153
chr1	1344765	1345165
chr1	1347568	1347968
chr1	1348027	1348427
chr1	1351702	1352102
chr1	1358538	1358938
chr1	1364267	1364667
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1422814	1423214
chr1	1431848	1432248
chr1	1433179	1433579
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1500741	1501141
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1567066	1567466
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1582878	1583278
chr1	1587090	1587490
chr1	1587782	1588182
chr1	1594521	1594921
chr1	1614207	1614607
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1686260	1686660
chr1	1686756	1687156
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1741023	1741423
chr1	1746245	1746645
chr1	1758752	1759152
chr1	1762982	1763382
chr1	1764230	1764630
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1782004	1782404
chr1	1808224	1808624
chr1	1839592	1839992
chr1	1859175	1859575
chr1	1868936	1869336
chr1	1876514	1876914
chr1	1890939	1891339
chr1	1896702	1897102
chr1	1907411	1907811
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1959978	1960378
chr1	1959578	1959978
chr1	1985245	1985645
chr1	1986471	1986871
chr1	1994532	1994932
chr1	1995014	1995414
chr1	1995665	1996065
chr1	2001849	2002249
chr1	2003702	2004102
chr1	2050089	2050489
chr1	2088447	2088847
chr1	2098312	2098712
chr1	2097888	2098288
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2119754	2120154
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2151311	2151711
chr1	2165612	2166012
chr1	2166243	2166643
chr1	2173756	2174156
chr1	2174249	2174649
chr1	2179510	2179910
chr1	2179910	2180310
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2234378	2234778
chr1	2234787	2235187
chr1	2240200	2240600
chr1	2243181	2243581
chr1	2258118	2258518
chr1	2278042	2278442
chr1	2284220	2284620
chr1	2285048	2285448
chr1	2300989	2301389
chr1	2306479	2306879
chr1	2314291	2314691
chr1	2316624	2317024
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2330341	2330741
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2404504	2404904
chr1	2404018	2404418
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2494251	2494651
chr1	2526086	2526486
chr1	2534802	2535202
chr1	2535221	2535621
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2546465	2546865
chr1	2556322	2556722
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2642485	2642885
chr1	3313103	3313503
chr1	3432381	3432781
chr1	3453096	3453496
chr1	3454249	3454649
chr1	3460592	3460992
chr1	3467039	3467439
chr1	3471726	3472126
chr1	3471295	3471695
chr1	3483832	3484232
chr1	3485680	3486080
chr1	3491213	3491613
chr1	3502057	3502457
chr1	3504175	3504575
chr1	3531251	3531651
chr1	3543362	3543762
chr1	3548184	3548584
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3671811	3672211
chr1	3683980	3684380
chr1	3695606	3696006
chr1	3703393	3703793
chr1	3724384	3724784
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3772849	3773249
chr1	3796350	3796750
chr1	3811308	3811708
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3869695	3870095
chr1	3869187	3869587
chr1	3871352	3871752
chr1	3871901	3872301
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	4108286	4108686
chr1	4668804	4669204
chr1	4674680	4675080
chr1	4675503	4675903
chr1	4837197	4837597
chr1	4837700	4838100
chr1	5509852	5510252
chr1	5717730	5718130
