Chromosome	Start	End
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	904538	904938
chr1	940125	940525
chr1	959124	959524
chr1	976780	977180
chr1	999982	1000382
chr1	1000660	1001060
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1024631	1025031
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1079406	1079806
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1162617	1163017
chr1	1201378	1201778
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1238076	1238476
chr1	1273712	1274112
chr1	1293569	1293969
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1348736	1349136
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1398761	1399161
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1427412	1427812
chr1	1435450	1435850
chr1	1439447	1439847
chr1	1471485	1471885
chr1	1511867	1512267
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1554825	1555225
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1658953	1659353
chr1	1665754	1666154
chr1	1686300	1686700
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1835552	1835952
chr1	1890942	1891342
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	1959984	1960384
chr1	1969087	1969487
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2135435	2135835
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2234385	2234785
chr1	2259572	2259972
chr1	2290669	2291069
chr1	2315043	2315443
chr1	2322503	2322903
chr1	2330846	2331246
chr1	2331469	2331869
chr1	2343154	2343554
chr1	2344115	2344515
chr1	2361034	2361434
chr1	2360574	2360974
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2428428	2428828
chr1	2431191	2431591
chr1	2439778	2440178
chr1	2494249	2494649
chr1	2526090	2526490
chr1	2548685	2549085
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2636682	2637082
chr1	2643065	2643465
chr1	2642468	2642868
chr1	2654597	2654997
chr1	3249583	3249983
chr1	3313094	3313494
chr1	3453121	3453521
chr1	3465342	3465742
chr1	3468251	3468651
chr1	3473553	3473953
chr1	3482238	3482638
chr1	3491216	3491616
chr1	3501861	3502261
chr1	3531263	3531663
chr1	3530370	3530770
chr1	3531687	3532087
chr1	3540083	3540483
chr1	3547398	3547798
chr1	3553438	3553838
chr1	3610989	3611389
chr1	3624685	3625085
chr1	3624248	3624648
chr1	3668776	3669176
chr1	3685300	3685700
chr1	3703348	3703748
chr1	3703806	3704206
chr1	3707283	3707683
chr1	3717102	3717502
chr1	3718038	3718438
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3771969	3772369
chr1	3788095	3788495
chr1	3796353	3796753
chr1	3819632	3820032
chr1	3844795	3845195
chr1	3857140	3857540
chr1	3856678	3857078
chr1	3857569	3857969
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	3910775	3911175
chr1	4083481	4083881
chr1	4396011	4396411
chr1	4422456	4422856
chr1	4650454	4650854
chr1	4656255	4656655
chr1	4702866	4703266
chr1	4837211	4837611
chr1	5410564	5410964
chr1	5424845	5425245
chr1	5493963	5494363
chr1	5494469	5494869
chr1	5502299	5502699
chr1	5503713	5504113
chr1	5509856	5510256
chr1	5533271	5533671
chr1	5652170	5652570
chr1	5652804	5653204
chr1	5660241	5660641
chr1	5667830	5668230
chr1	5682168	5682568
chr1	5690899	5691299
chr1	5727197	5727597
chr1	5745777	5746177
chr1	5901148	5901548
chr1	5992337	5992737
chr1	6025234	6025634
chr1	6026026	6026426
chr1	6127731	6128131
chr1	6199485	6199885
chr1	6226313	6226713
chr1	6235817	6236217
chr1	6245023	6245423
chr1	6259948	6260348
chr1	6350410	6350810
chr1	6367255	6367655
chr1	6367706	6368106
chr1	6393265	6393665
chr1	6393860	6394260
chr1	6471461	6471861
chr1	6497320	6497720
chr1	6519955	6520355
chr1	6554354	6554754
chr1	6579731	6580131
chr1	6587242	6587642
chr1	6602774	6603174
chr1	6601067	6601467
chr1	6601584	6601984
chr1	6613365	6613765
chr1	6612947	6613347
chr1	6624939	6625339
chr1	6625578	6625978
chr1	6638225	6638625
chr1	6701692	6702092
chr1	6743780	6744180
chr1	6753293	6753693
chr1	6758774	6759174
chr1	6762082	6762482
chr1	6785114	6785514
chr1	6784483	6784883
chr1	6846248	6846648
chr1	6881341	6881741
chr1	6918517	6918917
chr1	6922505	6922905
chr1	6962791	6963191
chr1	6962363	6962763
chr1	6963212	6963612
chr1	7070395	7070795
chr1	7117506	7117906
chr1	7317933	7318333
chr1	7387430	7387830
chr1	7592386	7592786
chr1	7669466	7669866
chr1	7704470	7704870
chr1	7745809	7746209
chr1	7752806	7753206
chr1	7771047	7771447
chr1	7783871	7784271
chr1	7783376	7783776
chr1	7784354	7784754
chr1	7954058	7954458
chr1	7961375	7961775
chr1	7982277	7982677
chr1	8004944	8005344
chr1	8004113	8004513
chr1	8005395	8005795
chr1	8026127	8026527
chr1	8025697	8026097
chr1	8047679	8048079
chr1	8070279	8070679
chr1	8078132	8078532
chr1	8120890	8121290
chr1	8169735	8170135
chr1	8204399	8204799
chr1	8211918	8212318
chr1	8238967	8239367
chr1	8259050	8259450
chr1	8259603	8260003
chr1	8270769	8271169
chr1	8314277	8314677
chr1	8317887	8318287
chr1	8373503	8373903
chr1	8408040	8408440
chr1	8424047	8424447
chr1	8525866	8526266
chr1	8702157	8702557
chr1	8703198	8703598
chr1	8789519	8789919
chr1	8817530	8817930
chr1	8848796	8849196
chr1	8878569	8878969
chr1	8889939	8890339
chr1	8890426	8890826
chr1	8903896	8904296
chr1	8955437	8955837
chr1	8986198	8986598
chr1	9105235	9105635
chr1	9110682	9111082
chr1	9129030	9129430
chr1	9128628	9129028
