Chromosome	Start	End
chr1	778528	778928
chr1	876789	877189
chr1	1217134	1217534
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1724229	1724629
chr1	1880991	1881391
chr1	1916683	1917083
chr1	1919226	1919626
chr1	2133092	2133492
chr1	2586465	2586865
chr1	2866343	2866743
chr1	2865934	2866334
chr1	3099149	3099549
chr1	3168731	3169131
chr1	3590325	3590725
chr1	3624670	3625070
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	4834922	4835322
chr1	5296121	5296521
chr1	5861448	5861848
chr1	5992321	5992721
chr1	6205878	6206278
chr1	6235789	6236189
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6701697	6702097
chr1	6784993	6785393
chr1	7771061	7771461
chr1	7783925	7784325
chr1	7954059	7954459
chr1	7961376	7961776
chr1	8251614	8252014
chr1	8438886	8439286
chr1	8817516	8817916
chr1	9129024	9129424
chr1	9428798	9429198
chr1	9539187	9539587
chr1	9687416	9687816
chr1	9900364	9900764
chr1	9910340	9910740
chr1	10032620	10033020
chr1	10210279	10210679
chr1	10399198	10399598
chr1	10677383	10677783
chr1	10723983	10724383
chr1	10737179	10737579
chr1	10776475	10776875
chr1	11037601	11038001
chr1	11059906	11060306
chr1	11152343	11152743
chr1	11262488	11262888
chr1	11272982	11273382
chr1	11273471	11273871
chr1	11633177	11633577
chr1	11805894	11806294
chr1	11980065	11980465
chr1	12019183	12019583
chr1	12229816	12230216
chr1	12300730	12301130
chr1	12464628	12465028
chr1	13892899	13893299
chr1	13892490	13892890
chr1	14802431	14802831
chr1	15197062	15197462
chr1	15524173	15524573
chr1	15717490	15717890
chr1	15760833	15761233
chr1	15834764	15835164
chr1	16206483	16206883
chr1	16212447	16212847
chr1	16387390	16387790
chr1	16513928	16514328
chr1	16591738	16592138
chr1	16613406	16613806
chr1	16780503	16780903
chr1	16904723	16905123
chr1	17053975	17054375
chr1	17549655	17550055
chr1	19011054	19011454
chr1	19210151	19210551
chr1	19312005	19312405
chr1	19485440	19485840
chr1	20507984	20508384
chr1	20661347	20661747
chr1	20717868	20718268
chr1	20786626	20787026
chr1	21176769	21177169
chr1	21379142	21379542
chr1	22052433	22052833
chr1	22185223	22185623
chr1	22228614	22229014
chr1	22253980	22254380
chr1	22500475	22500875
chr1	22814755	22815155
chr1	23368186	23368586
chr1	23403898	23404298
chr1	23484147	23484547
chr1	23627845	23628245
chr1	23810804	23811204
chr1	23868161	23868561
chr1	23920015	23920415
chr1	24151131	24151531
chr1	24415476	24415876
chr1	24642938	24643338
chr1	24745017	24745417
chr1	24862160	24862560
chr1	25247356	25247756
chr1	25616445	25616845
chr1	25796439	25796839
chr1	25906297	25906697
chr1	26094169	26094569
chr1	26177238	26177638
chr1	26233903	26234303
chr1	26254346	26254746
chr1	26900267	26900667
chr1	26914020	26914420
chr1	27490010	27490410
chr1	27813441	27813841
chr1	27959752	27960152
chr1	28088524	28088924
chr1	29181810	29182210
chr1	29550184	29550584
chr1	30718080	30718480
chr1	30718494	30718894
chr1	31065574	31065974
chr1	31296741	31297141
chr1	31373545	31373945
chr1	31575520	31575920
chr1	31815877	31816277
chr1	32013513	32013913
chr1	32072629	32073029
chr1	32716606	32717006
chr1	32753711	32754111
chr1	32948174	32948574
chr1	33081430	33081830
chr1	33094999	33095399
chr1	33127229	33127629
chr1	33472306	33472706
chr1	35193048	35193448
chr1	35882944	35883344
chr1	36149389	36149789
chr1	36385861	36386261
chr1	36450333	36450733
chr1	36472125	36472525
chr1	36703692	36704092
chr1	37595806	37596206
chr1	37692154	37692554
chr1	38005456	38005856
chr1	38154051	38154451
chr1	38527290	38527690
chr1	38859648	38860048
chr1	39606624	39607024
chr1	39863081	39863481
chr1	39901859	39902259
chr1	39919502	39919902
chr1	39960670	39961070
chr1	40040405	40040805
chr1	40097070	40097470
chr1	40691437	40691837
chr1	40862259	40862659
chr1	41360930	41361330
chr1	41382139	41382539
chr1	41381629	41382029
chr1	41462023	41462423
chr1	41874985	41875385
chr1	42146860	42147260
chr1	42462969	42463369
chr1	42658150	42658550
chr1	42766942	42767342
chr1	42785212	42785612
chr1	42846331	42846731
chr1	42958756	42959156
chr1	43206862	43207262
chr1	43270436	43270836
chr1	43285444	43285844
chr1	43531507	43531907
chr1	43650237	43650637
chr1	43946457	43946857
chr1	44030065	44030465
chr1	44029634	44030034
chr1	44632129	44632529
chr1	44637549	44637949
chr1	44674375	44674775
chr1	44819561	44819961
chr1	44986444	44986844
chr1	45339836	45340236
chr1	45491062	45491462
chr1	45499948	45500348
chr1	45750511	45750911
chr1	46132824	46133224
chr1	46247406	46247806
chr1	46402030	46402430
chr1	46719017	46719417
chr1	46738382	46738782
chr1	47179085	47179485
chr1	47334056	47334456
chr1	47876117	47876517
chr1	47884878	47885278
chr1	48472082	48472482
chr1	48596038	48596438
chr1	50333528	50333928
chr1	50960056	50960456
chr1	50968409	50968809
chr1	51284494	51284894
chr1	51296785	51297185
chr1	51314977	51315377
chr1	51729419	51729819
chr1	52141848	52142248
chr1	52142305	52142705
chr1	52366213	52366613
chr1	53014737	53015137
chr1	53220447	53220847
chr1	53838403	53838803
chr1	54053296	54053696
chr1	54488146	54488546
chr1	54579463	54579863
chr1	54764433	54764833
chr1	54780950	54781350
chr1	54781377	54781777
chr1	54865449	54865849
chr1	54887071	54887471
chr1	57340689	57341089
chr1	57966980	57967380
chr1	58546613	58547013
chr1	58699920	58700320
chr1	58719951	58720351
chr1	58783935	58784335
chr1	58815261	58815661
chr1	58903581	58903981
chr1	59814443	59814843
chr1	61184115	61184515
chr1	61338160	61338560
chr1	62010997	62011397
chr1	62319199	62319599
chr1	62436373	62436773
chr1	62783897	62784297
chr1	62783324	62783724
chr1	63367356	63367756
chr1	63621651	63622051
chr1	63651104	63651504
chr1	63795439	63795839
chr1	64427860	64428260
chr1	65002504	65002904
chr1	65002092	65002492
chr1	65254224	65254624
chr1	65420183	65420583
chr1	66924729	66925129
chr1	67459117	67459517
chr1	67479093	67479493
chr1	67535401	67535801
chr1	67544962	67545362
chr1	67685008	67685408
chr1	68496967	68497367
chr1	70205446	70205846
chr1	70221622	70222022
chr1	70354568	70354968
chr1	70393209	70393609
chr1	70410957	70411357
chr1	71081114	71081514
chr1	71157062	71157462
chr1	71850199	71850599
chr1	71908297	71908697
chr1	72003896	72004296
chr1	72273756	72274156
chr1	73572231	73572631
chr1	76122271	76122671
chr1	76150541	76150941
chr1	76755218	76755618
chr1	77978110	77978510
chr1	79094777	79095177
chr1	81184871	81185271
chr1	81610729	81611129
chr1	83056782	83057182
chr1	85200852	85201252
chr1	85225060	85225460
chr1	85276485	85276885
chr1	85298205	85298605
chr1	85464999	85465399
chr1	86430348	86430748
chr1	86538757	86539157
chr1	86704333	86704733
chr1	86704893	86705293
chr1	87328265	87328665
chr1	87345558	87345958
chr1	87568012	87568412
chr1	88683966	88684366
chr1	88992755	88993155
chr1	89906603	89907003
chr1	89994886	89995286
chr1	91021878	91022278
chr1	91846026	91846426
chr1	92648643	92649043
chr1	92784989	92785389
chr1	92943165	92943565
chr1	93079035	93079435
chr1	93180337	93180737
chr1	93554146	93554546
chr1	93786143	93786543
chr1	94045560	94045960
chr1	94418134	94418534
chr1	94772223	94772623
chr1	94798036	94798436
chr1	94926932	94927332
chr1	95072770	95073170
chr1	95423219	95423619
chr1	96721504	96721904
chr1	97920887	97921287
chr1	99533911	99534311
chr1	99969772	99970172
chr1	100249705	100250105
chr1	100265990	100266390
chr1	100868360	100868760
chr1	102045756	102046156
chr1	102747441	102747841
chr1	103525500	103525900
chr1	106203195	106203595
chr1	108692070	108692470
chr1	108721213	108721613
chr1	108876734	108877134
chr1	109075834	109076234
chr1	109099903	109100303
chr1	109213664	109214064
chr1	109283019	109283419
chr1	109426323	109426723
chr1	109655871	109656271
chr1	109667797	109668197
chr1	109728893	109729293
chr1	109877306	109877706
chr1	110339088	110339488
chr1	110338683	110339083
chr1	110495979	110496379
chr1	110963825	110964225
chr1	111139957	111140357
chr1	111346373	111346773
chr1	111576487	111576887
chr1	111592924	111593324
chr1	111755442	111755842
chr1	113028165	113028565
chr1	113072919	113073319
chr1	113390154	113390554
chr1	113794426	113794826
chr1	113812225	113812625
chr1	113904966	113905366
chr1	113904485	113904885
chr1	114511050	114511450
chr1	114716610	114717010
chr1	114780481	114780881
chr1	115706800	115707200
chr1	115839175	115839575
chr1	115946163	115946563
chr1	116243720	116244120
chr1	116321835	116322235
chr1	116667588	116667988
chr1	117060004	117060404
chr1	117122366	117122766
chr1	117210797	117211197
chr1	117534985	117535385
chr1	117605718	117606118
chr1	117929502	117929902
chr1	143424556	143424956
chr1	143498533	143498933
chr1	143729291	143729691
chr1	143884915	143885315
chr1	143972085	143972485
chr1	143989296	143989696
chr1	145858899	145859299
chr1	145885719	145886119
chr1	145891850	145892250
chr1	145996484	145996884
chr1	147172450	147172850
chr1	147670411	147670811
chr1	147928160	147928560
chr1	148263295	148263695
chr1	148952204	148952604
chr1	149792419	149792819
chr1	149886558	149886958
chr1	150235949	150236349
chr1	150282202	150282602
chr1	150363843	150364243
chr1	150487144	150487544
chr1	150561236	150561636
chr1	150579500	150579900
chr1	150611456	150611856
chr1	150629476	150629876
chr1	150697125	150697525
chr1	150876562	150876962
chr1	150974581	150974981
chr1	151281922	151282322
chr1	151327520	151327920
chr1	151347135	151347535
chr1	151511120	151511520
chr1	151540030	151540430
chr1	151539585	151539985
chr1	151790374	151790774
chr1	151909341	151909741
chr1	151993696	151994096
chr1	153395884	153396284
chr1	153545007	153545407
chr1	153568517	153568917
chr1	153600921	153601321
chr1	153633760	153634160
chr1	153727669	153728069
chr1	153783581	153783981
chr1	153958468	153958868
chr1	154183062	154183462
chr1	154220536	154220936
chr1	154870198	154870598
chr1	154955982	154956382
chr1	154974340	154974740
chr1	154983012	154983412
chr1	154983436	154983836
chr1	155012086	155012486
chr1	155135598	155135998
chr1	155194632	155195032
