Chromosome	Start	End
chr1	605377	605777
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	779669	780069
chr1	817115	817515
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	876789	877189
chr1	904556	904956
chr1	905227	905627
chr1	910451	910851
chr1	921026	921426
chr1	923618	924018
chr1	925504	925904
chr1	940172	940572
chr1	941619	942019
chr1	940755	941155
chr1	944311	944711
chr1	959123	959523
chr1	959583	959983
chr1	960370	960770
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1014273	1014673
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1021064	1021464
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1069640	1070040
chr1	1074084	1074484
chr1	1073640	1074040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1133348	1133748
chr1	1132520	1132920
chr1	1135415	1135815
chr1	1145089	1145489
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1201390	1201790
chr1	1208339	1208739
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1239716	1240116
chr1	1246543	1246943
chr1	1250215	1250615
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1331024	1331424
chr1	1330623	1331023
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348027	1348427
chr1	1348840	1349240
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1361979	1362379
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1422814	1423214
chr1	1430169	1430569
chr1	1431848	1432248
chr1	1433179	1433579
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1462251	1462651
chr1	1462651	1463051
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1550850	1551250
chr1	1553294	1553694
chr1	1568020	1568420
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1625031	1625431
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1631886	1632286
chr1	1631471	1631871
chr1	1658934	1659334
chr1	1686260	1686660
chr1	1686756	1687156
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1728539	1728939
chr1	1740405	1740805
chr1	1741023	1741423
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1753361	1753761
chr1	1758752	1759152
chr1	1764230	1764630
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1846985	1847385
chr1	1847505	1847905
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1876514	1876914
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	1959578	1959978
chr1	1986471	1986871
chr1	1996192	1996592
chr1	2001849	2002249
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2018922	2019322
chr1	2025604	2026004
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2049403	2049803
chr1	2088447	2088847
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2108584	2108984
chr1	2116052	2116452
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2139725	2140125
chr1	2151311	2151711
chr1	2165612	2166012
chr1	2174249	2174649
chr1	2174727	2175127
chr1	2179510	2179910
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2207632	2208032
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2214830	2215230
chr1	2213225	2213625
chr1	2219957	2220357
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2234378	2234778
chr1	2234787	2235187
chr1	2240200	2240600
chr1	2246659	2247059
chr1	2255973	2256373
chr1	2270255	2270655
chr1	2270856	2271256
chr1	2278042	2278442
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2290112	2290512
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2299260	2299660
chr1	2311480	2311880
chr1	2314291	2314691
chr1	2313734	2314134
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2330341	2330741
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2404504	2404904
chr1	2405090	2405490
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2446479	2446879
chr1	2459821	2460221
chr1	2468015	2468415
chr1	2475033	2475433
chr1	2476097	2476497
chr1	2481915	2482315
chr1	2482623	2483023
chr1	2481497	2481897
chr1	2494251	2494651
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2547371	2547771
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2611150	2611550
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2801550	2801950
chr1	2985264	2985664
chr1	3069993	3070393
chr1	3069575	3069975
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3174845	3175245
chr1	3186553	3186953
chr1	3312595	3312995
chr1	3313103	3313503
chr1	3313615	3314015
chr1	3393443	3393843
chr1	3392991	3393391
chr1	3415396	3415796
chr1	3415797	3416197
chr1	3424688	3425088
chr1	3453096	3453496
chr1	3454249	3454649
chr1	3460043	3460443
chr1	3460592	3460992
chr1	3471726	3472126
chr1	3471295	3471695
chr1	3483832	3484232
chr1	3491213	3491613
chr1	3502057	3502457
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3536443	3536843
chr1	3541882	3542282
chr1	3545728	3546128
chr1	3547379	3547779
chr1	3548184	3548584
chr1	3553388	3553788
chr1	3553818	3554218
chr1	3565228	3565628
chr1	3581350	3581750
chr1	3587378	3587778
chr1	3590325	3590725
chr1	3611516	3611916
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3669513	3669913
chr1	3674595	3674995
chr1	3695606	3696006
chr1	3702983	3703383
chr1	3703393	3703793
chr1	3714362	3714762
chr1	3718004	3718404
chr1	3724384	3724784
chr1	3727277	3727677
chr1	3732619	3733019
chr1	3733040	3733440
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3775443	3775843
chr1	3796350	3796750
chr1	3796836	3797236
chr1	3801423	3801823
chr1	3811308	3811708
chr1	3819711	3820111
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3869695	3870095
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	3956518	3956918
chr1	4652551	4652951
chr1	4656256	4656656
chr1	4711081	4711481
chr1	4837197	4837597
chr1	5509852	5510252
chr1	5514546	5514946
chr1	5717730	5718130
chr1	5745783	5746183
chr1	5764471	5764871
chr1	5770885	5771285
chr1	5847291	5847691
chr1	5915966	5916366
chr1	5967246	5967646
chr1	5975153	5975553
chr1	5980444	5980844
chr1	5980878	5981278
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6006905	6007305
chr1	6025252	6025652
chr1	6026063	6026463
chr1	6034441	6034841
chr1	6041416	6041816
chr1	6052435	6052835
chr1	6052872	6053272
chr1	6071209	6071609
chr1	6127691	6128091
chr1	6161601	6162001
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6205878	6206278
chr1	6205137	6205537
chr1	6222590	6222990
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6245519	6245919
chr1	6246686	6247086
chr1	6248986	6249386
chr1	6256659	6257059
chr1	6259907	6260307
chr1	6260903	6261303
chr1	6260341	6260741
chr1	6263062	6263462
chr1	6269627	6270027
chr1	6270027	6270427
chr1	6276388	6276788
chr1	6280756	6281156
chr1	6287441	6287841
chr1	6300328	6300728
chr1	6316040	6316440
chr1	6330327	6330727
chr1	6329806	6330206
chr1	6330758	6331158
chr1	6335223	6335623
chr1	6335856	6336256
chr1	6343478	6343878
chr1	6348544	6348944
chr1	6347921	6348321
chr1	6353874	6354274
chr1	6359716	6360116
chr1	6358788	6359188
chr1	6359255	6359655
chr1	6363052	6363452
chr1	6385580	6385980
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6392744	6393144
chr1	6404647	6405047
chr1	6410234	6410634
chr1	6414307	6414707
chr1	6420599	6420999
chr1	6438019	6438419
chr1	6445103	6445503
chr1	6448556	6448956
chr1	6449034	6449434
chr1	6455141	6455541
chr1	6454414	6454814
chr1	6460361	6460761
chr1	6471449	6471849
chr1	6475484	6475884
chr1	6486438	6486838
chr1	6489857	6490257
chr1	6490418	6490818
chr1	6497309	6497709
chr1	6498832	6499232
chr1	6501877	6502277
chr1	6502352	6502752
chr1	6512415	6512815
chr1	6513329	6513729
chr1	6519988	6520388
chr1	6523580	6523980
chr1	6554368	6554768
chr1	6555132	6555532
chr1	6553784	6554184
chr1	6579729	6580129
chr1	6579262	6579662
chr1	6602781	6603181
chr1	6601015	6601415
chr1	6603184	6603584
chr1	6603830	6604230
chr1	6602178	6602578
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6613905	6614305
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6634624	6635024
chr1	6638196	6638596
chr1	6646479	6646879
chr1	6661379	6661779
chr1	6672547	6672947
chr1	6701697	6702097
chr1	6701197	6701597
chr1	6719991	6720391
chr1	6727436	6727836
chr1	6770709	6771109
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6912437	6912837
chr1	6911973	6912373
chr1	6918533	6918933
chr1	6922613	6923013
chr1	7070377	7070777
chr1	7075341	7075741
chr1	7117520	7117920
chr1	7291270	7291670
chr1	7299259	7299659
chr1	7334630	7335030
chr1	7334046	7334446
chr1	7341461	7341861
chr1	7388858	7389258
chr1	7401771	7402171
chr1	7444341	7444741
chr1	7463551	7463951
chr1	7470884	7471284
chr1	7471459	7471859
chr1	7477027	7477427
chr1	7478842	7479242
chr1	7491481	7491881
chr1	7495939	7496339
chr1	7502121	7502521
chr1	7537315	7537715
chr1	7536902	7537302
chr1	7539046	7539446
chr1	7554709	7555109
chr1	7557959	7558359
chr1	7557223	7557623
chr1	7616310	7616710
chr1	7644978	7645378
chr1	7645534	7645934
chr1	7667531	7667931
chr1	7669468	7669868
chr1	7680260	7680660
chr1	7680668	7681068
chr1	7679791	7680191
chr1	7704452	7704852
chr1	7752811	7753211
chr1	7752405	7752805
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7770622	7771022
chr1	7783925	7784325
chr1	7827109	7827509
chr1	7885494	7885894
chr1	7902728	7903128
chr1	7942247	7942647
chr1	7954059	7954459
chr1	7953583	7953983
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7975252	7975652
chr1	7982272	7982672
chr1	7991767	7992167
chr1	8004791	8005191
chr1	8004248	8004648
chr1	8005193	8005593
chr1	8014961	8015361
chr1	8026172	8026572
chr1	8026672	8027072
chr1	8025769	8026169
chr1	8040593	8040993
chr1	8047121	8047521
chr1	8048130	8048530
chr1	8047532	8047932
chr1	8061234	8061634
chr1	8077206	8077606
chr1	8084018	8084418
chr1	8082927	8083327
chr1	8083612	8084012
chr1	8094956	8095356
chr1	8116877	8117277
chr1	8117416	8117816
chr1	8121303	8121703
chr1	8120886	8121286
chr1	8127069	8127469
chr1	8137853	8138253
chr1	8137229	8137629
chr1	8154710	8155110
chr1	8155547	8155947
chr1	8169724	8170124
chr1	8174313	8174713
chr1	8182792	8183192
