Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	817115	817515
chr1	817922	818322
chr1	818870	819270
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	910005	910405
chr1	910451	910851
chr1	921026	921426
chr1	923618	924018
chr1	924752	925152
chr1	925504	925904
chr1	940172	940572
chr1	941619	942019
chr1	940755	941155
chr1	944311	944711
chr1	958627	959027
chr1	959123	959523
chr1	959583	959983
chr1	960370	960770
chr1	960841	961241
chr1	966792	967192
chr1	966233	966633
chr1	975991	976391
chr1	984122	984522
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1014273	1014673
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1021064	1021464
chr1	1026985	1027385
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1040018	1040418
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1135415	1135815
chr1	1143984	1144384
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1173670	1174070
chr1	1182736	1183136
chr1	1183151	1183551
chr1	1201390	1201790
chr1	1200430	1200830
chr1	1200836	1201236
chr1	1206392	1206792
chr1	1208339	1208739
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1238097	1238497
chr1	1237396	1237796
chr1	1243828	1244228
chr1	1246543	1246943
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1281628	1282028
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1309097	1309497
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1348437	1348837
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1359639	1360039
chr1	1361979	1362379
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1419404	1419804
chr1	1422814	1423214
chr1	1430169	1430569
chr1	1434267	1434667
chr1	1433823	1434223
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1462251	1462651
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1539583	1539983
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1550850	1551250
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1600003	1600403
chr1	1599533	1599933
chr1	1599094	1599494
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1631886	1632286
chr1	1631471	1631871
chr1	1658934	1659334
chr1	1677829	1678229
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1693913	1694313
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1758752	1759152
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1782933	1783333
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1890086	1890486
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1918464	1918864
chr1	1919979	1920379
chr1	1942846	1943246
chr1	1943962	1944362
chr1	1959978	1960378
chr1	1959578	1959978
chr1	1989027	1989427
chr1	1990237	1990637
chr1	1989822	1990222
chr1	1996192	1996592
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2018922	2019322
chr1	2025604	2026004
chr1	2026052	2026452
chr1	2044817	2045217
chr1	2044367	2044767
chr1	2050089	2050489
chr1	2050616	2051016
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2088447	2088847
chr1	2090085	2090485
chr1	2089639	2090039
chr1	2103159	2103559
chr1	2104532	2104932
chr1	2108584	2108984
chr1	2116052	2116452
chr1	2132224	2132624
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2135495	2135895
chr1	2148670	2149070
chr1	2151311	2151711
chr1	2174249	2174649
chr1	2174727	2175127
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2207632	2208032
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2214830	2215230
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2231879	2232279
chr1	2234378	2234778
chr1	2240200	2240600
chr1	2246659	2247059
chr1	2255973	2256373
chr1	2256429	2256829
chr1	2270255	2270655
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2290112	2290512
chr1	2290681	2291081
chr1	2291255	2291655
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2299816	2300216
chr1	2311480	2311880
chr1	2314291	2314691
chr1	2315069	2315469
chr1	2315645	2316045
chr1	2313734	2314134
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2330830	2331230
chr1	2330341	2330741
chr1	2329735	2330135
chr1	2336069	2336469
chr1	2353139	2353539
chr1	2381713	2382113
chr1	2381227	2381627
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2414379	2414779
chr1	2443236	2443636
chr1	2459821	2460221
chr1	2463328	2463728
chr1	2475033	2475433
chr1	2474108	2474508
chr1	2473686	2474086
chr1	2504656	2505056
chr1	2505114	2505514
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2546465	2546865
chr1	2554867	2555267
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2556931	2557331
chr1	2566090	2566490
chr1	2575736	2576136
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2587152	2587552
chr1	2593963	2594363
chr1	2607730	2608130
chr1	2611150	2611550
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2643567	2643967
chr1	2772312	2772712
chr1	2786611	2787011
chr1	2821904	2822304
