Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	858657	859057
chr1	869700	870100
chr1	904556	904956
chr1	911156	911556
chr1	910451	910851
chr1	916545	916945
chr1	921026	921426
chr1	923618	924018
chr1	935810	936210
chr1	940172	940572
chr1	941619	942019
chr1	944311	944711
chr1	959123	959523
chr1	966792	967192
chr1	975514	975914
chr1	975991	976391
chr1	984122	984522
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1021064	1021464
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1034165	1034565
chr1	1033715	1034115
chr1	1040638	1041038
chr1	1040018	1040418
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1069171	1069571
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1173670	1174070
chr1	1174236	1174636
chr1	1201390	1201790
chr1	1208339	1208739
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1246543	1246943
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1286011	1286411
chr1	1291818	1292218
chr1	1291140	1291540
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1305561	1305961
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348840	1349240
chr1	1355396	1355796
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1419404	1419804
chr1	1427451	1427851
chr1	1430169	1430569
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1462251	1462651
chr1	1462651	1463051
chr1	1471501	1471901
chr1	1495606	1496006
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1539583	1539983
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1600003	1600403
chr1	1599533	1599933
chr1	1599094	1599494
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1788057	1788457
chr1	1858656	1859056
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1919979	1920379
chr1	1943962	1944362
chr1	1959978	1960378
chr1	2003702	2004102
chr1	2018922	2019322
chr1	2025604	2026004
chr1	2044817	2045217
chr1	2073439	2073839
chr1	2073879	2074279
chr1	2075028	2075428
chr1	2099856	2100256
chr1	2104941	2105341
chr1	2104532	2104932
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2139725	2140125
chr1	2174249	2174649
chr1	2174727	2175127
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2214830	2215230
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2240200	2240600
chr1	2246659	2247059
chr1	2246049	2246449
chr1	2267436	2267836
chr1	2270255	2270655
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2299260	2299660
chr1	2304910	2305310
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2336069	2336469
chr1	2335627	2336027
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2426459	2426859
chr1	2431095	2431495
chr1	2438029	2438429
chr1	2443837	2444237
chr1	2446479	2446879
chr1	2459821	2460221
chr1	2467212	2467612
chr1	2470498	2470898
chr1	2475033	2475433
chr1	2480991	2481391
chr1	2480589	2480989
chr1	2493537	2493937
chr1	2504656	2505056
chr1	2503609	2504009
chr1	2504172	2504572
chr1	2526086	2526486
chr1	2527308	2527708
chr1	2526740	2527140
chr1	2532836	2533236
chr1	2543436	2543836
chr1	2544321	2544721
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2563439	2563839
chr1	2575736	2576136
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2611150	2611550
chr1	2610291	2610691
chr1	2629248	2629648
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2643567	2643967
chr1	2778159	2778559
chr1	2786611	2787011
chr1	2821904	2822304
chr1	2855740	2856140
chr1	2874525	2874925
chr1	2875964	2876364
chr1	2876389	2876789
chr1	2882909	2883309
chr1	2905948	2906348
chr1	2911396	2911796
chr1	2928619	2929019
chr1	2968526	2968926
chr1	2985264	2985664
chr1	2987822	2988222
chr1	3012471	3012871
chr1	3011934	3012334
chr1	3036663	3037063
chr1	3069575	3069975
chr1	3105444	3105844
chr1	3119671	3120071
chr1	3145553	3145953
chr1	3145986	3146386
chr1	3156951	3157351
chr1	3162474	3162874
chr1	3161399	3161799
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3186553	3186953
chr1	3185934	3186334
chr1	3198864	3199264
chr1	3198276	3198676
chr1	3219178	3219578
chr1	3226907	3227307
chr1	3240913	3241313
chr1	3247341	3247741
chr1	3258552	3258952
chr1	3259017	3259417
chr1	3283964	3284364
chr1	3313103	3313503
chr1	3313615	3314015
chr1	3323137	3323537
chr1	3323654	3324054
chr1	3345777	3346177
chr1	3352427	3352827
chr1	3366056	3366456
chr1	3393443	3393843
chr1	3410103	3410503
chr1	3424688	3425088
chr1	3424194	3424594
chr1	3453096	3453496
chr1	3459577	3459977
chr1	3471726	3472126
chr1	3491213	3491613
chr1	3502057	3502457
chr1	3516222	3516622
chr1	3516936	3517336
chr1	3517466	3517866
chr1	3524585	3524985
chr1	3530347	3530747
chr1	3531251	3531651
chr1	3539952	3540352
chr1	3551313	3551713
chr1	3557251	3557651
chr1	3565228	3565628
chr1	3573515	3573915
chr1	3577320	3577720
chr1	3590325	3590725
chr1	3590771	3591171
chr1	3598561	3598961
chr1	3598110	3598510
chr1	3610491	3610891
