Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	940172	940572
chr1	959123	959523
chr1	984122	984522
chr1	999961	1000361
chr1	1000669	1001069
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1116020	1116420
chr1	1122094	1122494
chr1	1135415	1135815
chr1	1158168	1158568
chr1	1185182	1185582
chr1	1206392	1206792
chr1	1231902	1232302
chr1	1273724	1274124
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1349240	1349640
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1434267	1434667
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	1943962	1944362
chr1	2073439	2073839
chr1	2116052	2116452
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2189450	2189850
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2205103	2205503
chr1	2227605	2228005
chr1	2248158	2248558
chr1	2268000	2268400
chr1	2279154	2279554
chr1	2290681	2291081
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2412455	2412855
chr1	2470498	2470898
chr1	2530260	2530660
chr1	2532836	2533236
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2968526	2968926
chr1	3012471	3012871
chr1	3011934	3012334
chr1	3105444	3105844
chr1	3125675	3126075
chr1	3170498	3170898
chr1	3219178	3219578
chr1	3345777	3346177
chr1	3394021	3394421
chr1	3410103	3410503
chr1	3441350	3441750
chr1	3453096	3453496
chr1	3467817	3468217
chr1	3491213	3491613
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3667041	3667441
chr1	3747229	3747629
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	4700808	4701208
chr1	5477758	5478158
chr1	5745783	5746183
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6058577	6058977
chr1	6065050	6065450
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6198923	6199323
chr1	6235199	6235599
chr1	6329806	6330206
chr1	6384947	6385347
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6436920	6437320
chr1	6448556	6448956
chr1	6502352	6502752
chr1	6519988	6520388
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6601015	6601415
chr1	6601648	6602048
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6701697	6702097
chr1	6784993	6785393
chr1	6784530	6784930
chr1	7299259	7299659
chr1	7317480	7317880
chr1	7668456	7668856
chr1	7667934	7668334
chr1	7668951	7669351
chr1	7680260	7680660
chr1	7679791	7680191
chr1	7704452	7704852
chr1	7771061	7771461
chr1	7783925	7784325
chr1	7886369	7886769
chr1	7954059	7954459
chr1	7961376	7961776
chr1	8004248	8004648
chr1	8026172	8026572
chr1	8025769	8026169
chr1	8301965	8302365
chr1	8317872	8318272
chr1	8409637	8410037
chr1	8424024	8424424
chr1	8438886	8439286
chr1	8525898	8526298
chr1	8703137	8703537
chr1	8817516	8817916
chr1	8848788	8849188
chr1	8878566	8878966
chr1	8879028	8879428
chr1	8889940	8890340
chr1	8988018	8988418
chr1	9005078	9005478
chr1	9151250	9151650
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9318137	9318537
chr1	9317586	9317986
chr1	9324445	9324845
chr1	9428798	9429198
chr1	9538685	9539085
chr1	9539187	9539587
chr1	9588469	9588869
chr1	9687416	9687816
chr1	9823910	9824310
chr1	9824356	9824756
chr1	9842815	9843215
chr1	9874857	9875257
chr1	9910340	9910740
chr1	9910782	9911182
chr1	9950335	9950735
chr1	10001048	10001448
chr1	10032620	10033020
chr1	10033176	10033576
chr1	10179728	10180128
chr1	10179314	10179714
chr1	10210279	10210679
chr1	10209743	10210143
chr1	10295463	10295863
chr1	10338027	10338427
chr1	10398739	10399139
chr1	10399198	10399598
chr1	10430528	10430928
chr1	10472384	10472784
chr1	10474719	10475119
chr1	10494629	10495029
chr1	10663622	10664022
chr1	10663163	10663563
chr1	10694691	10695091
chr1	10709174	10709574
chr1	10793931	10794331
chr1	10796490	10796890
chr1	10835874	10836274
chr1	10867075	10867475
chr1	10944408	10944808
chr1	10979405	10979805
chr1	10980121	10980521
chr1	11012154	11012554
chr1	11059906	11060306
chr1	11059374	11059774
chr1	11262488	11262888
chr1	11272982	11273382
chr1	11355528	11355928
chr1	11355938	11356338
chr1	11355054	11355454
chr1	11458999	11459399
chr1	11478652	11479052
chr1	11479073	11479473
chr1	11499867	11500267
chr1	11499443	11499843
chr1	11663993	11664393
chr1	11680995	11681395
chr1	11681451	11681851
chr1	11701548	11701948
chr1	11731758	11732158
chr1	11805894	11806294
chr1	11805395	11805795
chr1	11847969	11848369
chr1	11907679	11908079
chr1	11908348	11908748
chr1	11926306	11926706
chr1	11934447	11934847
chr1	11980065	11980465
chr1	11980529	11980929
chr1	12019183	12019583
chr1	12034415	12034815
chr1	12124781	12125181
chr1	12142188	12142588
chr1	12229816	12230216
chr1	12336298	12336698
