Chromosome	Start	End
chr1	180580	180980
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	905248	905648
chr1	959124	959524
chr1	966800	967200
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1038761	1039161
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1137253	1137653
chr1	1136512	1136912
chr1	1144352	1144752
chr1	1157374	1157774
chr1	1171768	1172168
chr1	1201378	1201778
chr1	1200845	1201245
chr1	1212856	1213256
chr1	1231886	1232286
chr1	1250854	1251254
chr1	1273712	1274112
chr1	1291801	1292201
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1331036	1331436
chr1	1330363	1330763
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1435450	1435850
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1505473	1505873
chr1	1511867	1512267
chr1	1574716	1575116
chr1	1599963	1600363
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1630222	1630622
chr1	1629693	1630093
chr1	1658953	1659353
chr1	1677849	1678249
chr1	1678267	1678667
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1737876	1738276
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1778762	1779162
chr1	1780340	1780740
chr1	1797796	1798196
chr1	1833470	1833870
chr1	1833991	1834391
chr1	1842764	1843164
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2112467	2112867
chr1	2118535	2118935
chr1	2127333	2127733
chr1	2126894	2127294
chr1	2133112	2133512
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2227624	2228024
chr1	2234385	2234785
chr1	2246647	2247047
chr1	2246061	2246461
chr1	2255945	2256345
chr1	2255536	2255936
chr1	2290669	2291069
chr1	2300336	2300736
chr1	2300915	2301315
chr1	2315043	2315443
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
chr1	2412466	2412866
chr1	2496226	2496626
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2548685	2549085
chr1	2548000	2548400
chr1	2555558	2555958
chr1	2556300	2556700
chr1	2556837	2557237
chr1	2576632	2577032
chr1	2578249	2578649
chr1	2585387	2585787
chr1	2586361	2586761
chr1	2586836	2587236
