Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	921026	921426
chr1	923618	924018
chr1	940172	940572
chr1	941619	942019
chr1	959123	959523
chr1	966792	967192
chr1	975991	976391
chr1	999961	1000361
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1021064	1021464
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1136490	1136890
chr1	1144433	1144833
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1162596	1162996
chr1	1173670	1174070
chr1	1201390	1201790
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1274441	1274841
chr1	1291818	1292218
chr1	1300003	1300403
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1318218	1318618
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1358097	1358497
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1435445	1435845
chr1	1462251	1462651
chr1	1462651	1463051
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1630924	1631324
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1758752	1759152
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1959978	1960378
chr1	2003702	2004102
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2049403	2049803
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2212451	2212851
chr1	2214059	2214459
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2290681	2291081
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2441654	2442054
chr1	2475033	2475433
chr1	2474108	2474508
chr1	2481915	2482315
chr1	2526086	2526486
chr1	2548683	2549083
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2592797	2593197
chr1	2593963	2594363
chr1	2611150	2611550
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2821904	2822304
chr1	2968526	2968926
chr1	3069575	3069975
chr1	3170498	3170898
chr1	3313103	3313503
chr1	3313615	3314015
chr1	3323137	3323537
chr1	3323654	3324054
chr1	3410103	3410503
chr1	3431258	3431658
chr1	3453096	3453496
chr1	3454249	3454649
chr1	3491213	3491613
chr1	3504175	3504575
chr1	3531251	3531651
chr1	3541882	3542282
chr1	3557251	3557651
chr1	3570036	3570436
chr1	3598110	3598510
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3695606	3696006
chr1	3718004	3718404
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3771968	3772368
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	4138099	4138499
chr1	5493429	5493829
chr1	5507360	5507760
chr1	5598111	5598511
chr1	5745783	5746183
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6007372	6007772
chr1	6052872	6053272
chr1	6058577	6058977
chr1	6127691	6128091
chr1	6148649	6149049
chr1	6181346	6181746
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6205878	6206278
chr1	6205137	6205537
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6259907	6260307
chr1	6260903	6261303
chr1	6276388	6276788
chr1	6287441	6287841
chr1	6343478	6343878
chr1	6358788	6359188
chr1	6363052	6363452
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6404647	6405047
chr1	6423442	6423842
chr1	6460361	6460761
chr1	6490418	6490818
chr1	6519988	6520388
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6601015	6601415
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
chr1	6701197	6701597
chr1	6784993	6785393
chr1	6784530	6784930
chr1	7117520	7117920
chr1	7299259	7299659
chr1	7326261	7326661
chr1	7333487	7333887
chr1	7455305	7455705
chr1	7470884	7471284
chr1	7491481	7491881
chr1	7491066	7491466
chr1	7552476	7552876
chr1	7558972	7559372
chr1	7667531	7667931
chr1	7704452	7704852
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7770622	7771022
chr1	7783925	7784325
chr1	7784530	7784930
chr1	7942247	7942647
chr1	7954059	7954459
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7975252	7975652
chr1	8004791	8005191
chr1	8005193	8005593
chr1	8026172	8026572
chr1	8026672	8027072
chr1	8025769	8026169
chr1	8061234	8061634
chr1	8169724	8170124
chr1	8174313	8174713
chr1	8197699	8198099
chr1	8202123	8202523
chr1	8206406	8206806
chr1	8231841	8232241
chr1	8294138	8294538
chr1	8314318	8314718
chr1	8317872	8318272
chr1	8343375	8343775
chr1	8363499	8363899
chr1	8373521	8373921
chr1	8409156	8409556
chr1	8424024	8424424
chr1	8525898	8526298
chr1	8597984	8598384
chr1	8703137	8703537
chr1	8817516	8817916
chr1	8848788	8849188
chr1	8873570	8873970
chr1	8878566	8878966
chr1	8879028	8879428
chr1	8890417	8890817
chr1	8899872	8900272
chr1	9005078	9005478
chr1	9110747	9111147
chr1	9129024	9129424
chr1	9129424	9129824
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9242440	9242840
chr1	9292657	9293057
chr1	9318137	9318537
chr1	9326567	9326967
chr1	9371529	9371929
chr1	9371945	9372345
chr1	9397841	9398241
chr1	9398241	9398641
chr1	9413497	9413897
chr1	9412977	9413377
chr1	9413965	9414365
chr1	9428798	9429198
chr1	9429265	9429665
chr1	9441503	9441903
chr1	9491035	9491435
chr1	9539187	9539587
