Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	898658	899058
chr1	959123	959523
chr1	966792	967192
chr1	984122	984522
chr1	1013242	1013642
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1059459	1059859
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1136490	1136890
chr1	1145689	1146089
chr1	1157383	1157783
chr1	1162596	1162996
chr1	1163034	1163434
chr1	1201390	1201790
chr1	1208339	1208739
chr1	1231902	1232302
chr1	1238521	1238921
chr1	1273724	1274124
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1355396	1355796
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1421191	1421591
chr1	1433179	1433579
chr1	1435445	1435845
chr1	1462251	1462651
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1599094	1599494
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1658934	1659334
chr1	1665053	1665453
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1758752	1759152
chr1	1759657	1760057
chr1	1782473	1782873
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	2019518	2019918
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2104941	2105341
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2189450	2189850
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2304910	2305310
chr1	2322683	2323083
chr1	2328845	2329245
chr1	2391508	2391908
chr1	2412455	2412855
chr1	2426459	2426859
chr1	2483466	2483866
chr1	2526086	2526486
chr1	2546010	2546410
chr1	2561458	2561858
chr1	2564958	2565358
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2801550	2801950
chr1	2821904	2822304
chr1	2968526	2968926
chr1	3149330	3149730
chr1	3170498	3170898
chr1	3178269	3178669
chr1	3186553	3186953
chr1	3261347	3261747
chr1	3305226	3305626
chr1	3323137	3323537
chr1	3494270	3494670
chr1	3504793	3505193
chr1	3512893	3513293
chr1	3577320	3577720
chr1	3590325	3590725
chr1	3598110	3598510
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3695606	3696006
chr1	3703809	3704209
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3925910	3926310
chr1	4134332	4134732
chr1	4527718	4528118
chr1	4711486	4711886
chr1	5108233	5108633
chr1	5312891	5313291
chr1	5514546	5514946
chr1	5551086	5551486
chr1	5660177	5660577
chr1	5895670	5896070
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6026063	6026463
chr1	6033989	6034389
chr1	6034441	6034841
chr1	6127691	6128091
chr1	6199456	6199856
chr1	6209177	6209577
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6370001	6370401
chr1	6384947	6385347
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6423442	6423842
chr1	6447730	6448130
chr1	6465984	6466384
chr1	6519988	6520388
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6822473	6822873
chr1	6962595	6962995
chr1	6962190	6962590
chr1	7070377	7070777
chr1	7278064	7278464
chr1	7645534	7645934
chr1	7651225	7651625
chr1	7668456	7668856
chr1	7704452	7704852
chr1	7728059	7728459
chr1	7771061	7771461
chr1	7783925	7784325
chr1	7954059	7954459
chr1	7961376	7961776
chr1	7982272	7982672
chr1	8026172	8026572
chr1	8025769	8026169
chr1	8154710	8155110
chr1	8169724	8170124
chr1	8202123	8202523
chr1	8252277	8252677
chr1	8259029	8259429
chr1	8312183	8312583
chr1	8409156	8409556
chr1	8424024	8424424
chr1	8423531	8423931
chr1	8525898	8526298
chr1	8597984	8598384
chr1	8687011	8687411
chr1	8703137	8703537
chr1	8712714	8713114
chr1	8817516	8817916
chr1	8829503	8829903
chr1	8848788	8849188
chr1	8878566	8878966
chr1	8879028	8879428
chr1	9025390	9025790
chr1	9025819	9026219
chr1	9101565	9101965
chr1	9113058	9113458
chr1	9112642	9113042
chr1	9129424	9129824
chr1	9201878	9202278
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9338828	9339228
chr1	9358653	9359053
chr1	9371529	9371929
chr1	9371945	9372345
chr1	9428798	9429198
chr1	9438478	9438878
chr1	9491035	9491435
chr1	9539187	9539587
chr1	9588469	9588869
chr1	9593402	9593802
chr1	9593813	9594213
chr1	9626958	9627358
chr1	9689295	9689695
chr1	9717578	9717978
chr1	9823910	9824310
chr1	9843546	9843946
chr1	9900364	9900764
chr1	9900782	9901182
chr1	9910340	9910740
chr1	9910782	9911182
chr1	9943211	9943611
chr1	9950335	9950735
chr1	9950877	9951277
chr1	10032620	10033020
chr1	10210279	10210679
chr1	10253734	10254134
chr1	10398739	10399139
chr1	10399198	10399598
chr1	10472384	10472784
chr1	10495089	10495489
chr1	10617407	10617807
chr1	10668215	10668615
chr1	10667789	10668189
chr1	10694691	10695091
chr1	10736161	10736561
chr1	10755908	10756308
chr1	10773230	10773630
chr1	10793931	10794331
chr1	10796490	10796890
chr1	10835874	10836274
chr1	10901241	10901641
chr1	10937374	10937774
chr1	10962430	10962830
chr1	11012154	11012554
chr1	11059906	11060306
chr1	11071333	11071733
chr1	11099726	11100126
chr1	11143914	11144314
chr1	11241714	11242114
chr1	11262488	11262888
chr1	11272982	11273382
chr1	11273471	11273871
chr1	11415085	11415485
chr1	11478652	11479052
chr1	11479073	11479473
chr1	11501467	11501867
chr1	11680995	11681395
chr1	11735862	11736262
chr1	11785122	11785522
chr1	11784594	11784994
chr1	11805894	11806294
chr1	11882851	11883251
chr1	11907679	11908079
chr1	11908818	11909218
chr1	11908348	11908748
chr1	11926306	11926706
chr1	11934447	11934847
chr1	11980065	11980465
chr1	11980529	11980929
chr1	12019183	12019583
chr1	12121572	12121972
chr1	12229816	12230216
chr1	12381256	12381656
chr1	12461285	12461685
chr1	13487479	13487879
chr1	13749127	13749527
chr1	14336336	14336736
chr1	14465968	14466368
chr1	14599268	14599668
