Chromosome	Start	End
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	817115	817515
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	906692	907092
chr1	958627	959027
chr1	959123	959523
chr1	960370	960770
chr1	966792	967192
chr1	999961	1000361
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1038695	1039095
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1201390	1201790
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1260126	1260526
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1293831	1294231
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1406657	1407057
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1599533	1599933
chr1	1607072	1607472
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1764230	1764630
chr1	1778747	1779147
chr1	1779881	1780281
chr1	1780366	1780766
chr1	1849199	1849599
chr1	1869454	1869854
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1959978	1960378
chr1	1966366	1966766
chr1	1996192	1996592
chr1	2044817	2045217
chr1	2050089	2050489
chr1	2091601	2092001
chr1	2112467	2112867
chr1	2127302	2127702
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2142780	2143180
chr1	2148670	2149070
chr1	2151311	2151711
chr1	2159189	2159589
chr1	2174249	2174649
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2234378	2234778
chr1	2234787	2235187
chr1	2246659	2247059
chr1	2246049	2246449
chr1	2255973	2256373
chr1	2279154	2279554
chr1	2278749	2279149
chr1	2290112	2290512
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2300337	2300737
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2546465	2546865
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2576577	2576977
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2643039	2643439
chr1	2772312	2772712
chr1	2927336	2927736
chr1	3170498	3170898
