Chromosome	Start	End
chr1	633822	634222
chr1	634230	634630
chr1	778528	778928
chr1	778928	779328
chr1	827335	827735
chr1	826881	827281
chr1	838280	838680
chr1	856596	856996
chr1	869700	870100
chr1	921026	921426
chr1	940172	940572
chr1	958627	959027
chr1	959123	959523
chr1	966792	967192
chr1	966233	966633
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1116020	1116420
chr1	1122094	1122494
chr1	1150125	1150525
chr1	1157383	1157783
chr1	1158168	1158568
chr1	1201390	1201790
chr1	1206392	1206792
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1237396	1237796
chr1	1246543	1246943
chr1	1250867	1251267
chr1	1261115	1261515
chr1	1260564	1260964
chr1	1261517	1261917
chr1	1273724	1274124
chr1	1291818	1292218
chr1	1298935	1299335
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1348027	1348427
chr1	1360191	1360591
chr1	1359639	1360039
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1430169	1430569
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1462251	1462651
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1550850	1551250
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1670939	1671339
chr1	1678765	1679165
chr1	1677829	1678229
chr1	1678252	1678652
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1758752	1759152
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1788057	1788457
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1890939	1891339
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1943962	1944362
chr1	1959978	1960378
chr1	1959578	1959978
chr1	1989027	1989427
chr1	2003702	2004102
chr1	2014714	2015114
chr1	2018922	2019322
chr1	2025604	2026004
chr1	2026052	2026452
chr1	2044817	2045217
chr1	2045922	2046322
chr1	2046446	2046846
chr1	2050089	2050489
chr1	2052154	2052554
chr1	2115300	2115700
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2139725	2140125
chr1	2174249	2174649
chr1	2174727	2175127
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2241961	2242361
chr1	2255973	2256373
chr1	2267012	2267412
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2290681	2291081
chr1	2300989	2301389
chr1	2322157	2322557
chr1	2322683	2323083
chr1	2381713	2382113
chr1	2382528	2382928
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2459821	2460221
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2566090	2566490
chr1	2578278	2578678
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2821904	2822304
chr1	3069575	3069975
chr1	3121392	3121792
chr1	3155343	3155743
chr1	3170498	3170898
chr1	3171029	3171429
chr1	3186553	3186953
chr1	3313103	3313503
chr1	3313615	3314015
chr1	3323137	3323537
chr1	3352896	3353296
chr1	3415396	3415796
chr1	3415797	3416197
chr1	3471726	3472126
chr1	3491213	3491613
chr1	3504175	3504575
chr1	3504793	3505193
chr1	3525843	3526243
chr1	3531251	3531651
chr1	3530797	3531197
chr1	3539952	3540352
chr1	3547379	3547779
chr1	3560541	3560941
chr1	3560135	3560535
chr1	3581350	3581750
chr1	3597441	3597841
chr1	3603595	3603995
chr1	3611516	3611916
chr1	3611108	3611508
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3649926	3650326
chr1	3668812	3669212
chr1	3683980	3684380
chr1	3695606	3696006
chr1	3718004	3718404
chr1	3724384	3724784
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3856493	3856893
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	3910773	3911173
chr1	4176935	4177335
chr1	4177430	4177830
chr1	4379486	4379886
chr1	4464513	4464913
chr1	4486851	4487251
chr1	4656256	4656656
chr1	4673496	4673896
chr1	4801508	4801908
chr1	4826033	4826433
chr1	4837700	4838100
chr1	5393706	5394106
chr1	5484652	5485052
chr1	5514546	5514946
chr1	5615979	5616379
chr1	5620981	5621381
chr1	5632214	5632614
chr1	5646390	5646790
chr1	5660177	5660577
chr1	5667802	5668202
chr1	5698191	5698591
chr1	5745783	5746183
chr1	5771363	5771763
chr1	5770885	5771285
chr1	5934193	5934593
chr1	5975153	5975553
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6026063	6026463
chr1	6026488	6026888
chr1	6034441	6034841
chr1	6041899	6042299
chr1	6052435	6052835
chr1	6058577	6058977
chr1	6080432	6080832
chr1	6127691	6128091
chr1	6161601	6162001
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6205137	6205537
chr1	6209177	6209577
chr1	6218328	6218728
chr1	6218743	6219143
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6246686	6247086
chr1	6260903	6261303
chr1	6343478	6343878
chr1	6348544	6348944
chr1	6359716	6360116
chr1	6358788	6359188
chr1	6359255	6359655
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6414307	6414707
chr1	6423442	6423842
chr1	6438019	6438419
chr1	6448556	6448956
chr1	6447220	6447620
chr1	6475484	6475884
chr1	6486438	6486838
chr1	6484831	6485231
chr1	6489857	6490257
chr1	6490418	6490818
chr1	6497309	6497709
