Chromosome	Start	End
chr1	265715	266115
chr1	629073	629473
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	817115	817515
chr1	825755	826155
chr1	827335	827735
chr1	826881	827281
chr1	869700	870100
chr1	904556	904956
chr1	905227	905627
chr1	906025	906425
chr1	911156	911556
chr1	916545	916945
chr1	921026	921426
chr1	920614	921014
chr1	923618	924018
chr1	924752	925152
chr1	940172	940572
chr1	940755	941155
chr1	958627	959027
chr1	959123	959523
chr1	959583	959983
chr1	960370	960770
chr1	966792	967192
chr1	975991	976391
chr1	998982	999382
chr1	999961	1000361
chr1	1000669	1001069
chr1	1001805	1002205
chr1	1005175	1005575
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1012788	1013188
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1032988	1033388
chr1	1032464	1032864
chr1	1040638	1041038
chr1	1059459	1059859
chr1	1059874	1060274
chr1	1064155	1064555
chr1	1063718	1064118
chr1	1069171	1069571
chr1	1068571	1068971
chr1	1069640	1070040
chr1	1079345	1079745
chr1	1080088	1080488
chr1	1089990	1090390
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1128458	1128858
chr1	1130141	1130541
chr1	1157383	1157783
chr1	1201390	1201790
chr1	1221037	1221437
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1274441	1274841
chr1	1280915	1281315
chr1	1281628	1282028
chr1	1282084	1282484
chr1	1290156	1290556
chr1	1291818	1292218
chr1	1298935	1299335
chr1	1304655	1305055
chr1	1305561	1305961
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1309097	1309497
chr1	1315358	1315758
chr1	1318218	1318618
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1325425	1325825
chr1	1331024	1331424
chr1	1330623	1331023
chr1	1331544	1331944
chr1	1333344	1333744
chr1	1332753	1333153
chr1	1334887	1335287
chr1	1337749	1338149
chr1	1344765	1345165
chr1	1349240	1349640
chr1	1349721	1350121
chr1	1347568	1347968
chr1	1348027	1348427
chr1	1348840	1349240
chr1	1348437	1348837
chr1	1355396	1355796
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1360191	1360591
chr1	1359639	1360039
chr1	1361979	1362379
chr1	1371918	1372318
chr1	1375255	1375655
chr1	1374663	1375063
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1407636	1408036
chr1	1406657	1407057
chr1	1419991	1420391
chr1	1430169	1430569
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1441519	1441919
chr1	1471501	1471901
chr1	1470884	1471284
chr1	1504892	1505292
chr1	1505471	1505871
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1533496	1533896
chr1	1534398	1534798
chr1	1539583	1539983
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1542540	1542940
chr1	1543323	1543723
chr1	1545728	1546128
chr1	1546190	1546590
chr1	1547082	1547482
chr1	1547485	1547885
chr1	1550850	1551250
chr1	1554836	1555236
chr1	1555270	1555670
chr1	1559138	1559538
chr1	1574715	1575115
chr1	1574011	1574411
chr1	1575164	1575564
chr1	1600003	1600403
chr1	1599533	1599933
chr1	1597340	1597740
chr1	1599094	1599494
chr1	1598298	1598698
chr1	1596913	1597313
chr1	1603156	1603556
chr1	1614207	1614607
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1625031	1625431
chr1	1630269	1630669
chr1	1658934	1659334
chr1	1678765	1679165
chr1	1686260	1686660
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1693913	1694313
chr1	1724229	1724629
chr1	1740405	1740805
chr1	1741023	1741423
chr1	1746245	1746645
chr1	1745607	1746007
chr1	1748637	1749037
chr1	1758752	1759152
chr1	1758338	1758738
chr1	1764230	1764630
chr1	1778261	1778661
chr1	1778747	1779147
chr1	1777825	1778225
chr1	1782473	1782873
chr1	1782004	1782404
chr1	1788057	1788457
chr1	1789021	1789421
chr1	1788586	1788986
chr1	1790446	1790846
chr1	1799700	1800100
chr1	1827456	1827856
chr1	1832842	1833242
chr1	1832156	1832556
chr1	1833989	1834389
chr1	1833475	1833875
chr1	1846985	1847385
chr1	1847505	1847905
chr1	1846463	1846863
chr1	1858656	1859056
chr1	1868936	1869336
chr1	1869454	1869854
chr1	1880991	1881391
chr1	1883370	1883770
chr1	1890086	1890486
chr1	1890939	1891339
chr1	1891577	1891977
chr1	1897127	1897527
chr1	1897533	1897933
chr1	1906209	1906609
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1909511	1909911
chr1	1919226	1919626
chr1	1918464	1918864
chr1	1919979	1920379
chr1	1943962	1944362
chr1	1959978	1960378
chr1	1959578	1959978
chr1	1970258	1970658
chr1	1988496	1988896
chr1	1989027	1989427
chr1	1990237	1990637
chr1	1989822	1990222
chr1	2003702	2004102
chr1	2019518	2019918
chr1	2018922	2019322
chr1	2025604	2026004
chr1	2032190	2032590
chr1	2044817	2045217
chr1	2044367	2044767
chr1	2050089	2050489
chr1	2049403	2049803
chr1	2050616	2051016
chr1	2108584	2108984
chr1	2124808	2125208
chr1	2132224	2132624
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2139725	2140125
chr1	2160831	2161231
chr1	2174249	2174649
chr1	2179510	2179910
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2204616	2205016
chr1	2203968	2204368
chr1	2205103	2205503
chr1	2205514	2205914
chr1	2207632	2208032
chr1	2212451	2212851
chr1	2213225	2213625
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2234378	2234778
chr1	2240200	2240600
chr1	2279154	2279554
chr1	2300337	2300737
chr1	2310322	2310722
chr1	2311480	2311880
chr1	2314291	2314691
chr1	2315069	2315469
chr1	2315645	2316045
chr1	2313734	2314134
chr1	2316624	2317024
chr1	2381713	2382113
chr1	2382528	2382928
chr1	2391508	2391908
chr1	2390943	2391343
chr1	2391941	2392341
chr1	2396046	2396446
chr1	2402524	2402924
chr1	2404504	2404904
chr1	2405090	2405490
chr1	2404018	2404418
chr1	2408869	2409269
chr1	2412455	2412855
chr1	2412979	2413379
chr1	2506931	2507331
chr1	2507565	2507965
chr1	2514794	2515194
chr1	2526086	2526486
chr1	2526740	2527140
chr1	2529240	2529640
chr1	2544321	2544721
chr1	2544852	2545252
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2548004	2548404
chr1	2546465	2546865
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2556931	2557331
chr1	2557342	2557742
chr1	2585232	2585632
chr1	2585634	2586034
chr1	2586465	2586865
chr1	2587152	2587552
chr1	2593963	2594363
chr1	2593389	2593789
chr1	2611150	2611550
chr1	2633896	2634296
chr1	2643039	2643439
chr1	2642485	2642885
chr1	2643567	2643967
