Chromosome	Start	End
chr1	633822	634222
chr1	778528	778928
chr1	778928	779328
chr1	794915	795315
chr1	827335	827735
chr1	869700	870100
chr1	904556	904956
chr1	959123	959523
chr1	999961	1000361
chr1	1000669	1001069
chr1	1013242	1013642
chr1	1013749	1014149
chr1	1019325	1019725
chr1	1019993	1020393
chr1	1032988	1033388
chr1	1040638	1041038
chr1	1116020	1116420
chr1	1116630	1117030
chr1	1122094	1122494
chr1	1158168	1158568
chr1	1182736	1183136
chr1	1183151	1183551
chr1	1212811	1213211
chr1	1231902	1232302
chr1	1231316	1231716
chr1	1261115	1261515
chr1	1273724	1274124
chr1	1273189	1273589
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1324517	1324917
chr1	1325024	1325424
chr1	1349240	1349640
chr1	1348840	1349240
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1407120	1407520
chr1	1406657	1407057
chr1	1435445	1435845
chr1	1471501	1471901
chr1	1504892	1505292
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1540455	1540855
chr1	1540886	1541286
chr1	1554836	1555236
chr1	1574715	1575115
chr1	1575164	1575564
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1616094	1616494
chr1	1646317	1646717
chr1	1658934	1659334
chr1	1692967	1693367
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1758752	1759152
chr1	1778261	1778661
chr1	1777825	1778225
chr1	1846985	1847385
chr1	1858656	1859056
chr1	1859175	1859575
chr1	1890939	1891339
chr1	1908997	1909397
chr1	1908575	1908975
chr1	1919226	1919626
chr1	2049403	2049803
chr1	2133092	2133492
chr1	2133720	2134120
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2195165	2195565
chr1	2194608	2195008
chr1	2199228	2199628
chr1	2205103	2205503
chr1	2212451	2212851
chr1	2227605	2228005
chr1	2227155	2227555
chr1	2246659	2247059
chr1	2270255	2270655
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2278749	2279149
chr1	2300989	2301389
chr1	2381713	2382113
chr1	2391508	2391908
chr1	2391941	2392341
chr1	2412455	2412855
chr1	2526086	2526486
chr1	2548683	2549083
chr1	2546010	2546410
chr1	2546867	2547267
chr1	2555593	2555993
chr1	2556322	2556722
chr1	2578278	2578678
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2643039	2643439
chr1	2642485	2642885
chr1	3393443	3393843
chr1	3392991	3393391
chr1	3415396	3415796
chr1	3415797	3416197
chr1	3424688	3425088
chr1	3454847	3455247
chr1	3471726	3472126
chr1	3471295	3471695
chr1	3618990	3619390
chr1	3624670	3625070
chr1	3624235	3624635
chr1	3625550	3625950
chr1	3649926	3650326
chr1	3669513	3669913
chr1	3695606	3696006
chr1	3747229	3747629
chr1	3746797	3747197
chr1	3772389	3772789
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3857503	3857903
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	4652551	4652951
chr1	5745783	5746183
chr1	5992321	5992721
chr1	5991865	5992265
chr1	6052435	6052835
chr1	6052872	6053272
chr1	6161601	6162001
chr1	6171554	6171954
chr1	6199456	6199856
chr1	6199878	6200278
chr1	6205137	6205537
chr1	6235789	6236189
chr1	6245011	6245411
chr1	6307100	6307500
chr1	6316040	6316440
chr1	6348544	6348944
chr1	6385580	6385980
chr1	6393276	6393676
chr1	6393892	6394292
chr1	6392744	6393144
chr1	6465984	6466384
chr1	6486438	6486838
chr1	6484831	6485231
chr1	6490418	6490818
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6602781	6603181
chr1	6603184	6603584
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6625428	6625828
chr1	6701697	6702097
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6889898	6890298
chr1	6912437	6912837
chr1	6962595	6962995
chr1	6963235	6963635
chr1	7070377	7070777
chr1	7379403	7379803
chr1	7388858	7389258
chr1	7389263	7389663
chr1	7389797	7390197
chr1	7669468	7669868
chr1	7680260	7680660
chr1	7680668	7681068
chr1	7704452	7704852
chr1	7771061	7771461
chr1	7771545	7771945
chr1	7770622	7771022
chr1	7783925	7784325
chr1	7902728	7903128
chr1	7954059	7954459
chr1	7961376	7961776
chr1	7961967	7962367
chr1	7975252	7975652
chr1	8026172	8026572
chr1	8025769	8026169
chr1	8094956	8095356
chr1	8169724	8170124
chr1	8182080	8182480
chr1	8211911	8212311
chr1	8217105	8217505
chr1	8314318	8314718
chr1	8317872	8318272
chr1	8343375	8343775
chr1	8423531	8423931
chr1	8463127	8463527
chr1	8525898	8526298
chr1	8703137	8703537
chr1	8817516	8817916
chr1	8848788	8849188
chr1	8858012	8858412
chr1	8878566	8878966
chr1	8879028	8879428
chr1	8877900	8878300
chr1	8988018	8988418
chr1	9005078	9005478
chr1	9110747	9111147
chr1	9196443	9196843
chr1	9234460	9234860
chr1	9234878	9235278
chr1	9239684	9240084
chr1	9292657	9293057
chr1	9371529	9371929
chr1	9428798	9429198
chr1	9429265	9429665
chr1	9491035	9491435
chr1	9539187	9539587
chr1	9588469	9588869
chr1	9593402	9593802
chr1	9593813	9594213
chr1	9626958	9627358
chr1	9687818	9688218
chr1	9689836	9690236
chr1	9717578	9717978
chr1	9823910	9824310
chr1	9824356	9824756
chr1	9825393	9825793
chr1	9835784	9836184
chr1	9874857	9875257
chr1	9875470	9875870
chr1	9892516	9892916
chr1	9910340	9910740
chr1	9910782	9911182
chr1	9929357	9929757
chr1	9943211	9943611
