Chromosome	Start	End
chr1	778525	778925
chr1	827359	827759
chr1	858638	859038
chr1	869724	870124
chr1	898674	899074
chr1	904538	904938
chr1	959124	959524
chr1	966800	967200
chr1	1006532	1006932
chr1	1019283	1019683
chr1	1040691	1041091
chr1	1074053	1074453
chr1	1079406	1079806
chr1	1116056	1116456
chr1	1136512	1136912
chr1	1157374	1157774
chr1	1162617	1163017
chr1	1163033	1163433
chr1	1173638	1174038
chr1	1231886	1232286
chr1	1236046	1236446
chr1	1273712	1274112
chr1	1291801	1292201
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1336302	1336702
chr1	1349269	1349669
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1574716	1575116
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1648201	1648601
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1683568	1683968
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1782945	1783345
chr1	1858650	1859050
chr1	1881839	1882239
chr1	1881274	1881674
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1924674	1925074
chr1	2050093	2050493
chr1	2072077	2072477
chr1	2133112	2133512
chr1	2139674	2140074
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2213051	2213451
chr1	2227624	2228024
chr1	2237086	2237486
chr1	2270829	2271229
chr1	2312827	2313227
chr1	2391512	2391912
chr1	2412466	2412866
chr1	2526090	2526490
chr1	2546038	2546438
chr1	2546823	2547223
chr1	2557337	2557737
chr1	2575763	2576163
chr1	2578249	2578649
chr1	2586361	2586761
chr1	2586836	2587236
chr1	2641480	2641880
chr1	2642468	2642868
chr1	2866304	2866704
chr1	3207127	3207527
chr1	3222018	3222418
chr1	3251783	3252183
chr1	3316574	3316974
chr1	3323135	3323535
chr1	3423331	3423731
chr1	3454276	3454676
chr1	3460059	3460459
chr1	3480331	3480731
chr1	3529389	3529789
chr1	3624685	3625085
chr1	3649912	3650312
chr1	3668776	3669176
chr1	3674130	3674530
chr1	3697841	3698241
chr1	3719216	3719616
chr1	3747236	3747636
chr1	3772394	3772794
chr1	3796353	3796753
chr1	3857140	3857540
chr1	3900667	3901067
chr1	3900178	3900578
chr1	3901189	3901589
chr1	5003962	5004362
chr1	5089810	5090210
chr1	5551541	5551941
chr1	5765841	5766241
chr1	5949335	5949735
chr1	5992337	5992737
chr1	5991761	5992161
chr1	6026026	6026426
