Chromosome	Start	End
chr1	180580	180980
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	923663	924063
chr1	959124	959524
chr1	966800	967200
chr1	966263	966663
chr1	976001	976401
chr1	999982	1000382
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1064144	1064544
chr1	1069157	1069557
chr1	1068579	1068979
chr1	1074053	1074453
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1173638	1174038
chr1	1201378	1201778
chr1	1200845	1201245
chr1	1207998	1208398
chr1	1212856	1213256
chr1	1219303	1219703
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1250854	1251254
chr1	1273712	1274112
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1318210	1318610
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1360504	1360904
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1417870	1418270
chr1	1419974	1420374
chr1	1433189	1433589
chr1	1435450	1435850
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1574716	1575116
chr1	1599549	1599949
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1630222	1630622
chr1	1629693	1630093
chr1	1658953	1659353
chr1	1678722	1679122
chr1	1677849	1678249
chr1	1692622	1693022
chr1	1693247	1693647
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1753319	1753719
chr1	1778256	1778656
chr1	1778762	1779162
chr1	1780340	1780740
chr1	1890942	1891342
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	1959984	1960384
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2050582	2050982
chr1	2088365	2088765
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2146545	2146945
chr1	2148666	2149066
chr1	2189500	2189900
chr1	2194582	2194982
chr1	2195169	2195569
chr1	2199253	2199653
chr1	2205070	2205470
chr1	2204616	2205016
chr1	2205547	2205947
chr1	2212433	2212833
chr1	2214058	2214458
chr1	2227624	2228024
chr1	2234385	2234785
chr1	2237086	2237486
chr1	2240191	2240591
chr1	2255945	2256345
chr1	2255536	2255936
chr1	2290669	2291069
chr1	2300336	2300736
chr1	2300915	2301315
chr1	2311447	2311847
chr1	2314312	2314712
chr1	2315043	2315443
chr1	2330846	2331246
chr1	2381715	2382115
chr1	2391512	2391912
chr1	2391961	2392361
