Chromosome	Start	End
chr1	778528	778928
chr1	778928	779328
chr1	944311	944711
chr1	959123	959523
chr1	999961	1000361
chr1	1072854	1073254
chr1	1116020	1116420
chr1	1231902	1232302
chr1	1308268	1308668
chr1	1307773	1308173
chr1	1349240	1349640
chr1	1358538	1358938
chr1	1358097	1358497
chr1	1375255	1375655
chr1	1399245	1399645
chr1	1399650	1400050
chr1	1435445	1435845
chr1	1440865	1441265
chr1	1471501	1471901
chr1	1511868	1512268
chr1	1511461	1511861
chr1	1615204	1615604
chr1	1615627	1616027
chr1	1630924	1631324
chr1	1658934	1659334
chr1	1692330	1692730
chr1	1724229	1724629
chr1	1746245	1746645
chr1	1908997	1909397
chr1	1919226	1919626
chr1	1959978	1960378
chr1	2014248	2014648
chr1	2031726	2032126
chr1	2133092	2133492
chr1	2189450	2189850
chr1	2189882	2190282
chr1	2205103	2205503
chr1	2227605	2228005
chr1	2274171	2274571
chr1	2279154	2279554
chr1	2279655	2280055
chr1	2299260	2299660
chr1	2391508	2391908
chr1	2412455	2412855
chr1	2526086	2526486
chr1	2586465	2586865
chr1	2593963	2594363
chr1	2643039	2643439
chr1	3170498	3170898
chr1	3410103	3410503
chr1	3483832	3484232
chr1	3577320	3577720
chr1	3588571	3588971
chr1	3611516	3611916
chr1	3624670	3625070
chr1	3732619	3733019
chr1	3747229	3747629
chr1	3772389	3772789
chr1	3796350	3796750
chr1	3857088	3857488
chr1	3900573	3900973
chr1	3900138	3900538
chr1	3901210	3901610
chr1	4232497	4232897
chr1	4512592	4512992
chr1	4801508	4801908
chr1	5622376	5622776
chr1	5992321	5992721
chr1	6176333	6176733
chr1	6199456	6199856
chr1	6235789	6236189
chr1	6269627	6270027
chr1	6270027	6270427
chr1	6393276	6393676
chr1	6475484	6475884
chr1	6554368	6554768
chr1	6579729	6580129
chr1	6580339	6580739
chr1	6613371	6613771
chr1	6612968	6613368
chr1	6624941	6625341
chr1	6784993	6785393
chr1	6784530	6784930
chr1	6984951	6985351
chr1	7263001	7263401
chr1	7417915	7418315
chr1	7442759	7443159
chr1	7643565	7643965
chr1	7667531	7667931
chr1	7667934	7668334
chr1	7680260	7680660
chr1	7704452	7704852
chr1	7783925	7784325
chr1	7954059	7954459
chr1	7961376	7961776
chr1	7982272	7982672
chr1	8026172	8026572
chr1	8047532	8047932
chr1	8169724	8170124
chr1	8217105	8217505
chr1	8424024	8424424
chr1	8464379	8464779
chr1	8497489	8497889
chr1	8525898	8526298
chr1	8680758	8681158
chr1	8703137	8703537
chr1	8817516	8817916
chr1	8836177	8836577
chr1	8850188	8850588
chr1	8878566	8878966
chr1	8963049	8963449
chr1	9129024	9129424
chr1	9234460	9234860
chr1	9428798	9429198
chr1	9435180	9435580
chr1	9539187	9539587
chr1	9561433	9561833
chr1	9588469	9588869
chr1	9593402	9593802
chr1	9593813	9594213
chr1	9604014	9604414
chr1	9626958	9627358
chr1	9770312	9770712
chr1	9823910	9824310
chr1	9824356	9824756
chr1	9910340	9910740
chr1	9910782	9911182
chr1	10032620	10033020
chr1	10033176	10033576
chr1	10066986	10067386
chr1	10210279	10210679
chr1	10253734	10254134
chr1	10339797	10340197
chr1	10388095	10388495
chr1	10398739	10399139
chr1	10399198	10399598
chr1	10472384	10472784
chr1	10632350	10632750
chr1	10663622	10664022
chr1	10694691	10695091
chr1	10794436	10794836
chr1	10888715	10889115
chr1	10968265	10968665
chr1	10980786	10981186
chr1	11012154	11012554
chr1	11059906	11060306
chr1	11099726	11100126
chr1	11150370	11150770
chr1	11241714	11242114
chr1	11262488	11262888
chr1	11272982	11273382
chr1	11279205	11279605
chr1	11681940	11682340
chr1	11690662	11691062
chr1	11735862	11736262
chr1	11805894	11806294
chr1	11805395	11805795
chr1	11908818	11909218
chr1	11926306	11926706
chr1	11934447	11934847
chr1	11980065	11980465
chr1	12019183	12019583
chr1	12075108	12075508
chr1	12184259	12184659
chr1	12229816	12230216
chr1	12478212	12478612
chr1	12539932	12540332
chr1	12540356	12540756
chr1	12556465	12556865
chr1	12595872	12596272
chr1	12618173	12618573
chr1	12693255	12693655
chr1	13508966	13509366
chr1	13749127	13749527
chr1	13892899	13893299
chr1	14238499	14238899
chr1	14259165	14259565
chr1	14371693	14372093
chr1	15088582	15088982
chr1	15100358	15100758
chr1	15179154	15179554
chr1	15371136	15371536
chr1	15409642	15410042
chr1	15431669	15432069
chr1	15524814	15525214
chr1	15525238	15525638
chr1	15526481	15526881
chr1	15584433	15584833
chr1	15617135	15617535
chr1	15627506	15627906
chr1	15703593	15703993
chr1	15714399	15714799
chr1	15760833	15761233
chr1	15777407	15777807
chr1	15785667	15786067
chr1	15835770	15836170
chr1	15834764	15835164
chr1	15847453	15847853
chr1	15886291	15886691
chr1	15949576	15949976
chr1	15975918	15976318
chr1	16018003	16018403
chr1	16032817	16033217
chr1	16138922	16139322
chr1	16146282	16146682
chr1	16155921	16156321
chr1	16162368	16162768
chr1	16206483	16206883
chr1	16206895	16207295
chr1	16217306	16217706
chr1	16217728	16218128
chr1	16226844	16227244
chr1	16352308	16352708
chr1	16366909	16367309
chr1	16440459	16440859
chr1	16499082	16499482
chr1	16513928	16514328
chr1	16613406	16613806
chr1	16620980	16621380
chr1	16644525	16644925
chr1	16693650	16694050
chr1	16888737	16889137
chr1	16896037	16896437
chr1	16904723	16905123
chr1	16913793	16914193
chr1	16914258	16914658
chr1	16951661	16952061
chr1	17011769	17012169
chr1	17053975	17054375
chr1	17054382	17054782
chr1	17377418	17377818
chr1	17402909	17403309
chr1	17539572	17539972
chr1	18385504	18385904
chr1	18471458	18471858
chr1	18599549	18599949
chr1	18849174	18849574
chr1	18874685	18875085
chr1	18902685	18903085
chr1	18913029	18913429
chr1	18913435	18913835
chr1	18956612	18957012
chr1	19036038	19036438
chr1	19088757	19089157
chr1	19210151	19210551
chr1	19251352	19251752
chr1	19312005	19312405
chr1	19312551	19312951
chr1	19405776	19406176
chr1	19485440	19485840
chr1	19514519	19514919
chr1	19650636	19651036
chr1	19800245	19800645
chr1	19882139	19882539
chr1	20153073	20153473
chr1	20186320	20186720
chr1	20194707	20195107
chr1	20325961	20326361
chr1	20325522	20325922
chr1	20334018	20334418
chr1	20343180	20343580
chr1	20358721	20359121
chr1	20365962	20366362
chr1	20486004	20486404
chr1	20507984	20508384
chr1	20552259	20552659
chr1	20633259	20633659
chr1	20661347	20661747
chr1	20660934	20661334
chr1	20786626	20787026
chr1	21176769	21177169
chr1	21231952	21232352
chr1	21255199	21255599
chr1	21289818	21290218
chr1	21290267	21290667
chr1	21345374	21345774
chr1	21345785	21346185
chr1	21344938	21345338
chr1	21659188	21659588
chr1	21782997	21783397
chr1	21783447	21783847
chr1	21937257	21937657
chr1	22025261	22025661
chr1	22024774	22025174
chr1	22052433	22052833
chr1	22451625	22452025
chr1	22452108	22452508
chr1	22452596	22452996
chr1	22507600	22508000
chr1	22530172	22530572
chr1	22536487	22536887
chr1	22545172	22545572
chr1	22690460	22690860
chr1	23019200	23019600
chr1	23088527	23088927
chr1	23177683	23178083
chr1	23344243	23344643
chr1	23344784	23345184
chr1	23368186	23368586
chr1	23368715	23369115
chr1	23484147	23484547
chr1	23554823	23555223
chr1	23554399	23554799
chr1	23559368	23559768
chr1	23562304	23562704
chr1	23634942	23635342
chr1	23691544	23691944
chr1	23743188	23743588
chr1	23743741	23744141
chr1	23775435	23775835
chr1	23800672	23801072
chr1	23825269	23825669
chr1	23867747	23868147
chr1	24322585	24322985
chr1	24392259	24392659
chr1	24415476	24415876
chr1	24502691	24503091
chr1	24642938	24643338
chr1	24642481	24642881
chr1	24727506	24727906
chr1	24735835	24736235
chr1	24735416	24735816
chr1	24745017	24745417
chr1	24769725	24770125
chr1	24919668	24920068
chr1	24986526	24986926
chr1	25025663	25026063
chr1	25232363	25232763
chr1	25239913	25240313
chr1	25247356	25247756
chr1	25247771	25248171
chr1	25338130	25338530
chr1	25430570	25430970
chr1	25430046	25430446
chr1	25500607	25501007
chr1	25579682	25580082
chr1	25616445	25616845
chr1	25686179	25686579
chr1	25695070	25695470
chr1	25700103	25700503
chr1	25819736	25820136
chr1	25859301	25859701
chr1	25868211	25868611
chr1	25875364	25875764
chr1	25905327	25905727
chr1	25906297	25906697
chr1	25952922	25953322
chr1	25998011	25998411
chr1	26021554	26021954
chr1	26035935	26036335
chr1	26111548	26111948
chr1	26176805	26177205
chr1	26233903	26234303
chr1	26234323	26234723
chr1	26321500	26321900
chr1	26336778	26337178
chr1	26432033	26432433
chr1	26472936	26473336
chr1	26472213	26472613
chr1	26471770	26472170
chr1	26602348	26602748
chr1	26695470	26695870
chr1	26723413	26723813
chr1	26787723	26788123
chr1	26826459	26826859
chr1	26864982	26865382
chr1	26865460	26865860
chr1	26890074	26890474
chr1	26900267	26900667
chr1	26921457	26921857
chr1	27012759	27013159
chr1	27027013	27027413
chr1	27044528	27044928
chr1	27154960	27155360
chr1	27234259	27234659
chr1	27234686	27235086
chr1	27300770	27301170
chr1	27300274	27300674
chr1	27321947	27322347
chr1	27351244	27351644
chr1	27490010	27490410
chr1	27672043	27672443
chr1	27672511	27672911
chr1	27725600	27726000
chr1	27752357	27752757
chr1	27772930	27773330
chr1	27830576	27830976
chr1	27872303	27872703
chr1	27914543	27914943
chr1	27951441	27951841
chr1	27959752	27960152
chr1	28088524	28088924
chr1	28235866	28236266
chr1	28247115	28247515
chr1	28259239	28259639
chr1	28328758	28329158
chr1	28369475	28369875
chr1	28369986	28370386
chr1	28505723	28506123
chr1	28552785	28553185
chr1	28581741	28582141
chr1	28642923	28643323
chr1	28648463	28648863
chr1	28647927	28648327
chr1	28661342	28661742
chr1	28668527	28668927
chr1	28736645	28737045
chr1	28914259	28914659
chr1	29124536	29124936
chr1	29181810	29182210
chr1	29182253	29182653
chr1	29202793	29203193
chr1	29208382	29208782
chr1	29230780	29231180
chr1	29245792	29246192
chr1	29698056	29698456
chr1	30061458	30061858
chr1	30109884	30110284
chr1	30166148	30166548
chr1	30242947	30243347
chr1	30466581	30466981
chr1	30718080	30718480
chr1	30718494	30718894
chr1	30984108	30984508
chr1	30984705	30985105
chr1	31065574	31065974
chr1	31155338	31155738
chr1	31296741	31297141
chr1	31373545	31373945
chr1	31422703	31423103
chr1	31523765	31524165
chr1	31584023	31584423
chr1	31644736	31645136
chr1	31644327	31644727
chr1	31703870	31704270
chr1	31715098	31715498
chr1	31715597	31715997
chr1	31714341	31714741
chr1	31788457	31788857
chr1	31938249	31938649
chr1	32013513	32013913
chr1	32055407	32055807
chr1	32073037	32073437
chr1	32072629	32073029
chr1	32107821	32108221
chr1	32179460	32179860
chr1	32291808	32292208
chr1	32336057	32336457
chr1	32351338	32351738
chr1	32368327	32368727
chr1	32378314	32378714
chr1	32394314	32394714
chr1	32394851	32395251
chr1	32464721	32465121
chr1	32650870	32651270
chr1	32650388	32650788
chr1	32817273	32817673
chr1	32939753	32940153
chr1	32964710	32965110
chr1	33036756	33037156
chr1	33080888	33081288
chr1	33127229	33127629
chr1	33255880	33256280
chr1	33363909	33364309
chr1	33430914	33431314
chr1	33430296	33430696
chr1	33472306	33472706
chr1	34225204	34225604
chr1	34786425	34786825
chr1	34859602	34860002
chr1	35031541	35031941
chr1	35173373	35173773
chr1	35193048	35193448
chr1	35545035	35545435
chr1	35641377	35641777
chr1	35769837	35770237
chr1	35769301	35769701
chr1	35807823	35808223
chr1	35930895	35931295
chr1	35930494	35930894
chr1	36016272	36016672
chr1	36083880	36084280
chr1	36149389	36149789
chr1	36155938	36156338
chr1	36224090	36224490
chr1	36224495	36224895
chr1	36306816	36307216
chr1	36306164	36306564
chr1	36323996	36324396
chr1	36373782	36374182
chr1	36385861	36386261
chr1	36386407	36386807
chr1	36450333	36450733
chr1	36464212	36464612
chr1	36645848	36646248
chr1	37256343	37256743
chr1	37474287	37474687
chr1	37487350	37487750
chr1	37554135	37554535
chr1	37595806	37596206
chr1	37596216	37596616
chr1	37634711	37635111
chr1	37682338	37682738
chr1	37690386	37690786
chr1	37692154	37692554
chr1	37859472	37859872
chr1	37860065	37860465
chr1	37931647	37932047
chr1	37946880	37947280
chr1	37989929	37990329
chr1	38012442	38012842
chr1	38046701	38047101
chr1	38546640	38547040
chr1	38859648	38860048
chr1	38873241	38873641
chr1	38991008	38991408
chr1	39010191	39010591
chr1	39026096	39026496
chr1	39076503	39076903
chr1	39141983	39142383
chr1	39154495	39154895
chr1	39155027	39155427
chr1	39158604	39159004
chr1	39212559	39212959
chr1	39322034	39322434
chr1	39408600	39409000
chr1	39576674	39577074
chr1	39625534	39625934
chr1	39720012	39720412
chr1	39845580	39845980
chr1	39883338	39883738
chr1	39954893	39955293
chr1	40040405	40040805
chr1	40047725	40048125
chr1	40143976	40144376
chr1	40161124	40161524
chr1	40257857	40258257
chr1	40315272	40315672
chr1	40327960	40328360
chr1	40373462	40373862
chr1	40449890	40450290
chr1	40685386	40685786
chr1	40691934	40692334
chr1	40691437	40691837
chr1	40709052	40709452
chr1	40798166	40798566
chr1	40862259	40862659
chr1	40945002	40945402
chr1	40979463	40979863
chr1	40980045	40980445
chr1	41003686	41004086
chr1	41017230	41017630
chr1	41021880	41022280
chr1	41056409	41056809
chr1	41125542	41125942
chr1	41242061	41242461
chr1	41360930	41361330
chr1	41382139	41382539
chr1	41387684	41388084
chr1	41474570	41474970
chr1	41510275	41510675
chr1	41516061	41516461
chr1	41662227	41662627
chr1	41739007	41739407
chr1	41800307	41800707
chr1	41812465	41812865
chr1	41828146	41828546
chr1	42035823	42036223
chr1	42146860	42147260
chr1	42176947	42177347
chr1	42177512	42177912
chr1	42335086	42335486
chr1	42462969	42463369
chr1	42658150	42658550
chr1	42682114	42682514
chr1	42766942	42767342
chr1	42766535	42766935
chr1	42786169	42786569
chr1	42817183	42817583
chr1	42846331	42846731
chr1	42924187	42924587
chr1	42971767	42972167
chr1	43172120	43172520
chr1	43295658	43296058
chr1	43302141	43302541
chr1	43358672	43359072
chr1	43367916	43368316
chr1	43414614	43415014
chr1	43454451	43454851
chr1	43542038	43542438
chr1	43565634	43566034
chr1	43571087	43571487
chr1	43632568	43632968
chr1	43649835	43650235
chr1	43707251	43707651
chr1	43763405	43763805
chr1	43946457	43946857
chr1	43969686	43970086
chr1	43974691	43975091
chr1	43979798	43980198
chr1	43991400	43991800
chr1	44002238	44002638
chr1	44030065	44030465
chr1	44355123	44355523
chr1	44576418	44576818
chr1	44645511	44645911
chr1	44652841	44653241
chr1	44674375	44674775
chr1	44673975	44674375
chr1	44731212	44731612
chr1	44730783	44731183
chr1	44739536	44739936
chr1	44775336	44775736
chr1	44800041	44800441
chr1	44799632	44800032
chr1	44808265	44808665
chr1	44843161	44843561
chr1	44843566	44843966
chr1	45011938	45012338
chr1	45303530	45303930
chr1	45303945	45304345
chr1	45339836	45340236
chr1	45340282	45340682
chr1	45347187	45347587
chr1	45491062	45491462
chr1	45490633	45491033
chr1	45499948	45500348
chr1	45521790	45522190
chr1	45583275	45583675
chr1	45686991	45687391
chr1	45686418	45686818
chr1	45750511	45750911
chr1	45803354	45803754
chr1	46132824	46133224
chr1	46132413	46132813
chr1	46247406	46247806
chr1	46303116	46303516
chr1	46363646	46364046
chr1	46604112	46604512
chr1	46613805	46614205
chr1	46616710	46617110
chr1	46616251	46616651
chr1	46668286	46668686
chr1	46708992	46709392
chr1	46719017	46719417
chr1	47179085	47179485
chr1	47314105	47314505
chr1	47334056	47334456
chr1	47333601	47334001
chr1	47478092	47478492
chr1	47533080	47533480
chr1	47547390	47547790
chr1	47663712	47664112
chr1	47804059	47804459
chr1	48330038	48330438
chr1	48472082	48472482
chr1	48627497	48627897
chr1	50071375	50071775
chr1	50332963	50333363
chr1	50968409	50968809
chr1	50968004	50968404
chr1	50996776	50997176
chr1	51236059	51236459
chr1	51472351	51472751
chr1	51519235	51519635
chr1	51616865	51617265
chr1	51617409	51617809
chr1	51716823	51717223
chr1	51729861	51730261
chr1	51878666	51879066
chr1	52056026	52056426
chr1	52263343	52263743
chr1	52366213	52366613
chr1	52404325	52404725
chr1	52553319	52553719
chr1	52602197	52602597
chr1	52676513	52676913
chr1	52686174	52686574
chr1	52702909	52703309
chr1	52726254	52726654
chr1	53079525	53079925
chr1	53104527	53104927
chr1	53196575	53196975
chr1	53220447	53220847
chr1	53238378	53238778
chr1	53238820	53239220
chr1	53326112	53326512
chr1	53470118	53470518
chr1	53739103	53739503
chr1	53771721	53772121
chr1	53838403	53838803
chr1	53889652	53890052
chr1	53945752	53946152
chr1	53946364	53946764
chr1	53953892	53954292
chr1	54053296	54053696
chr1	54121556	54121956
chr1	54199937	54200337
chr1	54406263	54406663
chr1	54422571	54422971
chr1	54476088	54476488
chr1	54489349	54489749
chr1	54542008	54542408
chr1	54542411	54542811
chr1	54547828	54548228
chr1	54715575	54715975
chr1	54764433	54764833
chr1	54764005	54764405
chr1	54887071	54887471
chr1	54987782	54988182
chr1	54996857	54997257
chr1	55040328	55040728
chr1	55329736	55330136
chr1	55348378	55348778
chr1	55406414	55406814
chr1	55584776	55585176
chr1	55585400	55585800
chr1	55671648	55672048
chr1	55697748	55698148
chr1	55860762	55861162
chr1	56057622	56058022
chr1	56074113	56074513
chr1	56227837	56228237
chr1	56539613	56540013
chr1	56579222	56579622
chr1	56811770	56812170
chr1	56944575	56944975
chr1	57331194	57331594
chr1	57854258	57854658
chr1	58546613	58547013
chr1	58584527	58584927
chr1	58585671	58586071
chr1	58699920	58700320
chr1	58783935	58784335
chr1	58784444	58784844
chr1	58903581	58903981
chr1	59061897	59062297
chr1	59178394	59178794
chr1	59178853	59179253
chr1	59250955	59251355
chr1	59260898	59261298
chr1	59296700	59297100
chr1	59316676	59317076
chr1	59367563	59367963
chr1	59367993	59368393
chr1	59393211	59393611
chr1	59458896	59459296
chr1	59674498	59674898
chr1	59673859	59674259
chr1	59716759	59717159
chr1	59759434	59759834
chr1	60525899	60526299
chr1	60814492	60814892
chr1	61043399	61043799
chr1	61076867	61077267
chr1	61111456	61111856
chr1	61184115	61184515
chr1	61183500	61183900
chr1	61202762	61203162
chr1	61311230	61311630
chr1	61318333	61318733
chr1	61523874	61524274
chr1	61638275	61638675
chr1	61724956	61725356
chr1	61725371	61725771
chr1	61799342	61799742
chr1	62195075	62195475
chr1	62337978	62338378
chr1	62347209	62347609
chr1	62436373	62436773
chr1	62436820	62437220
chr1	62783897	62784297
chr1	63199886	63200286
chr1	63367356	63367756
chr1	63523076	63523476
chr1	63593578	63593978
chr1	63675566	63675966
chr1	63691939	63692339
chr1	63773753	63774153
chr1	63829092	63829492
chr1	64320389	64320789
chr1	64514420	64514820
chr1	64513955	64514355
chr1	64744751	64745151
chr1	64744351	64744751
chr1	64966376	64966776
chr1	65066662	65067062
chr1	65075353	65075753
chr1	65254684	65255084
chr1	65420183	65420583
chr1	65419734	65420134
chr1	65420630	65421030
chr1	65435976	65436376
chr1	65844793	65845193
chr1	65844287	65844687
chr1	66005170	66005570
chr1	66402199	66402599
chr1	66401797	66402197
chr1	66563010	66563410
chr1	66618247	66618647
chr1	66924729	66925129
chr1	66925158	66925558
chr1	66929974	66930374
chr1	66930496	66930896
chr1	67053523	67053923
chr1	67430257	67430657
chr1	67430658	67431058
chr1	67454987	67455387
chr1	67500415	67500815
chr1	67573270	67573670
chr1	67612922	67613322
chr1	67618669	67619069
chr1	67674614	67675014
chr1	67675211	67675611
chr1	67685008	67685408
chr1	67766297	67766697
chr1	67833281	67833681
chr1	67960027	67960427
chr1	68099244	68099644
chr1	68496967	68497367
chr1	69315764	69316164
chr1	69500966	69501366
chr1	70033190	70033590
chr1	70061217	70061617
chr1	70109304	70109704
chr1	70205446	70205846
chr1	70221175	70221575
chr1	70354568	70354968
chr1	70355183	70355583
chr1	70410957	70411357
chr1	70600788	70601188
chr1	70693054	70693454
chr1	71081114	71081514
chr1	71080608	71081008
chr1	71414152	71414552
chr1	72516274	72516674
chr1	72650834	72651234
chr1	72896434	72896834
chr1	73117650	73118050
chr1	73209746	73210146
chr1	74198003	74198403
chr1	74732935	74733335
chr1	74829402	74829802
chr1	75469463	75469863
chr1	75724488	75724888
chr1	75723892	75724292
chr1	75785980	75786380
chr1	76074456	76074856
chr1	76232198	76232598
chr1	76425111	76425511
chr1	76528034	76528434
chr1	77170680	77171080
chr1	77683330	77683730
chr1	77779439	77779839
chr1	77825300	77825700
chr1	77888749	77889149
chr1	77889264	77889664
chr1	77978987	77979387
chr1	78004661	78005061
chr1	78003959	78004359
chr1	78868475	78868875
chr1	79353233	79353633
chr1	79719186	79719586
chr1	79982200	79982600
chr1	80523829	80524229
chr1	80769840	80770240
chr1	80801839	80802239
chr1	81382470	81382870
chr1	81391113	81391513
chr1	81390685	81391085
chr1	81478205	81478605
chr1	81502149	81502549
chr1	81509597	81509997
chr1	81801184	81801584
chr1	81800742	81801142
chr1	81812111	81812511
chr1	81982280	81982680
chr1	82264806	82265206
chr1	82485449	82485849
chr1	82548248	82548648
chr1	82597713	82598113
chr1	82634303	82634703
chr1	82944899	82945299
chr1	83508414	83508814
chr1	83555197	83555597
chr1	84077803	84078203
chr1	84506068	84506468
chr1	84505508	84505908
chr1	84574240	84574640
chr1	84690379	84690779
chr1	84753510	84753910
chr1	84944930	84945330
chr1	84960434	84960834
chr1	85062043	85062443
chr1	85200852	85201252
chr1	85201533	85201933
chr1	85259509	85259909
chr1	85259951	85260351
chr1	85276485	85276885
chr1	85330824	85331224
chr1	85464999	85465399
chr1	85576894	85577294
chr1	85580531	85580931
chr1	85799654	85800054
chr1	85888957	85889357
chr1	85934557	85934957
chr1	85983367	85983767
chr1	86018272	86018672
chr1	86073084	86073484
chr1	86156473	86156873
chr1	86238196	86238596
chr1	86396162	86396562
chr1	86429806	86430206
chr1	86665179	86665579
chr1	86704333	86704733
chr1	86727813	86728213
chr1	86745201	86745601
chr1	86774259	86774659
chr1	86914263	86914663
chr1	86914718	86915118
chr1	87121676	87122076
chr1	87151888	87152288
chr1	87211445	87211845
chr1	87328265	87328665
chr1	87331450	87331850
chr1	87530030	87530430
chr1	87588467	87588867
chr1	87826632	87827032
chr1	87968660	87969060
chr1	88180504	88180904
chr1	88321706	88322106
chr1	88514593	88514993
chr1	88627612	88628012
chr1	88683966	88684366
chr1	88683529	88683929
chr1	88797248	88797648
chr1	88806805	88807205
chr1	88992755	88993155
chr1	88992332	88992732
chr1	89065109	89065509
chr1	89271620	89272020
chr1	89365165	89365565
chr1	89407376	89407776
chr1	89455125	89455525
chr1	89524620	89525020
chr1	89566881	89567281
chr1	89632799	89633199
chr1	89762950	89763350
chr1	89994886	89995286
chr1	90384204	90384604
chr1	90834878	90835278
chr1	90851456	90851856
chr1	90998581	90998981
chr1	91021878	91022278
chr1	91021321	91021721
chr1	91070295	91070695
chr1	91404280	91404680
chr1	91500631	91501031
chr1	91501203	91501603
chr1	91526521	91526921
chr1	91650821	91651221
chr1	91672478	91672878
chr1	91715611	91716011
chr1	91830239	91830639
chr1	91885991	91886391
chr1	92080288	92080688
chr1	92298794	92299194
chr1	92326335	92326735
chr1	92756552	92756952
chr1	92757008	92757408
chr1	92784989	92785389
chr1	92784560	92784960
chr1	92831791	92832191
chr1	92934677	92935077
chr1	93079035	93079435
chr1	93078627	93079027
chr1	93180337	93180737
chr1	93179741	93180141
chr1	93345654	93346054
chr1	93447874	93448274
chr1	93549763	93550163
chr1	93625574	93625974
chr1	93652335	93652735
chr1	93692037	93692437
chr1	93768749	93769149
chr1	93769215	93769615
chr1	93811655	93812055
chr1	93879032	93879432
chr1	93909377	93909777
chr1	94237442	94237842
chr1	94279042	94279442
chr1	94418134	94418534
chr1	94497183	94497583
chr1	94903296	94903696
chr1	94926932	94927332
chr1	94925655	94926055
chr1	95006757	95007157
chr1	95072770	95073170
chr1	95117146	95117546
chr1	95117561	95117961
chr1	95233947	95234347
chr1	96538911	96539311
chr1	96688809	96689209
chr1	96714891	96715291
chr1	96721504	96721904
chr1	96722021	96722421
chr1	96865794	96866194
chr1	96979303	96979703
chr1	97053065	97053465
chr1	97758037	97758437
chr1	97920887	97921287
chr1	97921303	97921703
chr1	98053709	98054109
chr1	98661450	98661850
chr1	98975753	98976153
chr1	99161584	99161984
chr1	99264252	99264652
chr1	99662550	99662950
chr1	99685649	99686049
chr1	99695233	99695633
chr1	100037863	100038263
chr1	100132837	100133237
chr1	100132434	100132834
chr1	100195924	100196324
chr1	100249705	100250105
chr1	100265990	100266390
chr1	100351476	100351876
chr1	100352120	100352520
chr1	100377153	100377553
chr1	100530838	100531238
chr1	100643374	100643774
chr1	100795009	100795409
chr1	100794596	100794996
chr1	100895855	100896255
chr1	101025645	101026045
chr1	101026093	101026493
chr1	101105876	101106276
chr1	101136249	101136649
chr1	101282336	101282736
chr1	101288425	101288825
chr1	101440420	101440820
chr1	101439981	101440381
chr1	101484995	101485395
chr1	101484382	101484782
chr1	101745505	101745905
chr1	101745938	101746338
chr1	101915584	101915984
chr1	103525500	103525900
chr1	103525989	103526389
chr1	103561991	103562391
chr1	104029354	104029754
chr1	104193449	104193849
chr1	106130365	106130765
chr1	106291171	106291571
chr1	106746355	106746755
chr1	106978455	106978855
chr1	107056875	107057275
chr1	107139918	107140318
chr1	107172787	107173187
chr1	107385781	107386181
chr1	107496202	107496602
chr1	107552800	107553200
chr1	107740661	107741061
chr1	107964941	107965341
chr1	108033549	108033949
chr1	108070622	108071022
chr1	108200146	108200546
chr1	108559806	108560206
chr1	108559387	108559787
chr1	108621316	108621716
chr1	108692070	108692470
