Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	630110	630510
chr1	633824	634224
chr1	778525	778925
chr1	778985	779385
chr1	817141	817541
chr1	827359	827759
chr1	826875	827275
chr1	869724	870124
chr1	904538	904938
chr1	923663	924063
chr1	941634	942034
chr1	940684	941084
chr1	959124	959524
chr1	960365	960765
chr1	966800	967200
chr1	984123	984523
chr1	998844	999244
chr1	999982	1000382
chr1	1000660	1001060
chr1	1001786	1002186
chr1	1013227	1013627
chr1	1013755	1014155
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1025068	1025468
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1059458	1059858
chr1	1058989	1059389
chr1	1064144	1064544
chr1	1079406	1079806
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1133357	1133757
chr1	1157374	1157774
chr1	1158161	1158561
chr1	1182745	1183145
chr1	1183186	1183586
chr1	1201378	1201778
chr1	1212856	1213256
chr1	1216924	1217324
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1261578	1261978
chr1	1273712	1274112
chr1	1274351	1274751
chr1	1273288	1273688
chr1	1298859	1299259
chr1	1305547	1305947
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1325090	1325490
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1348736	1349136
chr1	1374674	1375074
chr1	1375186	1375586
chr1	1390656	1391056
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1406662	1407062
chr1	1419974	1420374
chr1	1430197	1430597
chr1	1433189	1433589
chr1	1433819	1434219
chr1	1435450	1435850
chr1	1440865	1441265
chr1	1462261	1462661
chr1	1471485	1471885
chr1	1471896	1472296
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1512272	1512672
chr1	1540434	1540834
chr1	1540877	1541277
chr1	1574716	1575116
chr1	1575195	1575595
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1616027	1616427
chr1	1658953	1659353
chr1	1669756	1670156
