Chromosome	Start	End
chr1	180580	180980
chr1	181273	181673
chr1	191294	191694
chr1	633824	634224
chr1	778525	778925
chr1	827359	827759
chr1	869724	870124
chr1	904538	904938
chr1	905248	905648
chr1	923663	924063
chr1	940125	940525
chr1	941634	942034
chr1	959124	959524
chr1	966800	967200
chr1	976001	976401
chr1	984123	984523
chr1	999982	1000382
chr1	1000660	1001060
chr1	1013227	1013627
chr1	1019283	1019683
chr1	1019818	1020218
chr1	1021077	1021477
chr1	1032998	1033398
chr1	1040691	1041091
chr1	1069157	1069557
chr1	1080093	1080493
chr1	1116056	1116456
chr1	1122095	1122495
chr1	1157374	1157774
chr1	1231886	1232286
chr1	1232326	1232726
chr1	1239720	1240120
chr1	1273712	1274112
chr1	1274351	1274751
chr1	1273288	1273688
chr1	1308304	1308704
chr1	1307821	1308221
chr1	1324581	1324981
chr1	1349269	1349669
chr1	1349723	1350123
chr1	1348736	1349136
chr1	1375186	1375586
chr1	1399258	1399658
chr1	1407118	1407518
chr1	1419974	1420374
chr1	1471485	1471885
chr1	1504846	1505246
chr1	1511867	1512267
chr1	1511430	1511830
chr1	1540434	1540834
chr1	1555296	1555696
chr1	1567542	1567942
chr1	1567072	1567472
chr1	1574716	1575116
chr1	1573891	1574291
chr1	1615208	1615608
chr1	1615627	1616027
chr1	1630222	1630622
chr1	1631937	1632337
chr1	1658953	1659353
chr1	1668936	1669336
chr1	1686300	1686700
chr1	1692622	1693022
chr1	1724233	1724633
chr1	1746244	1746644
chr1	1745617	1746017
chr1	1764229	1764629
chr1	1778762	1779162
chr1	1858650	1859050
chr1	1890942	1891342
chr1	1890239	1890639
chr1	1891536	1891936
chr1	1908991	1909391
chr1	1908581	1908981
chr1	1919230	1919630
chr1	1918783	1919183
chr1	2019114	2019514
chr1	2044784	2045184
chr1	2050093	2050493
chr1	2133112	2133512
chr1	2133730	2134130
chr1	2135435	2135835
chr1	2158248	2158648
chr1	2189500	2189900
chr1	2190057	2190457
chr1	2194582	2194982
